Main_Title,Sub_Title,Venue,Fees,Date
"Negotiating, Drafting & Understanding Contracts",Achieving stronger contracting skills,Dubai - UAE,"$ 5,950",27 - 31 Oct 2025
"Negotiating, Drafting & Understanding Contracts",Achieving stronger contracting skills,Edinburgh - UK,"$ 5,950",04 - 08 May 2026
"Negotiating, Drafting & Understanding Contracts",Achieving stronger contracting skills,Dubai - UAE,"$ 5,950",26 - 30 Oct 2026
"Negotiating, Drafting & Understanding Contracts",Achieving stronger contracting skills,Online,"$ 3,950",27 - 31 Oct 2025
"Negotiating, Drafting & Understanding Contracts",Achieving stronger contracting skills,Online,"$ 3,950",26 - 30 Oct 2026
"Negotiating, Drafting & Understanding Contracts",Achieving stronger contracting skills,Dubai - UAE,"$ 5,950",27 - 31 Oct 2025
"Negotiating, Drafting & Understanding Contracts",Achieving stronger contracting skills,Edinburgh - UK,"$ 5,950",04 - 08 May 2026
"Negotiating, Drafting & Understanding Contracts",Achieving stronger contracting skills,Dubai - UAE,"$ 5,950",26 - 30 Oct 2026
"Negotiating, Drafting & Understanding Contracts",Achieving stronger contracting skills,Online,"$ 3,950",27 - 31 Oct 2025
"Negotiating, Drafting & Understanding Contracts",Achieving stronger contracting skills,Online,"$ 3,950",26 - 30 Oct 2026
Complex Negotiation Skills in the Oil & Gas,Avoid Contractual Pitfalls while Maximising Your Business Gains,Abu Dhabi - UAE,"$ 5,950",27 - 31 Oct 2025
Complex Negotiation Skills in the Oil & Gas,Avoid Contractual Pitfalls while Maximising Your Business Gains,Dubai - UAE,"$ 5,950",01 - 05 Dec 2025
Complex Negotiation Skills in the Oil & Gas,Avoid Contractual Pitfalls while Maximising Your Business Gains,London - UK,"$ 5,950",22 - 26 Dec 2025
Complex Negotiation Skills in the Oil & Gas,Avoid Contractual Pitfalls while Maximising Your Business Gains,Cairo - Egypt,"$ 5,950",02 - 06 Mar 2026
Complex Negotiation Skills in the Oil & Gas,Avoid Contractual Pitfalls while Maximising Your Business Gains,Dubai - UAE,"$ 5,950",01 - 05 Jun 2026
Complex Negotiation Skills in the Oil & Gas,Avoid Contractual Pitfalls while Maximising Your Business Gains,Houston - USA,"$ 7,950",13 - 17 Jul 2026
Complex Negotiation Skills in the Oil & Gas,Avoid Contractual Pitfalls while Maximising Your Business Gains,Kigali - Rwanda,"$ 5,950",31 Aug - 04 Sep 2026
Complex Negotiation Skills in the Oil & Gas,Avoid Contractual Pitfalls while Maximising Your Business Gains,Amsterdam - The Netherlands,"$ 5,950",14 - 18 Sep 2026
