Main_Title,Sub_Title,Venue,Fees,Date,Links
Complex Negotiation Skills in the Oil & Gas,Avoid Contractual Pitfalls while Maximising Your Business Gains,Abu Dhabi,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/complex-negotiation-skills-in-the-oil-gas
"Negotiating, Drafting & Understanding Contracts",Achieving stronger contracting skills,Dubai,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/negotiating-drafting-and-understanding-contracts
"Negotiating, Drafting & Understanding Contracts",Achieving stronger contracting skills,Online,"$3,950",27 - 31 Oct 2025,https://glomacs.com/training-course/negotiating-drafting-and-understanding-contracts
Advanced Negotiation Skills,Mastering Negotiation Skills,Online,"$3,950",03 - 07 Nov 2025,https://glomacs.com/training-course/advanced-negotiation-skills
Professional Certificate in Advanced Negotiation Skills,Mastering Negotiation Skills,London,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/cpd-professional-certificate-in-advanced-negotiation-skills
Mastering the Art of Presence & Influence,Personal Effectiveness & Influencing Skills,London,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/personal-effectiveness-influencing-skills
Understanding Finance to Influence Strategic Decisions,Successful Strategic Decision-making,Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/understanding-finance-to-influence-strategic-decisions
Professional Certificate in Advanced Negotiation Skills,Mastering Negotiation Skills,Online,"$3,950",03 - 07 Nov 2025,https://glomacs.com/training-course/cpd-professional-certificate-in-advanced-negotiation-skills
Advanced Negotiation Skills,Mastering Negotiation Skills,London,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/advanced-negotiation-skills
Negotiation and Conflict Management in Organisations,"Developing a Critical Skill Capacity, Cornerstone of High Performance",Online,"$3,950",10 - 14 Nov 2025,https://glomacs.com/training-course/negotiation-and-conflict-management-in-organisations
Gas & LNG Contracts Negotiation,Strategies and Negotiation Techniques,London,"$5,950",10 - 14 Nov 2025,https://glomacs.com/training-course/gas-lng-contracts-negotiation
Negotiating & Dispute Resolutions,Learn to Recognise Different Negotiation Styles & Counter Tactics,London,"$5,950",10 - 14 Nov 2025,https://glomacs.com/training-course/negotiating-dispute-resolutions
Negotiation and Conflict Management in Organisations,"Developing a Critical Skill Capacity, Cornerstone of High Performance",Prague,"$7,500",10 - 14 Nov 2025,https://glomacs.com/training-course/negotiation-and-conflict-management-in-organisations
Effective Purchasing and Contract Negotiation Strategies,Enhancing Profit through Effective Processes and Contracts,Dubai,"$5,950",17 - 21 Nov 2025,https://glomacs.com/training-course/effective-purchasing-and-contract-negotiation-strategies
Advanced Negotiation Skills,Mastering Negotiation Skills,Dubai,"$5,950",17 - 21 Nov 2025,https://glomacs.com/training-course/advanced-negotiation-skills
Understanding Finance to Influence Strategic Decisions,Successful Strategic Decision-making,London,"$5,950",17 - 21 Nov 2025,https://glomacs.com/training-course/understanding-finance-to-influence-strategic-decisions
Professional Certificate in Advanced Negotiation Skills,Mastering Negotiation Skills,Dubai,"$5,950",17 - 21 Nov 2025,https://glomacs.com/training-course/cpd-professional-certificate-in-advanced-negotiation-skills
The Influential Leader,"Self-Understanding, Building Relationships and Leading Organisations",Dubai,"$5,950",24 - 28 Nov 2025,https://glomacs.com/training-course/the-influential-leader-self-understanding-building-relationships-and-leading-organizations-5-days
Mastering the Art of Presence & Influence,Personal Effectiveness & Influencing Skills,Online,"$3,950",24 - 28 Nov 2025,https://glomacs.com/training-course/personal-effectiveness-influencing-skills
Professional Certificate in Advanced Negotiation Skills,Mastering Negotiation Skills,Abu Dhabi,"$5,950",24 - 28 Nov 2025,https://glomacs.com/training-course/cpd-professional-certificate-in-advanced-negotiation-skills
Advanced Negotiation Skills,Mastering Negotiation Skills,Abu Dhabi,"$5,950",24 - 28 Nov 2025,https://glomacs.com/training-course/advanced-negotiation-skills
Mastering the Art of Presence & Influence,Personal Effectiveness & Influencing Skills,Dubai,"$5,950",24 - 28 Nov 2025,https://glomacs.com/training-course/personal-effectiveness-influencing-skills
Negotiating & Dispute Resolutions,Learn to Recognise Different Negotiation Styles & Counter Tactics,Dubai,"$5,950",01 - 05 Dec 2025,https://glomacs.com/training-course/negotiating-dispute-resolutions
Understanding Finance to Influence Strategic Decisions,Successful Strategic Decision-making,Amsterdam,"$5,950",01 - 05 Dec 2025,https://glomacs.com/training-course/understanding-finance-to-influence-strategic-decisions
Negotiation and Conflict Management in Organisations,"Developing a Critical Skill Capacity, Cornerstone of High Performance",Dubai,"$7,500",01 - 05 Dec 2025,https://glomacs.com/training-course/negotiation-and-conflict-management-in-organisations
Negotiating and Managing PPP Contracts,"Performance Monitoring, Contract Compliance & Dispute Resolution",Dubai,"$5,950",01 - 05 Dec 2025,https://glomacs.com/training-course/negotiating-and-managing-ppp-contracts
Negotiation and Conflict Management in Organisations,"Developing a Critical Skill Capacity, Cornerstone of High Performance",Abu Dhabi,"$7,500",01 - 05 Dec 2025,https://glomacs.com/training-course/negotiation-and-conflict-management-in-organisations
Complex Negotiation Skills in the Oil & Gas,Avoid Contractual Pitfalls while Maximising Your Business Gains,Dubai,"$5,950",01 - 05 Dec 2025,https://glomacs.com/training-course/complex-negotiation-skills-in-the-oil-gas
Negotiation and Mediation for Legal Professionals,"Mastering Conflict Resolution, Advocacy, and Effective Settlement Strategies in Legal Practice",Barcelona,"$5,950",08 - 12 Dec 2025,https://glomacs.com/training-course/negotiation-and-mediation-for-legal-professionals
Negotiating & Dispute Resolutions,Learn to Recognise Different Negotiation Styles & Counter Tactics,London,"$5,950",08 - 12 Dec 2025,https://glomacs.com/training-course/negotiating-dispute-resolutions
Negotiating and Managing PPP Contracts,"Performance Monitoring, Contract Compliance & Dispute Resolution",London,"$5,950",08 - 12 Dec 2025,https://glomacs.com/training-course/negotiating-and-managing-ppp-contracts
Negotiation and Conflict Management in Organisations,"Developing a Critical Skill Capacity, Cornerstone of High Performance",London,"$7,500",08 - 12 Dec 2025,https://glomacs.com/training-course/negotiation-and-conflict-management-in-organisations
The Influential Leader,"Self-Understanding, Building Relationships and Leading Organisations",Lisbon,"$5,950",15 - 19 Dec 2025,https://glomacs.com/training-course/the-influential-leader-self-understanding-building-relationships-and-leading-organizations-5-days
Gas & LNG Contracts Negotiation,Strategies and Negotiation Techniques,London,"$5,950",22 - 26 Dec 2025,https://glomacs.com/training-course/gas-lng-contracts-negotiation
Managing & Negotiating with Consultants & Contractors,"Selecting, Developing & Working with Suppliers",London,"$5,950",22 - 26 Dec 2025,https://glomacs.com/training-course/managing-and-negotiating-with-consultants-and-contractors
Gas & LNG Contracts Negotiation,Strategies and Negotiation Techniques,Online,"$3,950",22 - 26 Dec 2025,https://glomacs.com/training-course/gas-lng-contracts-negotiation
Complex Negotiation Skills in the Oil & Gas,Avoid Contractual Pitfalls while Maximising Your Business Gains,London,"$5,950",22 - 26 Dec 2025,https://glomacs.com/training-course/complex-negotiation-skills-in-the-oil-gas
Professional Certificate in Advanced Negotiation Skills,Mastering Negotiation Skills,Amsterdam,"$5,950",29 Dec - 02 Jan 2026,https://glomacs.com/training-course/cpd-professional-certificate-in-advanced-negotiation-skills
Advanced Negotiation Skills,Mastering Negotiation Skills,Amsterdam,"$5,950",29 Dec - 02 Jan 2026,https://glomacs.com/training-course/advanced-negotiation-skills
Mastering the Art of Presence & Influence,Personal Effectiveness & Influencing Skills,London,"$5,950",05 - 09 Jan 2026,https://glomacs.com/training-course/personal-effectiveness-influencing-skills
Understanding Finance to Influence Strategic Decisions,Successful Strategic Decision-making,London,"$5,950",05 - 09 Jan 2026,https://glomacs.com/training-course/understanding-finance-to-influence-strategic-decisions
Negotiating & Dispute Resolutions,Learn to Recognise Different Negotiation Styles & Counter Tactics,London,"$5,950",05 - 09 Jan 2026,https://glomacs.com/training-course/negotiating-dispute-resolutions
Mastering the Art of Presence & Influence,Personal Effectiveness & Influencing Skills,Dubai,"$5,950",12 - 16 Jan 2026,https://glomacs.com/training-course/personal-effectiveness-influencing-skills
Advanced Negotiation Skills,Mastering Negotiation Skills,Dubai,"$5,950",19 - 23 Jan 2026,https://glomacs.com/training-course/advanced-negotiation-skills
Professional Certificate in Advanced Negotiation Skills,Mastering Negotiation Skills,Dubai,"$5,950",19 - 23 Jan 2026,https://glomacs.com/training-course/cpd-professional-certificate-in-advanced-negotiation-skills
The Influential Leader,"Self-Understanding, Building Relationships and Leading Organisations",Dubai,"$5,950",26 - 30 Jan 2026,https://glomacs.com/training-course/the-influential-leader-self-understanding-building-relationships-and-leading-organizations-5-days
Negotiation and Mediation for Legal Professionals,"Mastering Conflict Resolution, Advocacy, and Effective Settlement Strategies in Legal Practice",Dubai,"$5,950",02 - 06 Feb 2026,https://glomacs.com/training-course/negotiation-and-mediation-for-legal-professionals
Mastering the Art of Presence & Influence,Personal Effectiveness & Influencing Skills,Tromso,"$5,950",02 - 06 Feb 2026,https://glomacs.com/training-course/personal-effectiveness-influencing-skills
Complex Negotiation Skills in the Oil & Gas,Avoid Contractual Pitfalls while Maximising Your Business Gains,Cairo,"$5,950",02 - 06 Mar 2026,https://glomacs.com/training-course/complex-negotiation-skills-in-the-oil-gas
Negotiation and Conflict Management in Organisations,"Developing a Critical Skill Capacity, Cornerstone of High Performance",Dubai,"$7,500",23 - 27 Mar 2026,https://glomacs.com/training-course/negotiation-and-conflict-management-in-organisations
Effective Purchasing and Contract Negotiation Strategies,Enhancing Profit through Effective Processes and Contracts,Dubai,"$5,950",23 - 27 Mar 2026,https://glomacs.com/training-course/effective-purchasing-and-contract-negotiation-strategies
Managing & Negotiating with Consultants & Contractors,"Selecting, Developing & Working with Suppliers",London,"$5,950",23 - 27 Mar 2026,https://glomacs.com/training-course/managing-and-negotiating-with-consultants-and-contractors
Gas & LNG Contracts Negotiation,Strategies and Negotiation Techniques,Dubai,"$5,950",23 - 27 Mar 2026,https://glomacs.com/training-course/gas-lng-contracts-negotiation
Negotiating and Managing PPP Contracts,"Performance Monitoring, Contract Compliance & Dispute Resolution",Amsterdam,"$5,950",23 - 27 Mar 2026,https://glomacs.com/training-course/negotiating-and-managing-ppp-contracts
Negotiating & Dispute Resolutions,Learn to Recognise Different Negotiation Styles & Counter Tactics,Vienna,"$5,950",30 Mar - 03 Apr 2026,https://glomacs.com/training-course/negotiating-dispute-resolutions
Mastering the Art of Presence & Influence,Personal Effectiveness & Influencing Skills,London,"$5,950",06 - 10 Apr 2026,https://glomacs.com/training-course/personal-effectiveness-influencing-skills
Mastering the Art of Presence & Influence,Personal Effectiveness & Influencing Skills,Dubai,"$5,950",06 - 10 Apr 2026,https://glomacs.com/training-course/personal-effectiveness-influencing-skills
Advanced Negotiation Skills,Mastering Negotiation Skills,London,"$5,950",06 - 10 Apr 2026,https://glomacs.com/training-course/advanced-negotiation-skills
Mastering the Art of Presence & Influence,Personal Effectiveness & Influencing Skills,Online,"$3,950",06 - 10 Apr 2026,https://glomacs.com/training-course/personal-effectiveness-influencing-skills
Professional Certificate in Advanced Negotiation Skills,Mastering Negotiation Skills,London,"$5,950",06 - 10 Apr 2026,https://glomacs.com/training-course/cpd-professional-certificate-in-advanced-negotiation-skills
Negotiating & Dispute Resolutions,Learn to Recognise Different Negotiation Styles & Counter Tactics,Abu Dhabi,"$5,950",20 - 24 Apr 2026,https://glomacs.com/training-course/negotiating-dispute-resolutions
Professional Certificate in Advanced Negotiation Skills,Mastering Negotiation Skills,Dubai,"$5,950",20 - 24 Apr 2026,https://glomacs.com/training-course/cpd-professional-certificate-in-advanced-negotiation-skills
Advanced Negotiation Skills,Mastering Negotiation Skills,Dubai,"$5,950",20 - 24 Apr 2026,https://glomacs.com/training-course/advanced-negotiation-skills
Professional Certificate in Advanced Negotiation Skills,Mastering Negotiation Skills,Houston,"$7,950",27 Apr - 01 May 2026,https://glomacs.com/training-course/cpd-professional-certificate-in-advanced-negotiation-skills
