Main_Title,Sub_Title,Venue,Fees,Date
Functional Safety & Cybersecurity,Safeguarding and Protecting People and Resources,Dubai - UAE,"$ 5,950",03 - 07 Nov 2025
Functional Safety & Cybersecurity,Safeguarding and Protecting People and Resources,Dubai - UAE,"$ 5,950",06 - 10 Jul 2026
Functional Safety & Cybersecurity,Safeguarding and Protecting People and Resources,Dubai - UAE,"$ 5,950",02 - 06 Nov 2026
Functional Safety & Cybersecurity,Safeguarding and Protecting People and Resources,Online,"$ 3,950",03 - 07 Nov 2025
Functional Safety & Cybersecurity,Safeguarding and Protecting People and Resources,Online,"$ 3,950",02 - 06 Nov 2026
Process Control Cybersecurity,Securing your Oil & Gas Assets,London - UK,"$ 5,950",03 - 07 Nov 2025
Process Control Cybersecurity,Securing your Oil & Gas Assets,Dubai - UAE,"$ 5,950",20 - 24 Apr 2026
Process Control Cybersecurity,Securing your Oil & Gas Assets,London - UK,"$ 5,950",29 Jun - 03 Jul 2026
Process Control Cybersecurity,Securing your Oil & Gas Assets,Dubai - UAE,"$ 5,950",21 - 25 Sep 2026
Process Control Cybersecurity,Securing your Oil & Gas Assets,London - UK,"$ 5,950",02 - 06 Nov 2026
Process Control Cybersecurity,Securing your Oil & Gas Assets,Online,"$ 3,950",21 - 25 Sep 2026
Functional Safety & Cybersecurity,Safeguarding and Protecting People and Resources,Dubai - UAE,"$ 5,950",03 - 07 Nov 2025
Functional Safety & Cybersecurity,Safeguarding and Protecting People and Resources,Dubai - UAE,"$ 5,950",06 - 10 Jul 2026
Functional Safety & Cybersecurity,Safeguarding and Protecting People and Resources,Dubai - UAE,"$ 5,950",02 - 06 Nov 2026
Functional Safety & Cybersecurity,Safeguarding and Protecting People and Resources,Online,"$ 3,950",03 - 07 Nov 2025
Functional Safety & Cybersecurity,Safeguarding and Protecting People and Resources,Online,"$ 3,950",02 - 06 Nov 2026
Computing Technology Industry Association (CompTIA) Security+,Transforming Cybersecurity Knowledge into Global Opportunities with CompTIA Security+,London - UK,"$ 6,950",10 - 14 Nov 2025
Computing Technology Industry Association (CompTIA) Security+,Transforming Cybersecurity Knowledge into Global Opportunities with CompTIA Security+,London - UK,"$ 6,950",04 - 08 May 2026
Computing Technology Industry Association (CompTIA) Security+,Transforming Cybersecurity Knowledge into Global Opportunities with CompTIA Security+,London - UK,"$ 6,950",17 - 21 Aug 2026
Computing Technology Industry Association (CompTIA) Security+,Transforming Cybersecurity Knowledge into Global Opportunities with CompTIA Security+,London - UK,"$ 6,950",09 - 13 Nov 2026
Computing Technology Industry Association (CompTIA) Security+,Transforming Cybersecurity Knowledge into Global Opportunities with CompTIA Security+,Online,"$ 3,950",10 - 14 Nov 2025
Computing Technology Industry Association (CompTIA) Security+,Transforming Cybersecurity Knowledge into Global Opportunities with CompTIA Security+,Online,"$ 3,950",09 - 13 Nov 2026
Security Essentials Bootcamp,Mastering Foundational Cybersecurity Principles for Modern Organizations,Dubai - UAE,"$ 5,950",10 - 14 Nov 2025
Security Essentials Bootcamp,Mastering Foundational Cybersecurity Principles for Modern Organizations,Dubai - UAE,"$ 5,950",23 - 27 Mar 2026
Security Essentials Bootcamp,Mastering Foundational Cybersecurity Principles for Modern Organizations,London - UK,"$ 5,950",01 - 05 Jun 2026
Security Essentials Bootcamp,Mastering Foundational Cybersecurity Principles for Modern Organizations,London - UK,"$ 5,950",21 - 25 Sep 2026
Security Essentials Bootcamp,Mastering Foundational Cybersecurity Principles for Modern Organizations,Dubai - UAE,"$ 5,950",09 - 13 Nov 2026
Security Essentials Bootcamp,Mastering Foundational Cybersecurity Principles for Modern Organizations,Online,"$ 3,950",10 - 14 Nov 2025
Security Essentials Bootcamp,Mastering Foundational Cybersecurity Principles for Modern Organizations,Online,"$ 3,950",01 - 05 Jun 2026
Security Essentials Bootcamp,Mastering Foundational Cybersecurity Principles for Modern Organizations,Online,"$ 3,950",09 - 13 Nov 2026
Computing Technology Industry Association (CompTIA) Security+,Transforming Cybersecurity Knowledge into Global Opportunities with CompTIA Security+,London - UK,"$ 6,950",10 - 14 Nov 2025
Computing Technology Industry Association (CompTIA) Security+,Transforming Cybersecurity Knowledge into Global Opportunities with CompTIA Security+,London - UK,"$ 6,950",04 - 08 May 2026
Computing Technology Industry Association (CompTIA) Security+,Transforming Cybersecurity Knowledge into Global Opportunities with CompTIA Security+,London - UK,"$ 6,950",17 - 21 Aug 2026
Computing Technology Industry Association (CompTIA) Security+,Transforming Cybersecurity Knowledge into Global Opportunities with CompTIA Security+,London - UK,"$ 6,950",09 - 13 Nov 2026
Computing Technology Industry Association (CompTIA) Security+,Transforming Cybersecurity Knowledge into Global Opportunities with CompTIA Security+,Online,"$ 3,950",10 - 14 Nov 2025
Computing Technology Industry Association (CompTIA) Security+,Transforming Cybersecurity Knowledge into Global Opportunities with CompTIA Security+,Online,"$ 3,950",09 - 13 Nov 2026
Security Essentials Bootcamp,Mastering Foundational Cybersecurity Principles for Modern Organizations,Dubai - UAE,"$ 5,950",10 - 14 Nov 2025
Security Essentials Bootcamp,Mastering Foundational Cybersecurity Principles for Modern Organizations,Dubai - UAE,"$ 5,950",23 - 27 Mar 2026
Security Essentials Bootcamp,Mastering Foundational Cybersecurity Principles for Modern Organizations,London - UK,"$ 5,950",01 - 05 Jun 2026
Security Essentials Bootcamp,Mastering Foundational Cybersecurity Principles for Modern Organizations,London - UK,"$ 5,950",21 - 25 Sep 2026
Security Essentials Bootcamp,Mastering Foundational Cybersecurity Principles for Modern Organizations,Dubai - UAE,"$ 5,950",09 - 13 Nov 2026
Security Essentials Bootcamp,Mastering Foundational Cybersecurity Principles for Modern Organizations,Online,"$ 3,950",10 - 14 Nov 2025
Security Essentials Bootcamp,Mastering Foundational Cybersecurity Principles for Modern Organizations,Online,"$ 3,950",01 - 05 Jun 2026
Security Essentials Bootcamp,Mastering Foundational Cybersecurity Principles for Modern Organizations,Online,"$ 3,950",09 - 13 Nov 2026
COBIT 2019 Foundation Course,A Framework for the Governance and Management of Enterprise Information and Technology,Dubai - UAE,"$ 4,950",17 - 20 Nov 2025
COBIT 2019 Foundation Course,A Framework for the Governance and Management of Enterprise Information and Technology,Dubai - UAE,"$ 4,950",06 - 09 Apr 2026
COBIT 2019 Foundation Course,A Framework for the Governance and Management of Enterprise Information and Technology,Dubai - UAE,"$ 4,950",16 - 19 Nov 2026
COBIT 2019 Foundation Course,A Framework for the Governance and Management of Enterprise Information and Technology,Online,"$ 3,450",02 - 05 Feb 2026
Certified in Risk and Information Systems Control (CRISC) Exam Preparation Training Course,Develop Your Skills in IT Risk Management and Information Systems Control,Dubai - UAE,"$ 5,950",17 - 21 Nov 2025
Certified in Risk and Information Systems Control (CRISC) Exam Preparation Training Course,Develop Your Skills in IT Risk Management and Information Systems Control,London - UK,"$ 5,950",23 - 27 Mar 2026
Certified in Risk and Information Systems Control (CRISC) Exam Preparation Training Course,Develop Your Skills in IT Risk Management and Information Systems Control,Dubai - UAE,"$ 5,950",16 - 20 Nov 2026
Certified in Risk and Information Systems Control (CRISC) Exam Preparation Training Course,Develop Your Skills in IT Risk Management and Information Systems Control,Online,"$ 3,950",17 - 21 Nov 2025
Certified in Risk and Information Systems Control (CRISC) Exam Preparation Training Course,Develop Your Skills in IT Risk Management and Information Systems Control,Online,"$ 3,950",16 - 20 Nov 2026
Certified in Risk and Information Systems Control (CRISC) Exam Preparation Training Course,Develop Your Skills in IT Risk Management and Information Systems Control,Dubai - UAE,"$ 5,950",17 - 21 Nov 2025
Certified in Risk and Information Systems Control (CRISC) Exam Preparation Training Course,Develop Your Skills in IT Risk Management and Information Systems Control,London - UK,"$ 5,950",23 - 27 Mar 2026
Certified in Risk and Information Systems Control (CRISC) Exam Preparation Training Course,Develop Your Skills in IT Risk Management and Information Systems Control,Dubai - UAE,"$ 5,950",16 - 20 Nov 2026
Certified in Risk and Information Systems Control (CRISC) Exam Preparation Training Course,Develop Your Skills in IT Risk Management and Information Systems Control,Online,"$ 3,950",17 - 21 Nov 2025
Certified in Risk and Information Systems Control (CRISC) Exam Preparation Training Course,Develop Your Skills in IT Risk Management and Information Systems Control,Online,"$ 3,950",16 - 20 Nov 2026
IT Service Management,Optimizing IT Services for Business Success,London - UK,"$ 5,950",01 - 05 Dec 2025
IT Service Management,Optimizing IT Services for Business Success,Dubai - UAE,"$ 5,950",06 - 10 Apr 2026
IT Service Management,Optimizing IT Services for Business Success,London - UK,"$ 5,950",24 - 28 Aug 2026
IT Service Management,Optimizing IT Services for Business Success,London - UK,"$ 5,950",30 Nov - 04 Dec 2026
The Certificate in Information Security Management Principles (CISMP) Exam Preparation Training Course,Helping you Prepare for the CISMP Exam,London - UK,"$ 5,950",01 - 05 Dec 2025
The Certificate in Information Security Management Principles (CISMP) Exam Preparation Training Course,Helping you Prepare for the CISMP Exam,Dubai - UAE,"$ 5,950",27 Apr - 01 May 2026
The Certificate in Information Security Management Principles (CISMP) Exam Preparation Training Course,Helping you Prepare for the CISMP Exam,London - UK,"$ 5,950",30 Nov - 04 Dec 2026
COBIT 2019 Design and Implementation Course,A Framework for designing and implementing Enterprise Governance of Information and Technology,Dubai - UAE,"$ 5,950",01 - 05 Dec 2025
COBIT 2019 Design and Implementation Course,A Framework for designing and implementing Enterprise Governance of Information and Technology,Dubai - UAE,"$ 5,950",06 - 10 Jul 2026
COBIT 2019 Design and Implementation Course,A Framework for designing and implementing Enterprise Governance of Information and Technology,Dubai - UAE,"$ 5,950",30 Nov - 04 Dec 2026
"Data Governance, Privacy & Integrity in Artificial Intelligence (AI)","Protecting Data Integrity, Security & Compliance in AI-Driven Operations",Dubai - UAE,"$ 5,950",01 - 05 Dec 2025
"Data Governance, Privacy & Integrity in Artificial Intelligence (AI)","Protecting Data Integrity, Security & Compliance in AI-Driven Operations",Dubai - UAE,"$ 5,950",29 Jun - 03 Jul 2026
