Main_Title,Sub_Title,Venue,Fees,Date,Links
Functional Safety & Cybersecurity,Safeguarding and Protecting People and Resources,Online,"$3,950",03 - 07 Nov 2025,https://glomacs.com/training-course/functional-safety-cybersecurity
Process Control Cybersecurity,Securing your Oil & Gas Assets,London,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/process-control-cybersecurity
Functional Safety & Cybersecurity,Safeguarding and Protecting People and Resources,Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/functional-safety-cybersecurity
Computing Technology Industry Association (CompTIA) Security+,Transforming Cybersecurity Knowledge into Global Opportunities with CompTIA Security+,Online,"$3,950",10 - 14 Nov 2025,https://glomacs.com/training-course/computing-technology-industry-association-comptia-security
Security Essentials Bootcamp,Mastering Foundational Cybersecurity Principles for Modern Organizations,Dubai,"$5,950",10 - 14 Nov 2025,https://glomacs.com/training-course/security-essentials-bootcamp
Computing Technology Industry Association (CompTIA) Security+,Transforming Cybersecurity Knowledge into Global Opportunities with CompTIA Security+,London,"$6,950",10 - 14 Nov 2025,https://glomacs.com/training-course/computing-technology-industry-association-comptia-security
Security Essentials Bootcamp,Mastering Foundational Cybersecurity Principles for Modern Organizations,Online,"$3,950",10 - 14 Nov 2025,https://glomacs.com/training-course/security-essentials-bootcamp
COBIT 2019 Foundation Course,A Framework for the Governance and Management of Enterprise Information and Technology,Dubai,"$4,950",17 - 20 Nov 2025,https://glomacs.com/training-course/cobit-2019-foundation-course
Certified in Risk and Information Systems Control (CRISC) Exam Preparation Training Course,Develop Your Skills in IT Risk Management and Information Systems Control,Dubai,"$5,950",17 - 21 Nov 2025,https://glomacs.com/training-course/certified-in-risk-and-information-systems-control-crisc-exam-preparation-training-course
Certified in Risk and Information Systems Control (CRISC) Exam Preparation Training Course,Develop Your Skills in IT Risk Management and Information Systems Control,Online,"$3,950",17 - 21 Nov 2025,https://glomacs.com/training-course/certified-in-risk-and-information-systems-control-crisc-exam-preparation-training-course
IT Service Management,Optimizing IT Services for Business Success,London,"$5,950",01 - 05 Dec 2025,https://glomacs.com/training-course/it-service-management
The Certificate in Information Security Management Principles (CISMP) Exam Preparation Training Course,Helping you Prepare for the CISMP Exam,London,"$5,950",01 - 05 Dec 2025,https://glomacs.com/training-course/the-certificate-in-information-security-management-principles-cismp-exam-preparation-training-course
COBIT 2019 Design and Implementation Course,A Framework for designing and implementing Enterprise Governance of Information and Technology,Dubai,"$5,950",01 - 05 Dec 2025,https://glomacs.com/training-course/cobit-2019-design-and-implementation-course
"Data Governance, Privacy & Integrity in Artificial Intelligence (AI)","Protecting Data Integrity, Security & Compliance in AI-Driven Operations",Dubai,"$5,950",01 - 05 Dec 2025,https://glomacs.com/training-course/data-governance-and-privacy-in-ai-systems
Executive Leadership in Artificial Intelligence (AI) Systems,"Mastering Data Governance, Privacy, and Technical Architecture",Dubai,"$11,900",01 - 12 Dec 2025,https://glomacs.com/training-course/executive-leadership-in-ai-systems
10-Day CyberSec First Responder (CFR),Building Advanced Cybersecurity Response Capabilities for Critical Threats,Singapore City,"$11,950",01 - 12 Dec 2025,https://glomacs.com/training-course/10-day-cybersec-first-responder-cfr
Cybersecurity Fundamentals for AI-Driven Fraud Detection,Securing Intelligent Systems to Strengthen Fraud Prevention and Digital Trust,London,"$5,950",08 - 12 Dec 2025,https://glomacs.com/training-course/cybersecurity-fundamentals-for-ai-driven-fraud-detection
Artificial Intelligence (AI) Systems Architecture and Governance,,Dubai,"$5,950",08 - 12 Dec 2025,https://glomacs.com/training-course/ai-systems-architecture-and-governance
Smart Building Technologies,Innovative Solutions for Optimizing Building Performance and Efficiency,Dubai,"$5,950",08 - 12 Dec 2025,https://glomacs.com/training-course/smart-building-technologies
Big Data Governance: Bad Data or Better Data or Best Data,From Vision to Value for Decision - Making Insights,Dubai,"$5,950",08 - 12 Dec 2025,https://glomacs.com/training-course/big-data-to-decision-making
ISO 27001,"Information Security, Cybersecurity, and Privacy Protection Management Systems",Dubai,"$5,950",15 - 19 Dec 2025,https://glomacs.com/training-course/iso-27001
"Cybersecurity, Information Governance, Legal Risk Management and Compliance with ISO Records Management Controls",,Dubai,"$5,950",12 - 16 Jan 2026,https://glomacs.com/training-course/cybersecurity-information-governance-legal-risk-management-and-compliance-with-iso-records-management-controls
"Cybersecurity, Information Governance, Legal Risk Management and Compliance with ISO Records Management Controls",,Online,"$3,950",12 - 16 Jan 2026,https://glomacs.com/training-course/cybersecurity-information-governance-legal-risk-management-and-compliance-with-iso-records-management-controls
COBIT 2019 Foundation Course,A Framework for the Governance and Management of Enterprise Information and Technology,Online,"$3,450",02 - 05 Feb 2026,https://glomacs.com/training-course/cobit-2019-foundation-course
Smart Building Technologies,Innovative Solutions for Optimizing Building Performance and Efficiency,London,"$5,950",02 - 06 Feb 2026,https://glomacs.com/training-course/smart-building-technologies
Certified Information Security Manager (CISM) Exam Preparation Training Course,Providing the Building Blocks to become an Information Security Leader,Dubai,"$5,950",09 - 13 Feb 2026,https://glomacs.com/training-course/certified-information-security-manager-cism-exam-preparation-training-course
Certified in Risk and Information Systems Control (CRISC) Exam Preparation Training Course,Develop Your Skills in IT Risk Management and Information Systems Control,London,"$5,950",23 - 27 Mar 2026,https://glomacs.com/training-course/certified-in-risk-and-information-systems-control-crisc-exam-preparation-training-course
ISO 27001,"Information Security, Cybersecurity, and Privacy Protection Management Systems",London,"$5,950",23 - 27 Mar 2026,https://glomacs.com/training-course/iso-27001
Security Essentials Bootcamp,Mastering Foundational Cybersecurity Principles for Modern Organizations,Dubai,"$5,950",23 - 27 Mar 2026,https://glomacs.com/training-course/security-essentials-bootcamp
ISO 27001,"Information Security, Cybersecurity, and Privacy Protection Management Systems",Online,"$3,950",23 - 27 Mar 2026,https://glomacs.com/training-course/iso-27001
Big Data Governance: Bad Data or Better Data or Best Data,From Vision to Value for Decision - Making Insights,London,"$5,950",30 Mar - 03 Apr 2026,https://glomacs.com/training-course/big-data-to-decision-making
COBIT 2019 Foundation Course,A Framework for the Governance and Management of Enterprise Information and Technology,Dubai,"$4,950",06 - 09 Apr 2026,https://glomacs.com/training-course/cobit-2019-foundation-course
IT Service Management,Optimizing IT Services for Business Success,Dubai,"$5,950",06 - 10 Apr 2026,https://glomacs.com/training-course/it-service-management
Process Control Cybersecurity,Securing your Oil & Gas Assets,Dubai,"$5,950",20 - 24 Apr 2026,https://glomacs.com/training-course/process-control-cybersecurity
Smart Building Technologies,Innovative Solutions for Optimizing Building Performance and Efficiency,Barcelona,"$5,950",20 - 24 Apr 2026,https://glomacs.com/training-course/smart-building-technologies
The Certificate in Information Security Management Principles (CISMP) Exam Preparation Training Course,Helping you Prepare for the CISMP Exam,Dubai,"$5,950",27 Apr - 01 May 2026,https://glomacs.com/training-course/the-certificate-in-information-security-management-principles-cismp-exam-preparation-training-course
ISO 27001,"Information Security, Cybersecurity, and Privacy Protection Management Systems",Dubai,"$5,950",04 - 08 May 2026,https://glomacs.com/training-course/iso-27001
Cybersecurity Fundamentals for AI-Driven Fraud Detection,Securing Intelligent Systems to Strengthen Fraud Prevention and Digital Trust,Dubai,"$5,950",04 - 08 May 2026,https://glomacs.com/training-course/cybersecurity-fundamentals-for-ai-driven-fraud-detection
