Main_Title,Sub_Title,Venue,Fees,Date
"Project Leadership, Management and Communications",Developing Key Leadership Skills to Deliver Better Projects,Barcelona - Spain,"$ 5,950",27 - 31 Oct 2025
"Project Leadership, Management and Communications",Developing Key Leadership Skills to Deliver Better Projects,Nairobi - Kenya,"$ 5,950",24 - 28 Nov 2025
"Project Leadership, Management and Communications",Developing Key Leadership Skills to Deliver Better Projects,London - UK,"$ 5,950",22 - 26 Dec 2025
"Project Leadership, Management and Communications",Developing Key Leadership Skills to Deliver Better Projects,Dubai - UAE,"$ 5,950",29 Dec - 02 Jan 2026
"Project Leadership, Management and Communications",Developing Key Leadership Skills to Deliver Better Projects,Dubai - UAE,"$ 5,950",09 - 13 Feb 2026
"Project Leadership, Management and Communications",Developing Key Leadership Skills to Deliver Better Projects,Singapore City - Singapore,"$ 5,950",23 - 27 Mar 2026
"Project Leadership, Management and Communications",Developing Key Leadership Skills to Deliver Better Projects,Miami - USA,"$ 7,950",11 - 15 May 2026
"Project Leadership, Management and Communications",Developing Key Leadership Skills to Deliver Better Projects,Dubai - UAE,"$ 5,950",08 - 12 Jun 2026
"Project Leadership, Management and Communications",Developing Key Leadership Skills to Deliver Better Projects,London - UK,"$ 5,950",15 - 19 Jun 2026
"Project Leadership, Management and Communications",Developing Key Leadership Skills to Deliver Better Projects,Amsterdam - The Netherlands,"$ 5,950",10 - 14 Aug 2026
"Project Leadership, Management and Communications",Developing Key Leadership Skills to Deliver Better Projects,Dubai - UAE,"$ 5,950",31 Aug - 04 Sep 2026
"Project Leadership, Management and Communications",Developing Key Leadership Skills to Deliver Better Projects,Dubai - UAE,"$ 5,950",19 - 23 Oct 2026
"Project Leadership, Management and Communications",Developing Key Leadership Skills to Deliver Better Projects,Barcelona - Spain,"$ 5,950",26 - 30 Oct 2026
"Project Leadership, Management and Communications",Developing Key Leadership Skills to Deliver Better Projects,Nairobi - Kenya,"$ 5,950",23 - 27 Nov 2026
"Project Leadership, Management and Communications",Developing Key Leadership Skills to Deliver Better Projects,London - UK,"$ 5,950",21 - 25 Dec 2026
"Project Leadership, Management and Communications",Developing Key Leadership Skills to Deliver Better Projects,Dubai - UAE,"$ 5,950",28 Dec - 01 Jan 2027
"Project Leadership, Management and Communications",Developing Key Leadership Skills to Deliver Better Projects,Online,"$ 3,950",26 - 30 Oct 2025
"Project Leadership, Management and Communications",Developing Key Leadership Skills to Deliver Better Projects,Online,"$ 3,950",15 - 19 Jun 2026
"Project Leadership, Management and Communications",Developing Key Leadership Skills to Deliver Better Projects,Online,"$ 3,950",26 - 30 Oct 2026
Project Risk Management Workshop for Project Professionals,Applying Proven Risk Management Techniques to Real Project Risks,Abuja - Nigeria,"$ 3,900",27 - 29 Oct 2025
Project Risk Management Workshop for Project Professionals,Applying Proven Risk Management Techniques to Real Project Risks,Abuja - Nigeria,"$ 3,950",22 - 24 Jun 2026
Project Risk Management Workshop for Project Professionals,Applying Proven Risk Management Techniques to Real Project Risks,Abuja - Nigeria,"$ 3,950",26 - 28 Oct 2026
Strategic Planning and Project Management Reviews,Business Strategic Planning and Implementation,Barcelona - Spain,"$ 5,950",27 - 31 Oct 2025
Strategic Planning and Project Management Reviews,Business Strategic Planning and Implementation,Dubai - UAE,"$ 5,950",17 - 21 Nov 2025
Strategic Planning and Project Management Reviews,Business Strategic Planning and Implementation,London - UK,"$ 5,950",29 Dec - 02 Jan 2026
Strategic Planning and Project Management Reviews,Business Strategic Planning and Implementation,London - UK,"$ 5,950",11 - 15 May 2026
Strategic Planning and Project Management Reviews,Business Strategic Planning and Implementation,Dubai - UAE,"$ 5,950",06 - 10 Jul 2026
Strategic Planning and Project Management Reviews,Business Strategic Planning and Implementation,Amsterdam - The Netherlands,"$ 5,950",17 - 21 Aug 2026
Strategic Planning and Project Management Reviews,Business Strategic Planning and Implementation,Istanbul - Turkey,"$ 5,950",21 - 25 Sep 2026
Strategic Planning and Project Management Reviews,Business Strategic Planning and Implementation,Barcelona - Spain,"$ 5,950",26 - 30 Oct 2026
Strategic Planning and Project Management Reviews,Business Strategic Planning and Implementation,Dubai - UAE,"$ 5,950",16 - 20 Nov 2026
Strategic Planning and Project Management Reviews,Business Strategic Planning and Implementation,London - UK,"$ 5,950",28 Dec - 01 Jan 2027
Strategic Planning and Project Management Reviews,Business Strategic Planning and Implementation,Online,"$ 3,950",27 - 31 Oct 2025
Strategic Planning and Project Management Reviews,Business Strategic Planning and Implementation,Online,"$ 3,950",11 - 15 May 2026
Strategic Planning and Project Management Reviews,Business Strategic Planning and Implementation,Online,"$ 3,950",26 - 30 Oct 2026
Best Practices in Projects Technical Library & Digitalization,The Best Way to Manage Digitalization Projects and Transfer to Paperless Working Environment,Dubai - UAE,"$ 5,950",27 - 31 Oct 2025
Best Practices in Projects Technical Library & Digitalization,The Best Way to Manage Digitalization Projects and Transfer to Paperless Working Environment,Paris - France,"$ 5,950",10 - 14 Nov 2025
Best Practices in Projects Technical Library & Digitalization,The Best Way to Manage Digitalization Projects and Transfer to Paperless Working Environment,Doha - Qatar,"$ 5,950",24 - 28 Nov 2025
Best Practices in Projects Technical Library & Digitalization,The Best Way to Manage Digitalization Projects and Transfer to Paperless Working Environment,Dubai - UAE,"$ 5,950",22 - 26 Dec 2025
Best Practices in Projects Technical Library & Digitalization,The Best Way to Manage Digitalization Projects and Transfer to Paperless Working Environment,Dubai - UAE,"$ 5,950",02 - 06 Mar 2026
Best Practices in Projects Technical Library & Digitalization,The Best Way to Manage Digitalization Projects and Transfer to Paperless Working Environment,Dubai - UAE,"$ 5,950",08 - 12 Jun 2026
Best Practices in Projects Technical Library & Digitalization,The Best Way to Manage Digitalization Projects and Transfer to Paperless Working Environment,Dubai - UAE,"$ 5,950",24 - 28 Aug 2026
