Main_Title,Sub_Title,Venue,Fees,Date,Links
"Project Leadership, Management and Communications",Developing Key Leadership Skills to Deliver Better Projects,Online,"$3,950",26 - 30 Oct 2025,https://glomacs.com/training-course/project-leadership-management-and-communications
Project Risk Management Workshop for Project Professionals,Applying Proven Risk Management Techniques to Real Project Risks,Abuja,"$3,900",27 - 29 Oct 2025,https://glomacs.com/training-course/project-risk-management-workshop-for-project-professionals
Strategic Planning and Project Management Reviews,Business Strategic Planning and Implementation,Barcelona,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/strategic-planning-and-project-management-reviews
Best Practices in Projects Technical Library & Digitalization,The Best Way to Manage Digitalization Projects and Transfer to Paperless Working Environment,Dubai,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/best-practices-in-projects-technical-library-digitalization
"Project Control, Risk and Governance",,Dubai,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/project-control-risk-and-governance
"Managing and Supervising Projects, Consultants and Contractors",Developing Supervisory Skills in the Construction Projects,London,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/managing-supervising-projects-consultants-contractors
Strategic Planning and Project Management Reviews,Business Strategic Planning and Implementation,Online,"$3,950",27 - 31 Oct 2025,https://glomacs.com/training-course/strategic-planning-and-project-management-reviews
"Project Leadership, Management and Communications",Developing Key Leadership Skills to Deliver Better Projects,Barcelona,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/project-leadership-management-and-communications
"Managing Multiple Tasks, Priorities & Deadlines","Prioritize Crucial Tasks, Manage Demands,Reduce Pressure, and Master Multiple Tasks",Dubai,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/managing-multiple-tasks-priorities-deadlines
Applying Project Control,Ensuring Successful Project Delivery Through Optimised Control,Miami,"$6,950",27 - 31 Oct 2025,https://glomacs.com/training-course/applying-project-control
"Project Control, Risk and Governance",,Online,"$3,950",27 - 31 Oct 2025,https://glomacs.com/training-course/project-control-risk-and-governance
Financing of Energy Projects,Essentials of Sustainable Energy Finance,Dubai,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/financing-of-energy-projects
Cost Analysis of Plug and Abandonment Operations,"Cost Estimation Good Practices for Liability Provisioning, Project Planning and Effective Cost Control of Well Abandonment",Dubai,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/cost-analysis-of-plug-and-abandonment-operations
Project Risk Analysis & Management,Understanding the Key Drivers towards Proactive Behaviours,New York,"$6,950",27 - 31 Oct 2025,https://glomacs.com/training-course/project-risk-analysis-management
Effective Project Contracting,Project Management for Contract Professionals,Dubai,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/effective-project-contracting
Mastering Project Management,Developing Essential Skills for Successful Project Delivery,London,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/mastering-project-management
Best Practices for Construction Project Scheduling,How to avoid chaos and complete your projects on time,London,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/best-practices-for-construction-project-scheduling
Effective Project Contracting,Project Management for Contract Professionals,Online,"$3,950",27 - 31 Oct 2025,https://glomacs.com/training-course/effective-project-contracting
Project Budgeting & Cost Management,Establishing and Controlling Your Project's Planned Expenditures,Barcelona,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/project-budgeting-and-cost-management
The Contracts & Project Management MBA,Exploring the Critical Aspects of Contract & Project Management,London,"$11,900",27 Oct - 07 Nov 2025,https://glomacs.com/training-course/the-contracts-and-project-management-mba
