Main_Title,Sub_Title,Venue,Fees,Date
Joint Venture and Other Collaboration Agreement for the Oil & Gas Industry,"Working in Partnership, Joint Venture and Production Sharing Contract",Dubai - UAE,"$ 5,950",27 - 31 Oct 2025
Joint Venture and Other Collaboration Agreement for the Oil & Gas Industry,"Working in Partnership, Joint Venture and Production Sharing Contract",London - UK,"$ 5,950",17 - 21 Nov 2025
Joint Venture and Other Collaboration Agreement for the Oil & Gas Industry,"Working in Partnership, Joint Venture and Production Sharing Contract",Dubai - UAE,"$ 5,950",12 - 16 Jan 2026
Joint Venture and Other Collaboration Agreement for the Oil & Gas Industry,"Working in Partnership, Joint Venture and Production Sharing Contract",Dubai - UAE,"$ 5,950",11 - 15 May 2026
Joint Venture and Other Collaboration Agreement for the Oil & Gas Industry,"Working in Partnership, Joint Venture and Production Sharing Contract",Dubai - UAE,"$ 5,950",06 - 10 Jul 2026
Joint Venture and Other Collaboration Agreement for the Oil & Gas Industry,"Working in Partnership, Joint Venture and Production Sharing Contract",Dubai - UAE,"$ 5,950",17 - 21 Aug 2026
Joint Venture and Other Collaboration Agreement for the Oil & Gas Industry,"Working in Partnership, Joint Venture and Production Sharing Contract",Dubai - UAE,"$ 5,950",26 - 30 Oct 2026
Joint Venture and Other Collaboration Agreement for the Oil & Gas Industry,"Working in Partnership, Joint Venture and Production Sharing Contract",London - UK,"$ 5,950",16 - 20 Nov 2026
Complex Negotiation Skills in the Oil & Gas,Avoid Contractual Pitfalls while Maximising Your Business Gains,Abu Dhabi - UAE,"$ 5,950",27 - 31 Oct 2025
Complex Negotiation Skills in the Oil & Gas,Avoid Contractual Pitfalls while Maximising Your Business Gains,Dubai - UAE,"$ 5,950",01 - 05 Dec 2025
Complex Negotiation Skills in the Oil & Gas,Avoid Contractual Pitfalls while Maximising Your Business Gains,London - UK,"$ 5,950",22 - 26 Dec 2025
Complex Negotiation Skills in the Oil & Gas,Avoid Contractual Pitfalls while Maximising Your Business Gains,Cairo - Egypt,"$ 5,950",02 - 06 Mar 2026
Complex Negotiation Skills in the Oil & Gas,Avoid Contractual Pitfalls while Maximising Your Business Gains,Dubai - UAE,"$ 5,950",01 - 05 Jun 2026
Complex Negotiation Skills in the Oil & Gas,Avoid Contractual Pitfalls while Maximising Your Business Gains,Houston - USA,"$ 7,950",13 - 17 Jul 2026
Complex Negotiation Skills in the Oil & Gas,Avoid Contractual Pitfalls while Maximising Your Business Gains,Kigali - Rwanda,"$ 5,950",31 Aug - 04 Sep 2026
Complex Negotiation Skills in the Oil & Gas,Avoid Contractual Pitfalls while Maximising Your Business Gains,Amsterdam - The Netherlands,"$ 5,950",14 - 18 Sep 2026
Complex Negotiation Skills in the Oil & Gas,Avoid Contractual Pitfalls while Maximising Your Business Gains,Abu Dhabi - UAE,"$ 5,950",26 - 30 Oct 2026
Complex Negotiation Skills in the Oil & Gas,Avoid Contractual Pitfalls while Maximising Your Business Gains,Dubai - UAE,"$ 5,950",30 Nov - 04 Dec 2026
Complex Negotiation Skills in the Oil & Gas,Avoid Contractual Pitfalls while Maximising Your Business Gains,London - UK,"$ 5,950",21 - 25 Dec 2026
Complex Negotiation Skills in the Oil & Gas,Avoid Contractual Pitfalls while Maximising Your Business Gains,Online,"$ 3,950",13 - 17 Jul 2026
"Negotiating, Drafting & Understanding Contracts",Achieving stronger contracting skills,Dubai - UAE,"$ 5,950",27 - 31 Oct 2025
"Negotiating, Drafting & Understanding Contracts",Achieving stronger contracting skills,Edinburgh - UK,"$ 5,950",04 - 08 May 2026
"Negotiating, Drafting & Understanding Contracts",Achieving stronger contracting skills,Dubai - UAE,"$ 5,950",26 - 30 Oct 2026
"Negotiating, Drafting & Understanding Contracts",Achieving stronger contracting skills,Online,"$ 3,950",27 - 31 Oct 2025
"Negotiating, Drafting & Understanding Contracts",Achieving stronger contracting skills,Online,"$ 3,950",26 - 30 Oct 2026
Service Level Agreements,"Planning, Negotiating & Managing High-quality Performance Contracts",Abu Dhabi - UAE,"$ 5,950",27 - 31 Oct 2025
Service Level Agreements,"Planning, Negotiating & Managing High-quality Performance Contracts",Amsterdam - The Netherlands,"$ 5,950",08 - 12 Dec 2025
Service Level Agreements,"Planning, Negotiating & Managing High-quality Performance Contracts",Dubai - UAE,"$ 5,950",11 - 15 May 2026
Service Level Agreements,"Planning, Negotiating & Managing High-quality Performance Contracts",Kuala Lumpur - Malaysia,"$ 5,950",08 - 12 Jun 2026
Service Level Agreements,"Planning, Negotiating & Managing High-quality Performance Contracts",London - UK,"$ 5,950",20 - 24 Jul 2026
Service Level Agreements,"Planning, Negotiating & Managing High-quality Performance Contracts",Dubai - UAE,"$ 5,950",10 - 14 Aug 2026
Service Level Agreements,"Planning, Negotiating & Managing High-quality Performance Contracts",London - UK,"$ 5,950",17 - 21 Aug 2026
Service Level Agreements,"Planning, Negotiating & Managing High-quality Performance Contracts",Lisbon - Portugal,"$ 5,950",05 - 09 Oct 2026
Service Level Agreements,"Planning, Negotiating & Managing High-quality Performance Contracts",Abu Dhabi - UAE,"$ 5,950",26 - 30 Oct 2026
Service Level Agreements,"Planning, Negotiating & Managing High-quality Performance Contracts",Amsterdam - The Netherlands,"$ 5,950",07 - 11 Dec 2026
Global Environmental Law and Governance,Challenges and Practical Solutions,Dubai - UAE,"$ 5,950",27 - 31 Oct 2025
Global Environmental Law and Governance,Challenges and Practical Solutions,London - UK,"$ 5,950",08 - 12 Jun 2026
Global Environmental Law and Governance,Challenges and Practical Solutions,Dubai - UAE,"$ 5,950",26 - 30 Oct 2026
Global Environmental Law and Governance,Challenges and Practical Solutions,Online,"$ 3,950",27 - 31 Oct 2025
Global Environmental Law and Governance,Challenges and Practical Solutions,Online,"$ 3,950",26 - 30 Oct 2026
