Main_Title,Sub_Title,Venue,Fees,Date,Links
Joint Venture and Other Collaboration Agreement for the Oil & Gas Industry,"Working in Partnership, Joint Venture and Production Sharing Contract",Dubai,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/joint-venture-and-other-collaboration-agreement-for-the-oil-gas-industry
Complex Negotiation Skills in the Oil & Gas,Avoid Contractual Pitfalls while Maximising Your Business Gains,Abu Dhabi,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/complex-negotiation-skills-in-the-oil-gas
"Negotiating, Drafting & Understanding Contracts",Achieving stronger contracting skills,Online,"$3,950",27 - 31 Oct 2025,https://glomacs.com/training-course/negotiating-drafting-and-understanding-contracts
Service Level Agreements,"Planning, Negotiating & Managing High-quality Performance Contracts",Abu Dhabi,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/service-level-agreements
Global Environmental Law and Governance,Challenges and Practical Solutions,Dubai,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/global-environmental-law-governance
"Managing and Supervising Projects, Consultants and Contractors",Developing Supervisory Skills in the Construction Projects,London,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/managing-supervising-projects-consultants-contractors
Effective Project Contracting,Project Management for Contract Professionals,Dubai,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/effective-project-contracting
Claims Management and Dispute Avoidance,Balancing Performance and Mitigating Risk,Paris,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/claims-management-and-dispute-avoidance
Global Environmental Law and Governance,Challenges and Practical Solutions,Online,"$3,950",27 - 31 Oct 2025,https://glomacs.com/training-course/global-environmental-law-governance
Effective Project Contracting,Project Management for Contract Professionals,Online,"$3,950",27 - 31 Oct 2025,https://glomacs.com/training-course/effective-project-contracting
Claims Management and Dispute Avoidance,Balancing Performance and Mitigating Risk,Online,"$3,950",27 - 31 Oct 2025,https://glomacs.com/training-course/claims-management-and-dispute-avoidance
International Trade Law,Understanding Trade Negotiation and International Legal Agreements,Dubai,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/international-trade-law
"Negotiating, Drafting & Understanding Contracts",Achieving stronger contracting skills,Dubai,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/negotiating-drafting-and-understanding-contracts
The Contracts & Project Management MBA,Exploring the Critical Aspects of Contract & Project Management,London,"$11,900",27 Oct - 07 Nov 2025,https://glomacs.com/training-course/the-contracts-and-project-management-mba
Loan Documentation,Mastering the Legal and Financial Frameworks for Secure Lending Agreements,Riyadh,"$2,950",02 - 03 Nov 2025,https://glomacs.com/training-course/loan-documentation
Advanced Contract Management,Maximising Contract Effectiveness,Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/advanced-contract-management
Claims Management and Dispute Avoidance,Balancing Performance and Mitigating Risk,Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/claims-management-and-dispute-avoidance
"Maritime Law, Insurance and Claims",An Overview of the Regulatory and Contractual Frameworks in the Maritime Industry,London,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/maritime-law-insurance-claims
Managing the Procurement Process,"Planning, Suppliers Selection, Negotiation and Contract Award",Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/managing-the-procurement-process
Artificial Intelligence (AI) in Contract Management,,Amsterdam,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/artificial-intelligence-ai-and-contract-management
Managing the Procurement Process,"Planning, Suppliers Selection, Negotiation and Contract Award",Online,"$3,950",03 - 07 Nov 2025,https://glomacs.com/training-course/managing-the-procurement-process
Commercial and Business Contracts,A Practical Guide,Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/commercial-and-business-contracts
Mastering Contracts Management : The Oxford 5-Day MBA,Achieving Excellence in Contracting,London,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/mastering-contracts-management
Advanced Logistics and Contract Management in the Oil and Gas Industry,Strategies for Transportation Optimization and Contract Compliance,Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/advanced-logistics-and-contract-management-in-the-oil-and-gas-industry
Construction Contracts Masterclass,Developing & Managing Successful Construction Contracts,Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/construction-contracts-masterclass
Contract Drafting for Non-Lawyers,Adding Value to the Development of Commercial Agreements,Amsterdam,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/contract-drafting-for-non-lawyers
Regulations and Control in Corporate Governance,Your Guidance in Good Governance of Organizations,London,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/regulations-and-control-in-corporate-governance
Certified Professional Contract Manager(CPCM) Exam Preparation Course,Mastering the Art and Science of Contract Management,Online,"$3,950",03 - 07 Nov 2025,https://glomacs.com/training-course/certified-professional-contract-manager-cpcm-exam-preparation-course
The Contracts & Project Management MBA,Exploring the Critical Aspects of Contract & Project Management,Geneva,"$11,900",03 - 14 Nov 2025,https://glomacs.com/training-course/the-contracts-and-project-management-mba
Mastering Procurement & Contract Management,,London,"$11,900",03 - 14 Nov 2025,https://glomacs.com/training-course/mastering-procurement-management-contract-management
Advanced Contract and Project Management,Getting the Best out of Projects in a Contracting Environment,Dubai,"$11,900",03 - 14 Nov 2025,https://glomacs.com/training-course/advanced-contract-and-project-management
"Managing Vendor Qualification, Performance & Contract Compliance",Vendors Management from Selection to Contracting,Online,"$3,950",09 - 13 Nov 2025,https://glomacs.com/training-course/managing-vendor-qualification-performance-and-contract-compliance
Pre-Contract Essentials,Get Prepared for Professional Contractual Relation,London,"$5,950",10 - 14 Nov 2025,https://glomacs.com/training-course/pre-contract-essentials
"Developing Strategic Partnerships, Joint Ventures and Consortia","Prospects, Analysis, and Execution",New York,"$6,950",10 - 14 Nov 2025,https://glomacs.com/training-course/developing-strategic-partnerships-joint-ventures-and-consortia
"Statutory, Legal and Compliance Requirements",Compliance in Practice & Risk Management,Dubai,"$5,950",10 - 14 Nov 2025,https://glomacs.com/training-course/statutory-legal-and-compliance-requirements
Contract Risk Management & Compliance,Mastering the Strategic Approach in a Post-Pandemic World,Online,"$3,950",10 - 14 Nov 2025,https://glomacs.com/training-course/contract-risk-management-and-compliance
Advanced Project Management,Developing the Ability to Achieve Strategic Change,Dubai,"$5,950",10 - 14 Nov 2025,https://glomacs.com/training-course/advanced-project-management
Downstream Regulations,Review of International Effective Policies & Practices,Lisbon,"$5,950",10 - 14 Nov 2025,https://glomacs.com/training-course/downstream-regulations
"Statutory, Legal and Compliance Requirements",Compliance in Practice & Risk Management,Online,"$3,950",10 - 14 Nov 2025,https://glomacs.com/training-course/statutory-legal-and-compliance-requirements
"Managing Vendor Qualification, Performance & Contract Compliance",Vendors Management from Selection to Contracting,Dubai,"$5,950",10 - 14 Nov 2025,https://glomacs.com/training-course/managing-vendor-qualification-performance-and-contract-compliance
International Litigation and Arbitration,Doing Effective Business Globally in the Oil and Gas Industry,Dubai,"$5,950",10 - 14 Nov 2025,https://glomacs.com/training-course/international-litigation-arbitration
Pre-Contract Risk Assessment in the Oil & Gas Industry,Tips for Negotiation & Renegotiation of Oil & Gas Contracts,London,"$5,950",10 - 14 Nov 2025,https://glomacs.com/training-course/pre-contract-risk-assessment-oil-gas-industry
Mastering Contracts Management : The Oxford 5-Day MBA,Achieving Excellence in Contracting,Geneva,"$5,950",10 - 14 Nov 2025,https://glomacs.com/training-course/mastering-contracts-management
Gas & LNG Contracts Negotiation,Strategies and Negotiation Techniques,London,"$5,950",10 - 14 Nov 2025,https://glomacs.com/training-course/gas-lng-contracts-negotiation
International Litigation and Arbitration,Doing Effective Business Globally in the Oil and Gas Industry,Online,"$3,950",10 - 14 Nov 2025,https://glomacs.com/training-course/international-litigation-arbitration
"Public Private Partnership (PPP) Financing, Projects & Contracts","Developing Reliable, Sustainable, and Resilient Infrastructure",London,"$5,950",10 - 14 Nov 2025,https://glomacs.com/training-course/public-private-partnership-ppp-financing-projects-contracts
