Main_Title,Sub_Title,Venue,Fees,Date,Links
Certificate in Fleet & Transport Management:  Managing the Corporate Transport Function,,Dubai,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/certificate-in-fleet-transport-management-managing-the-corporate-transport-function
Fleet Safety Management Training,Developing an Effective Fleet Safety Program,Abu Dhabi,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/fleet-safety-management-training
The Challenge of Globalisation,Opportunity and Threat in World Markets,Dubai,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/the-challenge-of-globalisation
International Freight Management,Optimising Value for Transportation,Online,"$3,950",02 - 06 Nov 2025,https://glomacs.com/training-course/international-freight-management
Professional Certificate in Advanced Negotiation Skills,Mastering Negotiation Skills,Online,"$3,950",03 - 07 Nov 2025,https://glomacs.com/training-course/cpd-professional-certificate-in-advanced-negotiation-skills
Best Practices for Optimizing Warehouse Safety,Keeping Warehouse Workers Injury Free,London,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/best-practices-for-optimizing-warehouse-safety
Artificial Intelligence (AI) in Procurement and Supply Chain Management,Adopting the Strategic approach to AI in Procurement and Supply,London,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/artificial-intelligence-ai-in-procurement-and-supply-chain-management
"Logistics of Oil, Gas and Petroleum Products",Optimizing Supply Chain Efficiency and Sustainability,Online,"$3,950",03 - 07 Nov 2025,https://glomacs.com/training-course/logistics-of-oil-gas-and-petroleum-products
Masterclass on Emerging Technologies in Procurement and Supply Chain,Navigating Digital Disruption,Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/masterclass-on-emerging-technologies-in-procurement-and-supply
International Freight Management,Optimising Value for Transportation,Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/international-freight-management
Procurement Management of Equipment and Works for World Bank Aided Projects,Managing Infrastructure Procurement When Seeking World Bank Financial Support,London,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/procurement-management-of-equipment-and-works-for-world-bank-aided-projects
Global Procurement & Supply Chain Management for the Oil & Gas Industry,Improving Profitability by Controlling Costs,London,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/global-procurement-and-supply-chain-management-for-the-oil-gas-industry
Advanced Logistics and Contract Management in the Oil and Gas Industry,Strategies for Transportation Optimization and Contract Compliance,Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/advanced-logistics-and-contract-management-in-the-oil-and-gas-industry
Professional Certificate in Procurement Compliance,"Ensuring Compliance, Minimizing Risks, and Maximizing Value",Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/professional-certificate-in-procurement-compliance
Managing the Procurement Process,"Planning, Suppliers Selection, Negotiation and Contract Award",Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/managing-the-procurement-process
Advanced Negotiation Skills,Mastering Negotiation Skills,London,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/advanced-negotiation-skills
Professional Certificate in Advanced Negotiation Skills,Mastering Negotiation Skills,London,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/cpd-professional-certificate-in-advanced-negotiation-skills
Managing the Procurement Process,"Planning, Suppliers Selection, Negotiation and Contract Award",Online,"$3,950",03 - 07 Nov 2025,https://glomacs.com/training-course/managing-the-procurement-process
Advanced Negotiation Skills,Mastering Negotiation Skills,Online,"$3,950",03 - 07 Nov 2025,https://glomacs.com/training-course/advanced-negotiation-skills
Mastering Procurement & Contract Management,,London,"$11,900",03 - 14 Nov 2025,https://glomacs.com/training-course/mastering-procurement-management-contract-management
"Managing Vendor Qualification, Performance & Contract Compliance",Vendors Management from Selection to Contracting,Online,"$3,950",09 - 13 Nov 2025,https://glomacs.com/training-course/managing-vendor-qualification-performance-and-contract-compliance
Certified Supply Chain Analyst,Leveraging Analytics for the Supply Chain Optimization,Dubai,"$5,950",10 - 14 Nov 2025,https://glomacs.com/training-course/certified-supply-chain-analyst
Healthcare Procurement and Supply Chain Management,"Managing Waste, Quality and Cost Performance",London,"$5,950",10 - 14 Nov 2025,https://glomacs.com/training-course/healthcare-procurement-and-supply-chain-management
Supplier Relationship Management Practitioner,Building Effective Relationships using Tools and techniques,Online,"$3,950",10 - 14 Nov 2025,https://glomacs.com/training-course/supplier-relationship-management-practitioner
Healthcare Procurement and Supply Chain Management,"Managing Waste, Quality and Cost Performance",Online,"$3,950",10 - 14 Nov 2025,https://glomacs.com/training-course/healthcare-procurement-and-supply-chain-management
Global Procurement & Supply Chain Management for the Oil & Gas Industry,Improving Profitability by Controlling Costs,Houston,"$6,950",10 - 14 Nov 2025,https://glomacs.com/training-course/global-procurement-and-supply-chain-management-for-the-oil-gas-industry
Warehouse & Stores Management,"Essentials for Storage, Capacity, Safety, and Performance Measurement",London,"$5,950",10 - 14 Nov 2025,https://glomacs.com/training-course/warehouse-and-stores-management
Lean Logistics for Supply Chain Operations,Optimize Efficiency and Sustainability,London,"$5,950",10 - 14 Nov 2025,https://glomacs.com/training-course/lean-logistics-for-supply-chain-operations
Consultancy & Services Procurement Management,,Dubai,"$5,950",10 - 14 Nov 2025,https://glomacs.com/training-course/consultancy-services-procurement-management
Global Procurement & Supply Chain Management for the Oil & Gas Industry,Improving Profitability by Controlling Costs,Online,"$3,950",10 - 14 Nov 2025,https://glomacs.com/training-course/global-procurement-and-supply-chain-management-for-the-oil-gas-industry
"Managing Vendor Qualification, Performance & Contract Compliance",Vendors Management from Selection to Contracting,Dubai,"$5,950",10 - 14 Nov 2025,https://glomacs.com/training-course/managing-vendor-qualification-performance-and-contract-compliance
Warehouse & Stores Management,"Essentials for Storage, Capacity, Safety, and Performance Measurement",Dubai,"$5,950",10 - 14 Nov 2025,https://glomacs.com/training-course/warehouse-and-stores-management
Excellence in Warehouse and Inventory,"Best Practices for Managing & Improving Warehouse, Inventory and Stock Control Operations",London,"$11,900",10 - 21 Nov 2025,https://glomacs.com/training-course/excellence-in-warehouse-and-inventory
Integrated Inventory and Warehouse Management,Understanding the Principles of Applying Appropriate Inventory Methods,Abu Dhabi,"$5,950",17 - 21 Nov 2025,https://glomacs.com/training-course/integrated-inventory-management-classroom
The Effective Buyer,"Effective Purchasing, Supplier Selection & Contract Preparation",Dubai,"$5,950",17 - 21 Nov 2025,https://glomacs.com/training-course/the-effective-buyer
Advanced Negotiation Skills,Mastering Negotiation Skills,Dubai,"$5,950",17 - 21 Nov 2025,https://glomacs.com/training-course/advanced-negotiation-skills
Professional Certificate in Advanced Negotiation Skills,Mastering Negotiation Skills,Dubai,"$5,950",17 - 21 Nov 2025,https://glomacs.com/training-course/cpd-professional-certificate-in-advanced-negotiation-skills
"Managing Tenders, Specifications & Contracts",The Procurement Journey,Amman,"$5,950",17 - 21 Nov 2025,https://glomacs.com/training-course/managing-tenders-specifications-and-contracts
Effective Purchasing and Contract Negotiation Strategies,Enhancing Profit through Effective Processes and Contracts,Dubai,"$5,950",17 - 21 Nov 2025,https://glomacs.com/training-course/effective-purchasing-and-contract-negotiation-strategies
Category Management,Maximising Value from Procurement & the Supply Chain,Dubai,"$5,950",17 - 21 Nov 2025,https://glomacs.com/training-course/category-management
EPCIC Contract Management in Offshore & Marine,"Masterclass in Engineering, Procurement, Construction, Installation & Commissioning Contracts",Dubai,"$5,950",17 - 21 Nov 2025,https://glomacs.com/training-course/epcic-contract-management-in-offshore-marine
Procurement Management of Equipment and Works for World Bank Aided Projects,Managing Infrastructure Procurement When Seeking World Bank Financial Support,Singapore City,"$5,950",17 - 21 Nov 2025,https://glomacs.com/training-course/procurement-management-of-equipment-and-works-for-world-bank-aided-projects
Mini MBA for Procurement Professionals: Mastering the Art of Strategic Procurement,Aligning Procurement & Organisational Strategy,Online,"$3,950",17 - 21 Nov 2025,https://glomacs.com/training-course/mini-mba-for-procurement-professionals
Inventory & Stock Control Management,Improving Business Productivity through Optimization,London,"$5,950",17 - 21 Nov 2025,https://glomacs.com/training-course/inventory-and-stock-control-management
