Main_Title,Sub_Title,Venue,Fees,Date,Links
"Understanding, Developing & Maintaining Oil & Gas Industry Quality Management Systems",Learn the Benefits of World Class Effective Quality Management Systems,Dubai,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/understanding-developing-maintaining-oil-gas-industry-quality-management-systems
"Understanding, Developing & Maintaining Oil & Gas Industry Quality Management Systems",Learn the Benefits of World Class Effective Quality Management Systems,Online,"$3,950",27 - 31 Oct 2025,https://glomacs.com/training-course/understanding-developing-maintaining-oil-gas-industry-quality-management-systems
Sustainable Investment,Assessments and Performance of Sustainable Investments,London,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/sustainable-investment
Oil & Gas Industry Quality Management System Auditor / Lead Auditor Training,Leading Audits to Assure Quality and the Effectiveness of Organisational Processes,Online,"$7,900",27 Oct - 07 Nov 2025,https://glomacs.com/training-course/oil-gas-industry-quality-management-system-auditorlead-auditor-training
Oil & Gas Industry Quality Management System Auditor / Lead Auditor Training,Leading Audits to Assure Quality and the Effectiveness of Organisational Processes,Dubai,"$11,900",27 Oct - 07 Nov 2025,https://glomacs.com/training-course/oil-gas-industry-quality-management-system-auditorlead-auditor-training
Masterclass on Emerging Technologies in Procurement and Supply Chain,Navigating Digital Disruption,Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/masterclass-on-emerging-technologies-in-procurement-and-supply
ISO/IEC 27031:2011 - Lead Implementer,Implementing Continuity of Business to Reduce Risk and Recover from ICT Event Disruptions,Online,"$3,950",03 - 07 Nov 2025,https://glomacs.com/training-course/isoiec-270312011-lead-implementer-2
Auditing Corporate Governance,Assessing How Your Business is Directed and Controlled,Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/auditing-corporate-governance
Auditing Oil & Gas Industry Quality Management Systems,Principles and Practices of Effective Quality Management Systems,Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/auditing-oil-gas-industry-quality-management-systems
Business System Analysis,"Discovering, Analysing, Modelling & Specifying User Requirements",Amsterdam,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/business-system-analysis
Achieving Business Process Change,Transforming & Adapting Work Processes for Optimal Performance,Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/achieving-business-process-change
Analytical and Auditing Skills,Using Data as a Basis for Action,London,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/analytical-and-auditing-skills
Auditing Oil & Gas Industry Quality Management Systems,Principles and Practices of Effective Quality Management Systems,Online,"$3,950",03 - 07 Nov 2025,https://glomacs.com/training-course/auditing-oil-gas-industry-quality-management-systems
