Main_Title,Sub_Title,Venue,Fees,Date
Certified Budget Analyst,"Master the Art of Financial Precision: Advanced Tools in Budgeting, Forecasting and Reporting",Riyadh - Saudi Arabia,"$ 5,950",26 - 30 Oct 2025
Certified Budget Analyst,"Master the Art of Financial Precision: Advanced Tools in Budgeting, Forecasting and Reporting",London - UK,"$ 5,950",22 - 26 Dec 2025
Certified Budget Analyst,"Master the Art of Financial Precision: Advanced Tools in Budgeting, Forecasting and Reporting",Dubai - UAE,"$ 5,950",29 Dec - 02 Jan 2026
Certified Budget Analyst,"Master the Art of Financial Precision: Advanced Tools in Budgeting, Forecasting and Reporting",London - UK,"$ 5,950",09 - 13 Feb 2026
Certified Budget Analyst,"Master the Art of Financial Precision: Advanced Tools in Budgeting, Forecasting and Reporting",London - UK,"$ 5,950",20 - 24 Apr 2026
Certified Budget Analyst,"Master the Art of Financial Precision: Advanced Tools in Budgeting, Forecasting and Reporting",London - UK,"$ 5,950",20 - 24 Jul 2026
Certified Budget Analyst,"Master the Art of Financial Precision: Advanced Tools in Budgeting, Forecasting and Reporting",Dubai - UAE,"$ 5,950",17 - 21 Aug 2026
Certified Budget Analyst,"Master the Art of Financial Precision: Advanced Tools in Budgeting, Forecasting and Reporting",Paris - France,"$ 5,950",28 Sep - 02 Oct 2026
Certified Budget Analyst,"Master the Art of Financial Precision: Advanced Tools in Budgeting, Forecasting and Reporting",Riyadh - Saudi Arabia,"$ 5,950",26 - 30 Oct 2026
Certified Budget Analyst,"Master the Art of Financial Precision: Advanced Tools in Budgeting, Forecasting and Reporting",London - UK,"$ 5,950",21 - 25 Dec 2026
Certified Budget Analyst,"Master the Art of Financial Precision: Advanced Tools in Budgeting, Forecasting and Reporting",Dubai - UAE,"$ 5,950",28 Dec - 01 Jan 2027
Certified Budget Analyst,"Master the Art of Financial Precision: Advanced Tools in Budgeting, Forecasting and Reporting",Online,"$ 3,950",20 - 24 Apr 2026
Certified Budget Analyst,"Master the Art of Financial Precision: Advanced Tools in Budgeting, Forecasting and Reporting",Online,"$ 3,950",28 Sep - 02 Oct 2026
"Business Financial, Budgeting & Accounting Skills","Management Accounting, Traditional and Advanced Costing Techniques",Dubai - UAE,"$ 5,950",27 - 31 Oct 2025
"Business Financial, Budgeting & Accounting Skills","Management Accounting, Traditional and Advanced Costing Techniques",London - UK,"$ 5,950",01 - 05 Dec 2025
"Business Financial, Budgeting & Accounting Skills","Management Accounting, Traditional and Advanced Costing Techniques",London - UK,"$ 5,950",01 - 05 Jun 2026
"Business Financial, Budgeting & Accounting Skills","Management Accounting, Traditional and Advanced Costing Techniques",Dubai - UAE,"$ 5,950",20 - 24 Jul 2026
"Business Financial, Budgeting & Accounting Skills","Management Accounting, Traditional and Advanced Costing Techniques",London - UK,"$ 5,950",07 - 11 Sep 2026
"Business Financial, Budgeting & Accounting Skills","Management Accounting, Traditional and Advanced Costing Techniques",Dubai - UAE,"$ 5,950",26 - 30 Oct 2026
"Business Financial, Budgeting & Accounting Skills","Management Accounting, Traditional and Advanced Costing Techniques",London - UK,"$ 5,950",30 Nov - 04 Dec 2026
"Business Financial, Budgeting & Accounting Skills","Management Accounting, Traditional and Advanced Costing Techniques",Online,"$ 3,950",27 - 31 Oct 2025
"Business Financial, Budgeting & Accounting Skills","Management Accounting, Traditional and Advanced Costing Techniques",Online,"$ 3,950",01 - 05 Jun 2026
"Business Financial, Budgeting & Accounting Skills","Management Accounting, Traditional and Advanced Costing Techniques",Online,"$ 3,950",26 - 30 Oct 2026
Downstream Economics and Management,N/A,London - UK,"$ 5,950",27 - 31 Oct 2025
Downstream Economics and Management,N/A,London - UK,"$ 5,950",26 - 30 Oct 2026
"Budgeting, Planning & Management Reporting",N/A,London - UK,"$ 5,950",27 - 31 Oct 2025
"Budgeting, Planning & Management Reporting",N/A,Dubai - UAE,"$ 5,950",08 - 12 Dec 2025
"Budgeting, Planning & Management Reporting",N/A,London - UK,"$ 5,950",29 Dec - 02 Jan 2026
"Budgeting, Planning & Management Reporting",N/A,Dubai - UAE,"$ 5,950",26 - 30 Jan 2026
"Budgeting, Planning & Management Reporting",N/A,London - UK,"$ 5,950",11 - 15 May 2026
"Budgeting, Planning & Management Reporting",N/A,Dubai - UAE,"$ 5,950",18 - 22 May 2026
"Budgeting, Planning & Management Reporting",N/A,Milan - Italy,"$ 5,950",01 - 05 Jun 2026
"Budgeting, Planning & Management Reporting",N/A,Amsterdam - The Netherlands,"$ 5,950",13 - 17 Jul 2026
"Budgeting, Planning & Management Reporting",N/A,London - UK,"$ 5,950",17 - 21 Aug 2026
"Budgeting, Planning & Management Reporting",N/A,London - UK,"$ 5,950",26 - 30 Oct 2026
"Budgeting, Planning & Management Reporting",N/A,Dubai - UAE,"$ 5,950",07 - 11 Dec 2026
"Budgeting, Planning & Management Reporting",N/A,London - UK,"$ 5,950",28 Dec - 01 Jan 2027
"Budgeting, Planning & Management Reporting",N/A,Online,"$ 3,950",27 - 31 Oct 2025
"Budgeting, Planning & Management Reporting",N/A,Online,"$ 3,950",08 - 12 Dec 2025
"Budgeting, Planning & Management Reporting",N/A,Online,"$ 3,950",26 - 30 Oct 2026
"Budgeting, Planning & Management Reporting",N/A,Online,"$ 3,950",07 - 11 Dec 2026
Behavioural Finance,The Psychology of Financial Markets,Dubai - UAE,"$ 5,950",27 - 31 Oct 2025
Behavioural Finance,The Psychology of Financial Markets,Abu Dhabi - UAE,"$ 5,950",10 - 14 Nov 2025
Behavioural Finance,The Psychology of Financial Markets,London - UK,"$ 5,950",29 Dec - 02 Jan 2026
Behavioural Finance,The Psychology of Financial Markets,Abu Dhabi - UAE,"$ 5,950",03 - 07 Aug 2026
Behavioural Finance,The Psychology of Financial Markets,London - UK,"$ 5,950",17 - 21 Aug 2026
Behavioural Finance,The Psychology of Financial Markets,Dubai - UAE,"$ 5,950",26 - 30 Oct 2026
Behavioural Finance,The Psychology of Financial Markets,Abu Dhabi - UAE,"$ 5,950",09 - 13 Nov 2026
Behavioural Finance,The Psychology of Financial Markets,London - UK,"$ 5,950",28 Dec - 01 Jan 2027
Managing Financial Crisis & Supporting Decision Making,Protecting Stakeholder Value in Crisis,London - UK,"$ 5,950",27 - 31 Oct 2025
Managing Financial Crisis & Supporting Decision Making,Protecting Stakeholder Value in Crisis,Dubai - UAE,"$ 5,950",01 - 05 Dec 2025
Managing Financial Crisis & Supporting Decision Making,Protecting Stakeholder Value in Crisis,Dubai - UAE,"$ 5,950",03 - 07 Aug 2026
Managing Financial Crisis & Supporting Decision Making,Protecting Stakeholder Value in Crisis,London - UK,"$ 5,950",26 - 30 Oct 2026
Managing Financial Crisis & Supporting Decision Making,Protecting Stakeholder Value in Crisis,Dubai - UAE,"$ 5,950",30 Nov - 04 Dec 2026
Managing Financial Crisis & Supporting Decision Making,Protecting Stakeholder Value in Crisis,Online,"$ 3,950",27 - 31 Oct 2025
Managing Financial Crisis & Supporting Decision Making,Protecting Stakeholder Value in Crisis,Online,"$ 3,950",18 - 22 May 2026
Managing Financial Crisis & Supporting Decision Making,Protecting Stakeholder Value in Crisis,Online,"$ 3,950",26 - 30 Oct 2026
Accounting for Non-Accountants,Understanding how Accounting Supports our Business Activities,Dubai - UAE,"$ 5,950",27 - 31 Oct 2025
