Main_Title,Sub_Title,Venue,Fees,Date
Value for Money Audit,Discovering Techniques in Assessing Effectiveness and Efficiency of Your Organisational Funds,London - UK,"$ 5,950",03 - 07 Nov 2025
Value for Money Audit,Discovering Techniques in Assessing Effectiveness and Efficiency of Your Organisational Funds,Dubai - UAE,"$ 5,950",08 - 12 Dec 2025
Value for Money Audit,Discovering Techniques in Assessing Effectiveness and Efficiency of Your Organisational Funds,Dubai - UAE,"$ 5,950",20 - 24 Apr 2026
Value for Money Audit,Discovering Techniques in Assessing Effectiveness and Efficiency of Your Organisational Funds,Kigali - Rwanda,"$ 5,950",29 Jun - 03 Jul 2026
Value for Money Audit,Discovering Techniques in Assessing Effectiveness and Efficiency of Your Organisational Funds,Dubai - UAE,"$ 5,950",31 Aug - 04 Sep 2026
Value for Money Audit,Discovering Techniques in Assessing Effectiveness and Efficiency of Your Organisational Funds,London - UK,"$ 5,950",02 - 06 Nov 2026
Value for Money Audit,Discovering Techniques in Assessing Effectiveness and Efficiency of Your Organisational Funds,Dubai - UAE,"$ 5,950",07 - 11 Dec 2026
"Fraud Prevention, Detection and Investigation",The Invisible Enemy,London - UK,"$ 5,950",03 - 07 Nov 2025
"Fraud Prevention, Detection and Investigation",The Invisible Enemy,London - UK,"$ 5,950",22 - 26 Dec 2025
"Fraud Prevention, Detection and Investigation",The Invisible Enemy,London - UK,"$ 5,950",02 - 06 Feb 2026
"Fraud Prevention, Detection and Investigation",The Invisible Enemy,Dubai - UAE,"$ 5,950",04 - 08 May 2026
"Fraud Prevention, Detection and Investigation",The Invisible Enemy,London - UK,"$ 5,950",13 - 17 Jul 2026
"Fraud Prevention, Detection and Investigation",The Invisible Enemy,Dubai - UAE,"$ 5,950",28 Sep - 02 Oct 2026
"Fraud Prevention, Detection and Investigation",The Invisible Enemy,London - UK,"$ 5,950",02 - 06 Nov 2026
"Fraud Prevention, Detection and Investigation",The Invisible Enemy,London - UK,"$ 5,950",21 - 25 Dec 2026
"Fraud Prevention, Detection and Investigation",The Invisible Enemy,Online,"$ 3,950",22 - 26 Dec 2025
"Fraud Prevention, Detection and Investigation",The Invisible Enemy,Online,"$ 3,950",19 - 23 Jan 2026
"Fraud Prevention, Detection and Investigation",The Invisible Enemy,Online,"$ 3,950",21 - 25 Dec 2026
QMS Audit and IFRS for Oil & Gas Industry,The Complete Guide to Auditing both Quality Management & Financial Standards in Oil & Gas,Dubai - UAE,"$ 11,900",03 - 14 Nov 2025
QMS Audit and IFRS for Oil & Gas Industry,The Complete Guide to Auditing both Quality Management & Financial Standards in Oil & Gas,London - UK,"$ 11,900",15 - 26 Dec 2025
QMS Audit and IFRS for Oil & Gas Industry,The Complete Guide to Auditing both Quality Management & Financial Standards in Oil & Gas,Dubai - UAE,"$ 11,900",27 Jul - 07 Aug 2026
QMS Audit and IFRS for Oil & Gas Industry,The Complete Guide to Auditing both Quality Management & Financial Standards in Oil & Gas,Dubai - UAE,"$ 11,900",02 - 13 Nov 2026
QMS Audit and IFRS for Oil & Gas Industry,The Complete Guide to Auditing both Quality Management & Financial Standards in Oil & Gas,London - UK,"$ 11,900",14 - 25 Dec 2026
QMS Audit and IFRS for Oil & Gas Industry,The Complete Guide to Auditing both Quality Management & Financial Standards in Oil & Gas,Online,"$ 7,900",03 - 14 Nov 2025
QMS Audit and IFRS for Oil & Gas Industry,The Complete Guide to Auditing both Quality Management & Financial Standards in Oil & Gas,Online,"$ 7,900",02 - 13 Nov 2026
QMS Audit and IFRS for Oil & Gas Industry,The Complete Guide to Auditing both Quality Management & Financial Standards in Oil & Gas,Dubai - UAE,"$ 11,900",03 - 14 Nov 2025
QMS Audit and IFRS for Oil & Gas Industry,The Complete Guide to Auditing both Quality Management & Financial Standards in Oil & Gas,London - UK,"$ 11,900",15 - 26 Dec 2025
QMS Audit and IFRS for Oil & Gas Industry,The Complete Guide to Auditing both Quality Management & Financial Standards in Oil & Gas,Dubai - UAE,"$ 11,900",27 Jul - 07 Aug 2026
QMS Audit and IFRS for Oil & Gas Industry,The Complete Guide to Auditing both Quality Management & Financial Standards in Oil & Gas,Dubai - UAE,"$ 11,900",02 - 13 Nov 2026
QMS Audit and IFRS for Oil & Gas Industry,The Complete Guide to Auditing both Quality Management & Financial Standards in Oil & Gas,London - UK,"$ 11,900",14 - 25 Dec 2026
QMS Audit and IFRS for Oil & Gas Industry,The Complete Guide to Auditing both Quality Management & Financial Standards in Oil & Gas,Online,"$ 7,900",03 - 14 Nov 2025
QMS Audit and IFRS for Oil & Gas Industry,The Complete Guide to Auditing both Quality Management & Financial Standards in Oil & Gas,Online,"$ 7,900",02 - 13 Nov 2026
Anti-Money Laundering (AML) Compliance Masterclass,Protection Against the Risks of Money Laundering and Terrorist Financing,London - UK,"$ 5,950",10 - 14 Nov 2025
Anti-Money Laundering (AML) Compliance Masterclass,Protection Against the Risks of Money Laundering and Terrorist Financing,Amsterdam - The Netherlands,"$ 5,950",22 - 26 Dec 2025
Anti-Money Laundering (AML) Compliance Masterclass,Protection Against the Risks of Money Laundering and Terrorist Financing,London - UK,"$ 5,950",09 - 13 Feb 2026
Anti-Money Laundering (AML) Compliance Masterclass,Protection Against the Risks of Money Laundering and Terrorist Financing,Dubai - UAE,"$ 5,950",27 Apr - 01 May 2026
Anti-Money Laundering (AML) Compliance Masterclass,Protection Against the Risks of Money Laundering and Terrorist Financing,London - UK,"$ 5,950",15 - 19 Jun 2026
Anti-Money Laundering (AML) Compliance Masterclass,Protection Against the Risks of Money Laundering and Terrorist Financing,Dubai - UAE,"$ 5,950",07 - 11 Sep 2026
Anti-Money Laundering (AML) Compliance Masterclass,Protection Against the Risks of Money Laundering and Terrorist Financing,London - UK,"$ 5,950",09 - 13 Nov 2026
Anti-Money Laundering (AML) Compliance Masterclass,Protection Against the Risks of Money Laundering and Terrorist Financing,Amsterdam - The Netherlands,"$ 5,950",21 - 25 Dec 2026
Anti-Money Laundering (AML) Compliance Masterclass,Protection Against the Risks of Money Laundering and Terrorist Financing,Online,"$ 3,950",10 - 14 Nov 2025
