Main_Title,Sub_Title,Venue,Fees,Date,Links
Value for Money Audit,Discovering Techniques in Assessing Effectiveness and Efficiency of Your Organisational Funds,London,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/value-for-money-audit
"Fraud Prevention, Detection and Investigation",The Invisible Enemy,London,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/fraud-prevention-detection-and-investigation-the-invisible-enemy
QMS Audit and IFRS for Oil & Gas Industry,The Complete Guide to Auditing both Quality Management & Financial Standards in Oil & Gas,Online,"$7,900",03 - 14 Nov 2025,https://glomacs.com/training-course/qms-audit-and-ifrs-for-oil-gas-industry
QMS Audit and IFRS for Oil & Gas Industry,The Complete Guide to Auditing both Quality Management & Financial Standards in Oil & Gas,Dubai,"$11,900",03 - 14 Nov 2025,https://glomacs.com/training-course/qms-audit-and-ifrs-for-oil-gas-industry
Anti-Money Laundering (AML) Compliance Masterclass,Protection Against the Risks of Money Laundering and Terrorist Financing,Online,"$3,950",10 - 14 Nov 2025,https://glomacs.com/training-course/anti-money-laundering-aml-compliance-masterclass
Fraud and Forensic Auditing,"Identification, Detection & Prevention",Dubai,"$5,950",10 - 14 Nov 2025,https://glomacs.com/training-course/fraud-and-forensic-auditing
Certified Anti Money Laundering Specialist – CAMS (Exam Preparatory Course),,Dubai,"$5,950",10 - 14 Nov 2025,https://glomacs.com/training-course/certified-anti-money-laundering-specialist-cams-exam
Financial Risk Management,"Reducing Risk, Improving Performance and Profitability",Dubai,"$5,950",10 - 14 Nov 2025,https://glomacs.com/training-course/financial-risk-management-reducing-risk-improving-performance-and-profitability
Financial Accounting Certificate,Mastering Core Accounting Principles for Business Success,Paris,"$5,950",10 - 14 Nov 2025,https://glomacs.com/training-course/financial-accounting-certificate
Anti-Money Laundering (AML) Compliance Masterclass,Protection Against the Risks of Money Laundering and Terrorist Financing,London,"$5,950",10 - 14 Nov 2025,https://glomacs.com/training-course/anti-money-laundering-aml-compliance-masterclass
Risk Management: Internal Control & Fraud Prevention,The Keys to Success in our Fast-Changing World,Abu Dhabi,"$5,950",10 - 14 Nov 2025,https://glomacs.com/training-course/risk-management-internal-control-fraud-prevention
Artificial Intelligence (AI) Powered Risk & Fraud Detection,Securing Your Organization's Future: Mastering AI for Advanced Threat Detection and Prevention,Riyadh,"$5,950",17 - 21 Nov 2025,https://glomacs.com/training-course/ai-powered-risk-fraud-detection
Anti-Corruption and Anti-Bribery,Strengthening Ethical Standards and Governance Through Advanced Anti-Corruption and Anti-Bribery Strategies,Dubai,"$5,950",17 - 21 Nov 2025,https://glomacs.com/training-course/anti-corruption-and-anti-bribery
Advanced Financial Crime Compliance,,London,"$5,950",24 - 28 Nov 2025,https://glomacs.com/training-course/advanced-financial-crime-compliance
Predictive Modeling for Financial Fraud,Leveraging Statistical and Machine Learning Models to Anticipate and Prevent Financial Fraud,London,"$5,950",01 - 05 Dec 2025,https://glomacs.com/training-course/predictive-modeling-for-financial-fraud
Certified Anti Money Laundering Specialist – CAMS (Exam Preparatory Course),,Dubai,"$5,950",01 - 05 Dec 2025,https://glomacs.com/training-course/certified-anti-money-laundering-specialist-cams-exam
Value for Money Audit,Discovering Techniques in Assessing Effectiveness and Efficiency of Your Organisational Funds,Dubai,"$5,950",08 - 12 Dec 2025,https://glomacs.com/training-course/value-for-money-audit
Internal Control & Fraud Prevention,Keeping Fraud Away and Saving Your Business,Dubai,"$5,950",08 - 12 Dec 2025,https://glomacs.com/training-course/internal-control-fraud-prevention
Cybersecurity Fundamentals for AI-Driven Fraud Detection,Securing Intelligent Systems to Strengthen Fraud Prevention and Digital Trust,London,"$5,950",08 - 12 Dec 2025,https://glomacs.com/training-course/cybersecurity-fundamentals-for-ai-driven-fraud-detection
Anti-Money Laundering and Financial Crime Workshop,Investigations and Awareness to Improve Due Diligence Capability,Dubai,"$3,900",15 - 17 Dec 2025,https://glomacs.com/training-course/anti-money-laundering-and-financial-crime-workshop-2
Risk Management: Internal Control & Fraud Prevention,The Keys to Success in our Fast-Changing World,London,"$5,950",15 - 19 Dec 2025,https://glomacs.com/training-course/risk-management-internal-control-fraud-prevention
Data Mining Techniques for Fraud Analytics,Uncovering Hidden Patterns and Anomalies to Strengthen Fraud Detection Efforts,London,"$5,950",15 - 19 Dec 2025,https://glomacs.com/training-course/data-mining-techniques-for-fraud-analytics
Financial Crime Prevention and Investigation,"Equipping Professionals to Detect, Prevent, and Investigate Financial Crimes with Precision",Dubai,"$5,950",15 - 19 Dec 2025,https://glomacs.com/training-course/financial-crime-prevention-and-investigation
Managing Fraud in a Digitized World,"Connected, Dependent and Vulnerable",London,"$5,950",15 - 19 Dec 2025,https://glomacs.com/training-course/managing-fraud-in-a-digitized-world
Managing Fraud in a Digitized World,"Connected, Dependent and Vulnerable",Online,"$3,950",15 - 19 Dec 2025,https://glomacs.com/training-course/managing-fraud-in-a-digitized-world
Financial Accounting Certificate,Mastering Core Accounting Principles for Business Success,Dubai,"$5,950",15 - 19 Dec 2025,https://glomacs.com/training-course/financial-accounting-certificate
QMS Audit and IFRS for Oil & Gas Industry,The Complete Guide to Auditing both Quality Management & Financial Standards in Oil & Gas,London,"$11,900",15 - 26 Dec 2025,https://glomacs.com/training-course/qms-audit-and-ifrs-for-oil-gas-industry
Anti-Money Laundering (AML) Compliance Masterclass,Protection Against the Risks of Money Laundering and Terrorist Financing,Amsterdam,"$5,950",22 - 26 Dec 2025,https://glomacs.com/training-course/anti-money-laundering-aml-compliance-masterclass
Artificial Intelligence (AI) Powered Risk & Fraud Detection,Securing Your Organization's Future: Mastering AI for Advanced Threat Detection and Prevention,London,"$5,950",22 - 26 Dec 2025,https://glomacs.com/training-course/ai-powered-risk-fraud-detection
"Fraud Prevention, Detection and Investigation",The Invisible Enemy,London,"$5,950",22 - 26 Dec 2025,https://glomacs.com/training-course/fraud-prevention-detection-and-investigation-the-invisible-enemy
"Fraud Prevention, Detection and Investigation",The Invisible Enemy,Online,"$3,950",22 - 26 Dec 2025,https://glomacs.com/training-course/fraud-prevention-detection-and-investigation-the-invisible-enemy
Financial Risk Management,"Reducing Risk, Improving Performance and Profitability",London,"$5,950",29 Dec - 02 Jan 2026,https://glomacs.com/training-course/financial-risk-management-reducing-risk-improving-performance-and-profitability
The 5-Day Mini MBA in Financial Crimes,,Dubai,"$5,950",12 - 16 Jan 2026,https://glomacs.com/training-course/the-5-day-mini-mba-in-financial-crimes
