Main_Title,Sub_Title,Venue,Fees,Date
"Planned Shutdown, Critical Activities, Isolation, Start-up & Commissioning",N/A,Dubai - UAE,"$ 5,950",27 - 31 Oct 2025
"Planned Shutdown, Critical Activities, Isolation, Start-up & Commissioning",N/A,Dubai - UAE,"$ 5,950",03 - 07 Nov 2025
"Planned Shutdown, Critical Activities, Isolation, Start-up & Commissioning",N/A,Dubai - UAE,"$ 5,950",08 - 12 Dec 2025
"Planned Shutdown, Critical Activities, Isolation, Start-up & Commissioning",N/A,Istanbul - Turkey,"$ 5,950",15 - 19 Dec 2025
"Planned Shutdown, Critical Activities, Isolation, Start-up & Commissioning",N/A,London - UK,"$ 5,950",29 Dec - 02 Jan 2026
"Planned Shutdown, Critical Activities, Isolation, Start-up & Commissioning",N/A,Dubai - UAE,"$ 5,950",26 - 30 Jan 2026
"Planned Shutdown, Critical Activities, Isolation, Start-up & Commissioning",N/A,Dubai - UAE,"$ 5,950",30 Mar - 03 Apr 2026
"Planned Shutdown, Critical Activities, Isolation, Start-up & Commissioning",N/A,Doha - Qatar,"$ 5,950",08 - 12 Jun 2026
"Planned Shutdown, Critical Activities, Isolation, Start-up & Commissioning",N/A,London - UK,"$ 5,950",31 Aug - 04 Sep 2026
"Planned Shutdown, Critical Activities, Isolation, Start-up & Commissioning",N/A,Dubai - UAE,"$ 5,950",26 - 30 Oct 2026
"Planned Shutdown, Critical Activities, Isolation, Start-up & Commissioning",N/A,Istanbul - Turkey,"$ 5,950",14 - 18 Dec 2026
"Planned Shutdown, Critical Activities, Isolation, Start-up & Commissioning",N/A,London - UK,"$ 5,950",28 Dec - 01 Jan 2027
Maintenance Planning & Work Control in the Oil & Gas,"Work Order Schedule, Failure Analysis and Asset Management",Dubai - UAE,"$ 5,950",27 - 31 Oct 2025
Maintenance Planning & Work Control in the Oil & Gas,"Work Order Schedule, Failure Analysis and Asset Management",London - UK,"$ 5,950",03 - 07 Nov 2025
Maintenance Planning & Work Control in the Oil & Gas,"Work Order Schedule, Failure Analysis and Asset Management",Dubai - UAE,"$ 5,950",08 - 12 Dec 2025
Maintenance Planning & Work Control in the Oil & Gas,"Work Order Schedule, Failure Analysis and Asset Management",Dubai - UAE,"$ 5,950",04 - 08 May 2026
Maintenance Planning & Work Control in the Oil & Gas,"Work Order Schedule, Failure Analysis and Asset Management",Kigali - Rwanda,"$ 5,950",15 - 19 Jun 2026
Maintenance Planning & Work Control in the Oil & Gas,"Work Order Schedule, Failure Analysis and Asset Management",London - UK,"$ 5,950",28 Sep - 02 Oct 2026
Maintenance Planning & Work Control in the Oil & Gas,"Work Order Schedule, Failure Analysis and Asset Management",Dubai - UAE,"$ 5,950",26 - 30 Oct 2026
Maintenance Planning & Work Control in the Oil & Gas,"Work Order Schedule, Failure Analysis and Asset Management",London - UK,"$ 5,950",02 - 06 Nov 2026
Maintenance Planning & Work Control in the Oil & Gas,"Work Order Schedule, Failure Analysis and Asset Management",Dubai - UAE,"$ 5,950",07 - 11 Dec 2026
Facilities Management,"Standards, Processes, and Implementation Guidance",Dubai - UAE,"$ 5,950",27 - 31 Oct 2025
Facilities Management,"Standards, Processes, and Implementation Guidance",Dubai - UAE,"$ 5,950",08 - 12 Dec 2025
Facilities Management,"Standards, Processes, and Implementation Guidance",London - UK,"$ 5,950",11 - 15 May 2026
Facilities Management,"Standards, Processes, and Implementation Guidance",Dubai - UAE,"$ 5,950",08 - 12 Jun 2026
Facilities Management,"Standards, Processes, and Implementation Guidance",London - UK,"$ 5,950",03 - 07 Aug 2026
Facilities Management,"Standards, Processes, and Implementation Guidance",Dubai - UAE,"$ 5,950",26 - 30 Oct 2026
Facilities Management,"Standards, Processes, and Implementation Guidance",Dubai - UAE,"$ 5,950",07 - 11 Dec 2026
Facilities Management,"Standards, Processes, and Implementation Guidance",Amsterdam - The Netherlands,"$ 5,950",28 Dec - 01 Jan 2027
Facilities Management,"Standards, Processes, and Implementation Guidance",Online,"$ 3,950",27 - 31 Oct 2025
Facilities Management,"Standards, Processes, and Implementation Guidance",Online,"$ 3,950",08 - 12 Dec 2025
Facilities Management,"Standards, Processes, and Implementation Guidance",Online,"$ 3,950",23 - 27 Mar 2026
Facilities Management,"Standards, Processes, and Implementation Guidance",Online,"$ 3,950",07 - 11 Dec 2026
Managing Efficient Shutdowns and Turnarounds,Turning Strategy into Tactics,Dubai - UAE,"$ 5,950",27 - 31 Oct 2025
Managing Efficient Shutdowns and Turnarounds,Turning Strategy into Tactics,Dubai - UAE,"$ 5,950",23 - 27 Mar 2026
