Main_Title,Sub_Title,Venue,Fees,Date,Links
"Planned Shutdown, Critical Activities, Isolation, Start-up & Commissioning",,Dubai,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/planned-shutdown-critical-activities-isolation-start-up-commissioning
Maintenance Planning & Work Control in the Oil & Gas,"Work Order Schedule, Failure Analysis and Asset Management",Dubai,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/maintenance-planning-work-control-in-the-oil-gas
Facilities Management,"Standards, Processes, and Implementation Guidance",Online,"$3,950",27 - 31 Oct 2025,https://glomacs.com/training-course/fundamentals-of-asset-facilities-management
Managing Efficient Shutdowns and Turnarounds,Turning Strategy into Tactics,Dubai,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/managing-efficient-shutdowns-and-turnarounds
Facility Planning and Management,,Dubai,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/facility-planning-and-management
Facilities Management,"Standards, Processes, and Implementation Guidance",Dubai,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/fundamentals-of-asset-facilities-management
Managing Efficient Shutdowns and Turnarounds,Turning Strategy into Tactics,Online,"$3,950",27 - 31 Oct 2025,https://glomacs.com/training-course/managing-efficient-shutdowns-and-turnarounds
Optimising Equipment Maintenance & Replacement Decisions,Fitness for Service Analysis Approach,Dubai,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/optimising-equipment-maintenance-and-replacement-decisions
Data Analysis Techniques,Analysis Methods and Evidence-based Decision-making using Microsoft Excel,Dubai,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/data-analysis-techniques
Certified Maintenance & Reliability Engineer (CMRP),"Achieving Excellence in Maintenance, Reliability & Asset Management",Nairobi,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/certified-maintenance-reliability-engineer-cmrp
Process Plant Optimisation & Energy Conservation,Reducing Process Plant Energy and Maintenance Costs,Online,"$3,950",27 - 31 Oct 2025,https://glomacs.com/training-course/process-plant-optimization-energy-conservation
Risk Based Maintenance Workshop,A Quantitative Approach Towards Maintenance,Abu Dhabi,"$3,900",03 - 05 Nov 2025,https://glomacs.com/training-course/risk-based-maintenance-workshop
