Main_Title,Sub_Title,Venue,Fees,Date
Professional Certificate in Strategic Corporate Governance,Measuring and Benchmarking Governance Standards,Prague - Czech Republic,"$ 5,950",27 - 31 Oct 2025
Professional Certificate in Strategic Corporate Governance,Measuring and Benchmarking Governance Standards,Dubai - UAE,"$ 5,950",08 - 12 Dec 2025
Professional Certificate in Strategic Corporate Governance,Measuring and Benchmarking Governance Standards,London - UK,"$ 5,950",06 - 10 Apr 2026
Professional Certificate in Strategic Corporate Governance,Measuring and Benchmarking Governance Standards,Dubai - UAE,"$ 5,950",15 - 19 Jun 2026
Professional Certificate in Strategic Corporate Governance,Measuring and Benchmarking Governance Standards,Abu Dhabi - UAE,"$ 5,950",24 - 28 Aug 2026
Professional Certificate in Strategic Corporate Governance,Measuring and Benchmarking Governance Standards,London - UK,"$ 5,950",07 - 11 Sep 2026
Professional Certificate in Strategic Corporate Governance,Measuring and Benchmarking Governance Standards,Prague - Czech Republic,"$ 5,950",26 - 30 Oct 2026
Professional Certificate in Strategic Corporate Governance,Measuring and Benchmarking Governance Standards,Dubai - UAE,"$ 5,950",07 - 11 Dec 2026
Professional Certificate in Strategic Corporate Governance,Measuring and Benchmarking Governance Standards,Online,"$ 3,950",11 - 15 May 2026
Professional Certificate in Management - Masterclass,Improved Management through Leading-Edge Strategies,Paris - France,"$ 5,950",27 - 31 Oct 2025
Professional Certificate in Management - Masterclass,Improved Management through Leading-Edge Strategies,New York - USA,"$ 6,950",24 - 28 Nov 2025
Professional Certificate in Management - Masterclass,Improved Management through Leading-Edge Strategies,London - UK,"$ 5,950",22 - 26 Dec 2025
Professional Certificate in Management - Masterclass,Improved Management through Leading-Edge Strategies,Dubai - UAE,"$ 5,950",13 - 17 Apr 2026
Professional Certificate in Management - Masterclass,Improved Management through Leading-Edge Strategies,Geneva - Switzerland,"$ 5,950",27 Apr - 01 May 2026
Professional Certificate in Management - Masterclass,Improved Management through Leading-Edge Strategies,London - UK,"$ 5,950",04 - 08 May 2026
Professional Certificate in Management - Masterclass,Improved Management through Leading-Edge Strategies,Amsterdam - The Netherlands,"$ 5,950",24 - 28 Aug 2026
Professional Certificate in Management - Masterclass,Improved Management through Leading-Edge Strategies,Paris - France,"$ 5,950",26 - 30 Oct 2026
Professional Certificate in Management - Masterclass,Improved Management through Leading-Edge Strategies,New York - USA,"$ 7,950",23 - 27 Nov 2026
Professional Certificate in Management - Masterclass,Improved Management through Leading-Edge Strategies,London - UK,"$ 5,950",21 - 25 Dec 2026
Leading With Analysis,The Scientific Based Leadership,New York - USA,"$ 6,950",27 - 31 Oct 2025
Leading With Analysis,The Scientific Based Leadership,Dubai - UAE,"$ 5,950",10 - 14 Nov 2025
Leading With Analysis,The Scientific Based Leadership,London - UK,"$ 5,950",22 - 26 Dec 2025
Leading With Analysis,The Scientific Based Leadership,Amsterdam - The Netherlands,"$ 5,950",12 - 16 Jan 2026
Leading With Analysis,The Scientific Based Leadership,Oslo - Norway,"$ 5,950",02 - 06 Mar 2026
Leading With Analysis,The Scientific Based Leadership,Dubai - UAE,"$ 5,950",04 - 08 May 2026
Leading With Analysis,The Scientific Based Leadership,London - UK,"$ 5,950",29 Jun - 03 Jul 2026
Leading With Analysis,The Scientific Based Leadership,Amsterdam - The Netherlands,"$ 5,950",24 - 28 Aug 2026
Leading With Analysis,The Scientific Based Leadership,New York - USA,"$ 7,950",26 - 30 Oct 2026
Leading With Analysis,The Scientific Based Leadership,Dubai - UAE,"$ 5,950",09 - 13 Nov 2026
Leading With Analysis,The Scientific Based Leadership,London - UK,"$ 5,950",21 - 25 Dec 2026
Management - Masterclass,Improved Management through Leading-Edge Strategies,Paris - France,"$ 5,950",27 - 31 Oct 2025
Management - Masterclass,Improved Management through Leading-Edge Strategies,New York - USA,"$ 6,950",24 - 28 Nov 2025
Management - Masterclass,Improved Management through Leading-Edge Strategies,London - UK,"$ 5,950",22 - 26 Dec 2025
Management - Masterclass,Improved Management through Leading-Edge Strategies,Dubai - UAE,"$ 5,950",13 - 17 Apr 2026
Management - Masterclass,Improved Management through Leading-Edge Strategies,Geneva - Switzerland,"$ 5,950",27 Apr - 01 May 2026
Management - Masterclass,Improved Management through Leading-Edge Strategies,London - UK,"$ 5,950",04 - 08 May 2026
Management - Masterclass,Improved Management through Leading-Edge Strategies,Amsterdam - The Netherlands,"$ 5,950",24 - 28 Aug 2026
Management - Masterclass,Improved Management through Leading-Edge Strategies,Paris - France,"$ 5,950",26 - 30 Oct 2026
Management - Masterclass,Improved Management through Leading-Edge Strategies,New York - USA,"$ 7,950",23 - 27 Nov 2026
Management - Masterclass,Improved Management through Leading-Edge Strategies,London - UK,"$ 5,950",21 - 25 Dec 2026
Strategic Corporate Governance,Measuring and Benchmarking Governance Standards,Prague - Czech Republic,"$ 5,950",27 - 31 Oct 2025
Strategic Corporate Governance,Measuring and Benchmarking Governance Standards,Dubai - UAE,"$ 5,950",08 - 12 Dec 2025
Strategic Corporate Governance,Measuring and Benchmarking Governance Standards,London - UK,"$ 5,950",06 - 10 Apr 2026
Strategic Corporate Governance,Measuring and Benchmarking Governance Standards,Dubai - UAE,"$ 5,950",15 - 19 Jun 2026
Strategic Corporate Governance,Measuring and Benchmarking Governance Standards,Abu Dhabi - UAE,"$ 5,950",24 - 28 Aug 2026
Strategic Corporate Governance,Measuring and Benchmarking Governance Standards,London - UK,"$ 5,950",07 - 11 Sep 2026
Strategic Corporate Governance,Measuring and Benchmarking Governance Standards,Prague - Czech Republic,"$ 5,950",26 - 30 Oct 2026
Strategic Corporate Governance,Measuring and Benchmarking Governance Standards,Dubai - UAE,"$ 5,950",07 - 11 Dec 2026
Strategic Corporate Governance,Measuring and Benchmarking Governance Standards,Online,"$ 3,950",11 - 15 May 2026
Executive Leadership in an Agile and VUCA World,Agile Strategies for Organizational Excellence,London - UK,"$ 5,950",03 - 07 Nov 2025
Executive Leadership in an Agile and VUCA World,Agile Strategies for Organizational Excellence,London - UK,"$ 5,950",29 Dec - 02 Jan 2026
Executive Leadership in an Agile and VUCA World,Agile Strategies for Organizational Excellence,London - UK,"$ 5,950",05 - 09 Jan 2026
Executive Leadership in an Agile and VUCA World,Agile Strategies for Organizational Excellence,Miami - USA,"$ 7,950",11 - 15 May 2026
Executive Leadership in an Agile and VUCA World,Agile Strategies for Organizational Excellence,Milan - Italy,"$ 5,950",07 - 11 Sep 2026
Executive Leadership in an Agile and VUCA World,Agile Strategies for Organizational Excellence,Madrid - Spain,"$ 5,950",05 - 09 Oct 2026
Executive Leadership in an Agile and VUCA World,Agile Strategies for Organizational Excellence,London - UK,"$ 5,950",02 - 06 Nov 2026
Executive Leadership in an Agile and VUCA World,Agile Strategies for Organizational Excellence,London - UK,"$ 5,950",28 Dec - 01 Jan 2027
Executive Leadership in an Agile and VUCA World,Agile Strategies for Organizational Excellence,Online,"$ 3,950",03 - 07 Nov 2025
Executive Leadership in an Agile and VUCA World,Agile Strategies for Organizational Excellence,Online,"$ 3,950",02 - 06 Nov 2026
The Role of Directors and the Boards,Generating Insight & Understanding for Successful Board Directorship,Dubai - UAE,"$ 5,950",03 - 07 Nov 2025
The Role of Directors and the Boards,Generating Insight & Understanding for Successful Board Directorship,Edinburgh - UK,"$ 5,950",04 - 08 May 2026
The Role of Directors and the Boards,Generating Insight & Understanding for Successful Board Directorship,London - UK,"$ 5,950",20 - 24 Jul 2026
The Role of Directors and the Boards,Generating Insight & Understanding for Successful Board Directorship,Abu Dhabi - UAE,"$ 5,950",10 - 14 Aug 2026
The Role of Directors and the Boards,Generating Insight & Understanding for Successful Board Directorship,Dubai - UAE,"$ 5,950",02 - 06 Nov 2026
The Role of Directors and the Boards,Generating Insight & Understanding for Successful Board Directorship,Online,"$ 3,950",23 - 27 Mar 2026
Sustainable Business Strategy,The Key to a Responsible Organisation,London - UK,"$ 5,950",03 - 07 Nov 2025
Sustainable Business Strategy,The Key to a Responsible Organisation,Dubai - UAE,"$ 5,950",22 - 26 Dec 2025
Sustainable Business Strategy,The Key to a Responsible Organisation,London - UK,"$ 5,950",20 - 24 Apr 2026
Sustainable Business Strategy,The Key to a Responsible Organisation,Dubai - UAE,"$ 5,950",29 Jun - 03 Jul 2026
Sustainable Business Strategy,The Key to a Responsible Organisation,London - UK,"$ 5,950",02 - 06 Nov 2026
Sustainable Business Strategy,The Key to a Responsible Organisation,Dubai - UAE,"$ 5,950",21 - 25 Dec 2026
Analysis for Management Decisions,Data Analytics to Improve Decision-Making,Dubai - UAE,"$ 5,950",03 - 07 Nov 2025
Analysis for Management Decisions,Data Analytics to Improve Decision-Making,London - UK,"$ 5,950",08 - 12 Dec 2025
Analysis for Management Decisions,Data Analytics to Improve Decision-Making,Dubai - UAE,"$ 5,950",18 - 22 May 2026
Analysis for Management Decisions,Data Analytics to Improve Decision-Making,London - UK,"$ 5,950",29 Jun - 03 Jul 2026
Analysis for Management Decisions,Data Analytics to Improve Decision-Making,Dubai - UAE,"$ 5,950",14 - 18 Sep 2026
Analysis for Management Decisions,Data Analytics to Improve Decision-Making,Dubai - UAE,"$ 5,950",02 - 06 Nov 2026
Analysis for Management Decisions,Data Analytics to Improve Decision-Making,London - UK,"$ 5,950",07 - 11 Dec 2026
Analysis for Management Decisions,Data Analytics to Improve Decision-Making,Online,"$ 3,950",03 - 07 Nov 2025
Analysis for Management Decisions,Data Analytics to Improve Decision-Making,Online,"$ 3,950",18 - 22 May 2026
Analysis for Management Decisions,Data Analytics to Improve Decision-Making,Online,"$ 3,950",02 - 06 Nov 2026
The Senior Level Leadership Program,Leadership for Executives,London - UK,"$ 7,000",03 - 07 Nov 2025
The Senior Level Leadership Program,Leadership for Executives,Geneva - Switzerland,"$ 7,000",24 - 28 Nov 2025
The Senior Level Leadership Program,Leadership for Executives,London - UK,"$ 7,000",29 Dec - 02 Jan 2026
The Senior Level Leadership Program,Leadership for Executives,London - UK,"$ 7,000",13 - 17 Apr 2026
The Senior Level Leadership Program,Leadership for Executives,Nice - France,"$ 7,000",25 - 29 May 2026
The Senior Level Leadership Program,Leadership for Executives,London - UK,"$ 7,000",06 - 10 Jul 2026
The Senior Level Leadership Program,Leadership for Executives,Munich - Germany,"$ 7,000",31 Aug - 04 Sep 2026
