Main_Title,Sub_Title,Venue,Fees,Date,Links
Professional Certificate in Strategic Corporate Governance,Measuring and Benchmarking Governance Standards,Prague,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/professional-certificate-in-strategic-corporate-governance
Professional Certificate in Management - Masterclass,Improved Management through Leading-Edge Strategies,Paris,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/cpd-professional-certificate-in-management-masterclass
Leading With Analysis,The Scientific Based Leadership,New York,"$6,950",27 - 31 Oct 2025,https://glomacs.com/training-course/leading-with-analysis
Management - Masterclass,Improved Management through Leading-Edge Strategies,Paris,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/management-masterclass
Strategic Corporate Governance,Measuring and Benchmarking Governance Standards,Prague,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/strategic-corporate-governance
Executive Leadership in an Agile and VUCA World,Agile Strategies for Organizational Excellence,London,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/certificate-in-executive-leadership
The Role of Directors and the Boards,Generating Insight & Understanding for Successful Board Directorship,Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/the-role-of-directors-and-the-boards
Sustainable Business Strategy,The Key to a Responsible Organisation,London,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/sustainable-business-strategy
Analysis for Management Decisions,Data Analytics to Improve Decision-Making,Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/analysis-for-management-decisions
The Senior Level Leadership Program,Leadership for Executives,London,"$7,000",03 - 07 Nov 2025,https://glomacs.com/training-course/the-senior-level-leadership-program
Executive Leadership in an Agile and VUCA World,Agile Strategies for Organizational Excellence,Online,"$3,950",03 - 07 Nov 2025,https://glomacs.com/training-course/certificate-in-executive-leadership
Analysis for Management Decisions,Data Analytics to Improve Decision-Making,Online,"$3,950",03 - 07 Nov 2025,https://glomacs.com/training-course/analysis-for-management-decisions
Executive Mini MBA,Essential Skills and Knowledge for ManagersExecutives and Professionals,London,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/executive-mini-mba
