Main_Title,Sub_Title,Venue,Fees,Date
Advanced Health and Safety for Healthcare Professionals,N/A,Dubai - UAE,"$ 5,950",27 - 31 Oct 2025
Advanced Health and Safety for Healthcare Professionals,N/A,Amsterdam - The Netherlands,"$ 5,950",08 - 12 Dec 2025
Advanced Health and Safety for Healthcare Professionals,N/A,London - UK,"$ 5,950",29 Dec - 02 Jan 2026
Advanced Health and Safety for Healthcare Professionals,N/A,Dubai - UAE,"$ 5,950",08 - 12 Jun 2026
Advanced Health and Safety for Healthcare Professionals,N/A,London - UK,"$ 5,950",13 - 17 Jul 2026
Advanced Health and Safety for Healthcare Professionals,N/A,Amsterdam - The Netherlands,"$ 5,950",28 Sep - 02 Oct 2026
Advanced Health and Safety for Healthcare Professionals,N/A,Dubai - UAE,"$ 5,950",26 - 30 Oct 2026
Advanced Health and Safety for Healthcare Professionals,N/A,Amsterdam - The Netherlands,"$ 5,950",07 - 11 Dec 2026
Advanced Health and Safety for Healthcare Professionals,N/A,London - UK,"$ 5,950",28 Dec - 01 Jan 2027
Advanced Health and Safety for Healthcare Professionals,N/A,Online,"$ 3,950",27 - 31 Oct 2025
Advanced Health and Safety for Healthcare Professionals,N/A,Online,"$ 3,950",03 - 07 Nov 2025
Advanced Health and Safety for Healthcare Professionals,N/A,Online,"$ 3,950",26 - 30 Oct 2026
Better Energy Management with Transition Engineering,Using Transition Engineering to Improve Energy Performance,Dubai - UAE,"$ 5,950",27 - 31 Oct 2025
Better Energy Management with Transition Engineering,Using Transition Engineering to Improve Energy Performance,Dubai - UAE,"$ 5,950",01 - 05 Jun 2026
Better Energy Management with Transition Engineering,Using Transition Engineering to Improve Energy Performance,Dubai - UAE,"$ 5,950",26 - 30 Oct 2026
Advanced Process HAZOP,Identifying Potential Hazards in Process Systems and Managing Operability Issues,Dubai - UAE,"$ 5,950",27 - 31 Oct 2025
Advanced Process HAZOP,Identifying Potential Hazards in Process Systems and Managing Operability Issues,London - UK,"$ 5,950",03 - 07 Aug 2026
Advanced Process HAZOP,Identifying Potential Hazards in Process Systems and Managing Operability Issues,Dubai - UAE,"$ 5,950",26 - 30 Oct 2026
Advanced Process HAZOP,Identifying Potential Hazards in Process Systems and Managing Operability Issues,Online,"$ 3,950",27 - 31 Oct 2025
Advanced Process HAZOP,Identifying Potential Hazards in Process Systems and Managing Operability Issues,Online,"$ 3,950",26 - 30 Oct 2026
Global Environmental Law and Governance,Challenges and Practical Solutions,Dubai - UAE,"$ 5,950",27 - 31 Oct 2025
Global Environmental Law and Governance,Challenges and Practical Solutions,London - UK,"$ 5,950",08 - 12 Jun 2026
