Main_Title,Sub_Title,Venue,Fees,Date,Links
Advanced Health and Safety for Healthcare Professionals,,Online,"$3,950",27 - 31 Oct 2025,https://glomacs.com/training-course/advanced-health-and-safety-for-healthcare-professionals
Better Energy Management with Transition Engineering,Using Transition Engineering to Improve Energy Performance,Dubai,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/better-energy-management-with-transition-engineering
Advanced Process HAZOP,Identifying Potential Hazards in Process Systems and Managing Operability Issues,Online,"$3,950",27 - 31 Oct 2025,https://glomacs.com/training-course/advanced-process-hazop
Global Environmental Law and Governance,Challenges and Practical Solutions,Dubai,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/global-environmental-law-governance
Developing and Sustaining an Effective Safety Culture,Delivering our Safety Visions and Beliefs,Kuala Lumpur,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/developing-and-sustaining-an-effective-safety-culture
Advanced Health & Safety Management,Managing Risks to Protect People,Dubai,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/advanced-health-safety-management
Aerial Surveillance,,Dubai,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/aerial-surveillance
Global Environmental Law and Governance,Challenges and Practical Solutions,Online,"$3,950",27 - 31 Oct 2025,https://glomacs.com/training-course/global-environmental-law-governance
IMO Model Training Course on OPRC: Level 3 - Senior Managers and Administrators,,Dubai,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/imo-model-training-course-on-oprc-level-3-senior-managers-and-administrators
Advanced Health & Safety Management,Managing Risks to Protect People,Online,"$3,950",27 - 31 Oct 2025,https://glomacs.com/training-course/advanced-health-safety-management
Advanced Health and Safety for Healthcare Professionals,,Dubai,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/advanced-health-and-safety-for-healthcare-professionals
Advanced Process HAZOP,Identifying Potential Hazards in Process Systems and Managing Operability Issues,Dubai,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/advanced-process-hazop
Advanced Health and Safety for Healthcare Professionals,,Online,"$3,950",03 - 07 Nov 2025,https://glomacs.com/training-course/advanced-health-and-safety-for-healthcare-professionals
Risk Assessment and Hazard Identification,Determining Risk Values,Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/risk-assessment-and-hazard-identification
Traffic Accident Investigation,How to Identify and Collect Evidences,Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/traffic-accident-investigation
Behavioural Based Safety,Safe Person – Safe Workplace,Online,"$3,950",03 - 07 Nov 2025,https://glomacs.com/training-course/behavioural-based-safety
Advanced Health & Safety Management,Managing Risks to Protect People,Online,"$3,950",03 - 07 Nov 2025,https://glomacs.com/training-course/advanced-health-safety-management
Explosive Safety Management (ESM),,Taif,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/explosive-safety-management-esm
"Carbon Capture, Utilization and Storage (CCUS)",Reducing Carbon Footprints through Advanced Technologies,Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/carbon-capture-utilization-and-storage-ccus
