Main_Title,Sub_Title,Venue,Fees,Date
"Strategic Thinking, Analysis & Business Planning",Turning Strategy into Action and Results,London - UK,"$ 5,950",03 - 07 Nov 2025
"Strategic Thinking, Analysis & Business Planning",Turning Strategy into Action and Results,Paris - France,"$ 5,950",17 - 21 Nov 2025
"Strategic Thinking, Analysis & Business Planning",Turning Strategy into Action and Results,New York - USA,"$ 6,950",15 - 19 Dec 2025
"Strategic Thinking, Analysis & Business Planning",Turning Strategy into Action and Results,London - UK,"$ 5,950",22 - 26 Dec 2025
"Strategic Thinking, Analysis & Business Planning",Turning Strategy into Action and Results,Dubai - UAE,"$ 5,950",29 Dec - 02 Jan 2026
"Strategic Thinking, Analysis & Business Planning",Turning Strategy into Action and Results,London - UK,"$ 5,950",12 - 16 Jan 2026
"Strategic Thinking, Analysis & Business Planning",Turning Strategy into Action and Results,Dubai - UAE,"$ 5,950",30 Mar - 03 Apr 2026
"Strategic Thinking, Analysis & Business Planning",Turning Strategy into Action and Results,Dubai - UAE,"$ 5,950",08 - 12 Jun 2026
"Strategic Thinking, Analysis & Business Planning",Turning Strategy into Action and Results,London - UK,"$ 5,950",22 - 26 Jun 2026
"Strategic Thinking, Analysis & Business Planning",Turning Strategy into Action and Results,New York - USA,"$ 7,950",13 - 17 Jul 2026
"Strategic Thinking, Analysis & Business Planning",Turning Strategy into Action and Results,Geneva - Switzerland,"$ 5,950",20 - 24 Jul 2026
"Strategic Thinking, Analysis & Business Planning",Turning Strategy into Action and Results,Dubai - UAE,"$ 5,950",10 - 14 Aug 2026
"Strategic Thinking, Analysis & Business Planning",Turning Strategy into Action and Results,London - UK,"$ 5,950",24 - 28 Aug 2026
"Strategic Thinking, Analysis & Business Planning",Turning Strategy into Action and Results,Prague - Czech Republic,"$ 5,950",14 - 18 Sep 2026
"Strategic Thinking, Analysis & Business Planning",Turning Strategy into Action and Results,Amsterdam - The Netherlands,"$ 5,950",28 Sep - 02 Oct 2026
"Strategic Thinking, Analysis & Business Planning",Turning Strategy into Action and Results,Dubai - UAE,"$ 5,950",19 - 23 Oct 2026
"Strategic Thinking, Analysis & Business Planning",Turning Strategy into Action and Results,London - UK,"$ 5,950",02 - 06 Nov 2026
"Strategic Thinking, Analysis & Business Planning",Turning Strategy into Action and Results,Paris - France,"$ 5,950",16 - 20 Nov 2026
"Strategic Thinking, Analysis & Business Planning",Turning Strategy into Action and Results,New York - USA,"$ 7,950",14 - 18 Dec 2026
"Strategic Thinking, Analysis & Business Planning",Turning Strategy into Action and Results,London - UK,"$ 5,950",21 - 25 Dec 2026
"Strategic Thinking, Analysis & Business Planning",Turning Strategy into Action and Results,Dubai - UAE,"$ 5,950",28 Dec - 01 Jan 2027
"Strategic Thinking, Analysis & Business Planning",Turning Strategy into Action and Results,Online,"$ 3,950",27 - 31 Oct 2025
"Strategic Thinking, Analysis & Business Planning",Turning Strategy into Action and Results,Online,"$ 3,950",08 - 12 Jun 2026
"Strategic Thinking, Analysis & Business Planning",Turning Strategy into Action and Results,Online,"$ 3,950",05 - 09 Oct 2026
Professional Certificate in Management - Masterclass,Improved Management through Leading-Edge Strategies,Paris - France,"$ 5,950",27 - 31 Oct 2025
Professional Certificate in Management - Masterclass,Improved Management through Leading-Edge Strategies,New York - USA,"$ 6,950",24 - 28 Nov 2025
Professional Certificate in Management - Masterclass,Improved Management through Leading-Edge Strategies,London - UK,"$ 5,950",22 - 26 Dec 2025
Professional Certificate in Management - Masterclass,Improved Management through Leading-Edge Strategies,Dubai - UAE,"$ 5,950",13 - 17 Apr 2026
Professional Certificate in Management - Masterclass,Improved Management through Leading-Edge Strategies,Geneva - Switzerland,"$ 5,950",27 Apr - 01 May 2026
Professional Certificate in Management - Masterclass,Improved Management through Leading-Edge Strategies,London - UK,"$ 5,950",04 - 08 May 2026
Professional Certificate in Management - Masterclass,Improved Management through Leading-Edge Strategies,Amsterdam - The Netherlands,"$ 5,950",24 - 28 Aug 2026
Professional Certificate in Management - Masterclass,Improved Management through Leading-Edge Strategies,Paris - France,"$ 5,950",26 - 30 Oct 2026
Professional Certificate in Management - Masterclass,Improved Management through Leading-Edge Strategies,New York - USA,"$ 7,950",23 - 27 Nov 2026
Professional Certificate in Management - Masterclass,Improved Management through Leading-Edge Strategies,London - UK,"$ 5,950",21 - 25 Dec 2026
Strategic Planning and Project Management Reviews,Business Strategic Planning and Implementation,Barcelona - Spain,"$ 5,950",27 - 31 Oct 2025
Strategic Planning and Project Management Reviews,Business Strategic Planning and Implementation,Dubai - UAE,"$ 5,950",17 - 21 Nov 2025
Strategic Planning and Project Management Reviews,Business Strategic Planning and Implementation,London - UK,"$ 5,950",29 Dec - 02 Jan 2026
Strategic Planning and Project Management Reviews,Business Strategic Planning and Implementation,London - UK,"$ 5,950",11 - 15 May 2026
Strategic Planning and Project Management Reviews,Business Strategic Planning and Implementation,Dubai - UAE,"$ 5,950",06 - 10 Jul 2026
Strategic Planning and Project Management Reviews,Business Strategic Planning and Implementation,Amsterdam - The Netherlands,"$ 5,950",17 - 21 Aug 2026
Strategic Planning and Project Management Reviews,Business Strategic Planning and Implementation,Istanbul - Turkey,"$ 5,950",21 - 25 Sep 2026
Strategic Planning and Project Management Reviews,Business Strategic Planning and Implementation,Barcelona - Spain,"$ 5,950",26 - 30 Oct 2026
Strategic Planning and Project Management Reviews,Business Strategic Planning and Implementation,Dubai - UAE,"$ 5,950",16 - 20 Nov 2026
Strategic Planning and Project Management Reviews,Business Strategic Planning and Implementation,London - UK,"$ 5,950",28 Dec - 01 Jan 2027
Strategic Planning and Project Management Reviews,Business Strategic Planning and Implementation,Online,"$ 3,950",27 - 31 Oct 2025
Strategic Planning and Project Management Reviews,Business Strategic Planning and Implementation,Online,"$ 3,950",11 - 15 May 2026
Strategic Planning and Project Management Reviews,Business Strategic Planning and Implementation,Online,"$ 3,950",26 - 30 Oct 2026
Strategic Management Workshop,Defining your Role in Creating Tomorrow's Organisation,Dubai - UAE,"$ 5,950",27 - 31 Oct 2025
Strategic Management Workshop,Defining your Role in Creating Tomorrow's Organisation,Lisbon - Portugal,"$ 5,950",15 - 19 Dec 2025
Strategic Management Workshop,Defining your Role in Creating Tomorrow's Organisation,Kigali - Rwanda,"$ 5,950",02 - 06 Mar 2026
Strategic Management Workshop,Defining your Role in Creating Tomorrow's Organisation,Cairo - Egypt,"$ 5,950",11 - 15 May 2026
Strategic Management Workshop,Defining your Role in Creating Tomorrow's Organisation,London - UK,"$ 5,950",13 - 17 Jul 2026
Strategic Management Workshop,Defining your Role in Creating Tomorrow's Organisation,Cairo - Egypt,"$ 5,950",14 - 18 Sep 2026
Strategic Management Workshop,Defining your Role in Creating Tomorrow's Organisation,Dubai - UAE,"$ 5,950",26 - 30 Oct 2026
Strategic Management Workshop,Defining your Role in Creating Tomorrow's Organisation,Lisbon - Portugal,"$ 5,950",14 - 18 Dec 2026
The Challenge of Globalisation,Opportunity and Threat in World Markets,Dubai - UAE,"$ 5,950",27 - 31 Oct 2025
The Challenge of Globalisation,Opportunity and Threat in World Markets,London - UK,"$ 5,950",06 - 10 Jul 2026
The Challenge of Globalisation,Opportunity and Threat in World Markets,Dubai - UAE,"$ 5,950",26 - 30 Oct 2026
"Strategic Thinking, Analysis and Planning",Mapping-out Your Best Possible Direction,Dubai - UAE,"$ 5,950",27 - 31 Oct 2025
"Strategic Thinking, Analysis and Planning",Mapping-out Your Best Possible Direction,Dubai - UAE,"$ 5,950",03 - 07 Nov 2025
"Strategic Thinking, Analysis and Planning",Mapping-out Your Best Possible Direction,London - UK,"$ 5,950",24 - 28 Nov 2025
"Strategic Thinking, Analysis and Planning",Mapping-out Your Best Possible Direction,Paris - France,"$ 5,950",29 Dec - 02 Jan 2026
"Strategic Thinking, Analysis and Planning",Mapping-out Your Best Possible Direction,Paris - France,"$ 5,950",30 Mar - 03 Apr 2026
"Strategic Thinking, Analysis and Planning",Mapping-out Your Best Possible Direction,Dubai - UAE,"$ 5,950",04 - 08 May 2026
"Strategic Thinking, Analysis and Planning",Mapping-out Your Best Possible Direction,Lisbon - Portugal,"$ 5,950",20 - 24 Jul 2026
"Strategic Thinking, Analysis and Planning",Mapping-out Your Best Possible Direction,Paris - France,"$ 5,950",14 - 18 Sep 2026
"Strategic Thinking, Analysis and Planning",Mapping-out Your Best Possible Direction,Dubai - UAE,"$ 5,950",26 - 30 Oct 2026
"Strategic Thinking, Analysis and Planning",Mapping-out Your Best Possible Direction,Dubai - UAE,"$ 5,950",02 - 06 Nov 2026
"Strategic Thinking, Analysis and Planning",Mapping-out Your Best Possible Direction,London - UK,"$ 5,950",23 - 27 Nov 2026
"Strategic Thinking, Analysis and Planning",Mapping-out Your Best Possible Direction,Paris - France,"$ 5,950",28 Dec - 01 Jan 2027
Management - Masterclass,Improved Management through Leading-Edge Strategies,Paris - France,"$ 5,950",27 - 31 Oct 2025
Management - Masterclass,Improved Management through Leading-Edge Strategies,New York - USA,"$ 6,950",24 - 28 Nov 2025
Management - Masterclass,Improved Management through Leading-Edge Strategies,London - UK,"$ 5,950",22 - 26 Dec 2025
Management - Masterclass,Improved Management through Leading-Edge Strategies,Dubai - UAE,"$ 5,950",13 - 17 Apr 2026
Management - Masterclass,Improved Management through Leading-Edge Strategies,Geneva - Switzerland,"$ 5,950",27 Apr - 01 May 2026
Management - Masterclass,Improved Management through Leading-Edge Strategies,London - UK,"$ 5,950",04 - 08 May 2026
Management - Masterclass,Improved Management through Leading-Edge Strategies,Amsterdam - The Netherlands,"$ 5,950",24 - 28 Aug 2026
Management - Masterclass,Improved Management through Leading-Edge Strategies,Paris - France,"$ 5,950",26 - 30 Oct 2026
Management - Masterclass,Improved Management through Leading-Edge Strategies,New York - USA,"$ 7,950",23 - 27 Nov 2026
Management - Masterclass,Improved Management through Leading-Edge Strategies,London - UK,"$ 5,950",21 - 25 Dec 2026
Strategic Planning and Project Management Reviews,Business Strategic Planning and Implementation,Barcelona - Spain,"$ 5,950",27 - 31 Oct 2025
Strategic Planning and Project Management Reviews,Business Strategic Planning and Implementation,Dubai - UAE,"$ 5,950",17 - 21 Nov 2025
Strategic Planning and Project Management Reviews,Business Strategic Planning and Implementation,London - UK,"$ 5,950",29 Dec - 02 Jan 2026
Strategic Planning and Project Management Reviews,Business Strategic Planning and Implementation,London - UK,"$ 5,950",11 - 15 May 2026
Strategic Planning and Project Management Reviews,Business Strategic Planning and Implementation,Dubai - UAE,"$ 5,950",06 - 10 Jul 2026
Strategic Planning and Project Management Reviews,Business Strategic Planning and Implementation,Amsterdam - The Netherlands,"$ 5,950",17 - 21 Aug 2026
Strategic Planning and Project Management Reviews,Business Strategic Planning and Implementation,Istanbul - Turkey,"$ 5,950",21 - 25 Sep 2026
Strategic Planning and Project Management Reviews,Business Strategic Planning and Implementation,Barcelona - Spain,"$ 5,950",26 - 30 Oct 2026
Strategic Planning and Project Management Reviews,Business Strategic Planning and Implementation,Dubai - UAE,"$ 5,950",16 - 20 Nov 2026
Strategic Planning and Project Management Reviews,Business Strategic Planning and Implementation,London - UK,"$ 5,950",28 Dec - 01 Jan 2027
Strategic Planning and Project Management Reviews,Business Strategic Planning and Implementation,Online,"$ 3,950",27 - 31 Oct 2025
Strategic Planning and Project Management Reviews,Business Strategic Planning and Implementation,Online,"$ 3,950",11 - 15 May 2026
Strategic Planning and Project Management Reviews,Business Strategic Planning and Implementation,Online,"$ 3,950",26 - 30 Oct 2026
Advanced Professional Certificate in Strategic Management,Strategies for High-Impact Results in a Complex and Changing World,New York - USA,"$ 6,950",27 - 31 Oct 2025
Advanced Professional Certificate in Strategic Management,Strategies for High-Impact Results in a Complex and Changing World,Amsterdam - The Netherlands,"$ 5,950",01 - 05 Dec 2025
Advanced Professional Certificate in Strategic Management,Strategies for High-Impact Results in a Complex and Changing World,London - UK,"$ 5,950",29 Dec - 02 Jan 2026
Advanced Professional Certificate in Strategic Management,Strategies for High-Impact Results in a Complex and Changing World,Barcelona - Spain,"$ 5,950",27 Apr - 01 May 2026
Advanced Professional Certificate in Strategic Management,Strategies for High-Impact Results in a Complex and Changing World,London - UK,"$ 5,950",27 - 31 Jul 2026
Advanced Professional Certificate in Strategic Management,Strategies for High-Impact Results in a Complex and Changing World,Barcelona - Spain,"$ 5,950",07 - 11 Sep 2026
Advanced Professional Certificate in Strategic Management,Strategies for High-Impact Results in a Complex and Changing World,New York - USA,"$ 7,950",26 - 30 Oct 2026
Advanced Professional Certificate in Strategic Management,Strategies for High-Impact Results in a Complex and Changing World,Amsterdam - The Netherlands,"$ 5,950",30 Nov - 04 Dec 2026
Advanced Professional Certificate in Strategic Management,Strategies for High-Impact Results in a Complex and Changing World,London - UK,"$ 5,950",28 Dec - 01 Jan 2027
Advanced Professional Certificate in Strategic Management,Strategies for High-Impact Results in a Complex and Changing World,Online,"$ 3,950",27 Apr - 01 May 2026
The Advanced Professional Certificate in Strategic Management & Leadership,High-Impact Results in a Complex and Changing World,New York - USA,"$ 13,900",27 Oct - 07 Nov 2025
The Advanced Professional Certificate in Strategic Management & Leadership,High-Impact Results in a Complex and Changing World,Amsterdam - The Netherlands,"$ 11,900",01 - 12 Dec 2025
The Advanced Professional Certificate in Strategic Management & Leadership,High-Impact Results in a Complex and Changing World,Barcelona - Spain,"$ 11,900",27 Apr - 08 May 2026
The Advanced Professional Certificate in Strategic Management & Leadership,High-Impact Results in a Complex and Changing World,London - UK,"$ 11,900",27 Jul - 07 Aug 2026
The Advanced Professional Certificate in Strategic Management & Leadership,High-Impact Results in a Complex and Changing World,Barcelona - Spain,"$ 11,900",07 - 18 Sep 2026
The Advanced Professional Certificate in Strategic Management & Leadership,High-Impact Results in a Complex and Changing World,New York - USA,"$ 15,900",26 Oct - 06 Nov 2026
The Advanced Professional Certificate in Strategic Management & Leadership,High-Impact Results in a Complex and Changing World,Amsterdam - The Netherlands,"$ 11,900",30 Nov - 11 Dec 2026
The Advanced Professional Certificate in Strategic Management & Leadership,High-Impact Results in a Complex and Changing World,Online,"$ 7,900",27 Apr - 08 May 2026
Leadership Skills for Innovation and Results,Harness the future and lead with vision and efficacy,Barcelona - Spain,"$ 11,900",27 Oct - 07 Nov 2025
Leadership Skills for Innovation and Results,Harness the future and lead with vision and efficacy,Dubai - UAE,"$ 11,900",15 - 26 Dec 2025
Leadership Skills for Innovation and Results,Harness the future and lead with vision and efficacy,Amsterdam - The Netherlands,"$ 11,900",26 Jan - 06 Feb 2026
Leadership Skills for Innovation and Results,Harness the future and lead with vision and efficacy,Dubai - UAE,"$ 11,900",27 Apr - 08 May 2026
Leadership Skills for Innovation and Results,Harness the future and lead with vision and efficacy,Oslo - Norway,"$ 11,900",27 Jul - 07 Aug 2026
Leadership Skills for Innovation and Results,Harness the future and lead with vision and efficacy,Barcelona - Spain,"$ 11,900",26 Oct - 06 Nov 2026
Leadership Skills for Innovation and Results,Harness the future and lead with vision and efficacy,Dubai - UAE,"$ 11,900",14 - 25 Dec 2026
Creative Strategic Planning & Leadership,"Developing Innovative, Visioning and Strategic Thinking Skills",Prague - Czech Republic,"$ 15,000",27 Oct - 07 Nov 2025
Creative Strategic Planning & Leadership,"Developing Innovative, Visioning and Strategic Thinking Skills",Amman - Jordan,"$ 15,000",10 - 21 Nov 2025
Creative Strategic Planning & Leadership,"Developing Innovative, Visioning and Strategic Thinking Skills",London - UK,"$ 15,000",24 Nov - 05 Dec 2025
Creative Strategic Planning & Leadership,"Developing Innovative, Visioning and Strategic Thinking Skills",London - UK,"$ 15,000",05 - 16 Jan 2026
Creative Strategic Planning & Leadership,"Developing Innovative, Visioning and Strategic Thinking Skills",London - UK,"$ 15,000",02 - 13 Feb 2026
