Main_Title,Sub_Title,Venue,Fees,Date,Links
"Strategic Thinking, Analysis & Business Planning",Turning Strategy into Action and Results,Online,"$3,950",27 - 31 Oct 2025,https://glomacs.com/training-course/strategic-thinking-analysis-business-planning
Professional Certificate in Management - Masterclass,Improved Management through Leading-Edge Strategies,Paris,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/cpd-professional-certificate-in-management-masterclass
Strategic Planning and Project Management Reviews,Business Strategic Planning and Implementation,Barcelona,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/strategic-planning-and-project-management-reviews
Strategic Management Workshop,Defining your Role in Creating Tomorrow's Organisation,Dubai,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/strategic-management-workshop
The Challenge of Globalisation,Opportunity and Threat in World Markets,Dubai,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/the-challenge-of-globalisation
"Strategic Thinking, Analysis and Planning",Mapping-out Your Best Possible Direction,Dubai,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/strategic-thinking-analysis-and-planning
Management - Masterclass,Improved Management through Leading-Edge Strategies,Paris,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/management-masterclass
Strategic Planning and Project Management Reviews,Business Strategic Planning and Implementation,Online,"$3,950",27 - 31 Oct 2025,https://glomacs.com/training-course/strategic-planning-and-project-management-reviews
Advanced Professional Certificate in Strategic Management,Strategies for High-Impact Results in a Complex and Changing World,New York,"$6,950",27 - 31 Oct 2025,https://glomacs.com/training-course/advanced-professional-certificate-in-strategic-management
The Advanced Professional Certificate in Strategic Management & Leadership,High-Impact Results in a Complex and Changing World,New York,"$13,900",27 Oct - 07 Nov 2025,https://glomacs.com/training-course/advanced-professional-certificate-strategic-management-leadership
Leadership Skills for Innovation and Results,Harness the future and lead with vision and efficacy,Barcelona,"$11,900",27 Oct - 07 Nov 2025,https://glomacs.com/training-course/leadership-skills-for-innovation-and-results
Creative Strategic Planning & Leadership,"Developing Innovative, Visioning and Strategic Thinking Skills",Prague,"$15,000",27 Oct - 07 Nov 2025,https://glomacs.com/training-course/creative-strategic-planning-leadership
"Shipping Management, Leadership & Strategy",Maritime Management and Leadership: Creating Value in Shipping,Dubai,"$6,450",03 - 07 Nov 2025,https://glomacs.com/training-course/shipping-management-leadership-strategy
Sustainable Business Strategy,The Key to a Responsible Organisation,London,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/sustainable-business-strategy
Disruptive Innovation,Managing Radical Change for High Growth,Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/disruptive-innovation-managing-radical-change-for-high-growth
Operational Process Design and Improvement,"Optimising Business Processes for Agility, Efficiency, and Sustainable Performance",London,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/operational-process-design-and-improvement
"Strategic Thinking, Analysis & Business Planning",Turning Strategy into Action and Results,London,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/strategic-thinking-analysis-business-planning
Strategic Planning and Execution: Strategy Execution Professional,Turning Strategy into Action and Results,Online,"$3,950",03 - 07 Nov 2025,https://glomacs.com/training-course/strategic-planning-and-execution-turning-strategy-into-action-and-results
Essentials of Balanced Scorecard,Translate Strategy into Practical Performance Improvement,Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/essentials-of-balanced-scorecard
Strategic Planning Using the Balanced Scorecard,Turning Strategy into Reality,Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/strategic-planning-using-the-balanced-scorecard
Strategy & Strategic Planning,Creating Tomorrow’s Organisation Out of Today’s Organisation,London,"$7,500",03 - 07 Nov 2025,https://glomacs.com/training-course/strategy-strategic-planning
Professional Certificate in Strategy & Strategic Planning,Creating Tomorrow’s Organisation Out of Today’s Organisation,London,"$7,500",03 - 07 Nov 2025,https://glomacs.com/training-course/cpd-professional-certificate-in-strategy-strategic-planning
Strategy Governance for Board,Deriving benefit from Strong Corporate Governance,Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/strategy-governance-for-board
Mastering Entrepreneurship,From Creativity & Innovation to Business Strategy,Amsterdam,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/mastering-entrepreneurship
"Strategic Thinking, Analysis and Planning",Mapping-out Your Best Possible Direction,Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/strategic-thinking-analysis-and-planning
