Main_Title,Sub_Title,Venue,Fees,Date
Project Risk Management Workshop for Project Professionals,Applying Proven Risk Management Techniques to Real Project Risks,Abuja - Nigeria,"$ 3,900",27 - 29 Oct 2025
Project Risk Management Workshop for Project Professionals,Applying Proven Risk Management Techniques to Real Project Risks,Abuja - Nigeria,"$ 3,950",22 - 24 Jun 2026
Project Risk Management Workshop for Project Professionals,Applying Proven Risk Management Techniques to Real Project Risks,Abuja - Nigeria,"$ 3,950",26 - 28 Oct 2026
Professional Certificate in Strategic Corporate Governance,Measuring and Benchmarking Governance Standards,Prague - Czech Republic,"$ 5,950",27 - 31 Oct 2025
Professional Certificate in Strategic Corporate Governance,Measuring and Benchmarking Governance Standards,Dubai - UAE,"$ 5,950",08 - 12 Dec 2025
Professional Certificate in Strategic Corporate Governance,Measuring and Benchmarking Governance Standards,London - UK,"$ 5,950",06 - 10 Apr 2026
Professional Certificate in Strategic Corporate Governance,Measuring and Benchmarking Governance Standards,Dubai - UAE,"$ 5,950",15 - 19 Jun 2026
Professional Certificate in Strategic Corporate Governance,Measuring and Benchmarking Governance Standards,Abu Dhabi - UAE,"$ 5,950",24 - 28 Aug 2026
Professional Certificate in Strategic Corporate Governance,Measuring and Benchmarking Governance Standards,London - UK,"$ 5,950",07 - 11 Sep 2026
Professional Certificate in Strategic Corporate Governance,Measuring and Benchmarking Governance Standards,Prague - Czech Republic,"$ 5,950",26 - 30 Oct 2026
Professional Certificate in Strategic Corporate Governance,Measuring and Benchmarking Governance Standards,Dubai - UAE,"$ 5,950",07 - 11 Dec 2026
Professional Certificate in Strategic Corporate Governance,Measuring and Benchmarking Governance Standards,Online,"$ 3,950",11 - 15 May 2026
Project Risk Analysis & Management,Understanding the Key Drivers towards Proactive Behaviours,New York - USA,"$ 6,950",27 - 31 Oct 2025
Project Risk Analysis & Management,Understanding the Key Drivers towards Proactive Behaviours,Dubai - UAE,"$ 5,950",03 - 07 Nov 2025
Project Risk Analysis & Management,Understanding the Key Drivers towards Proactive Behaviours,Vienna - Austria,"$ 5,950",22 - 26 Dec 2025
Project Risk Analysis & Management,Understanding the Key Drivers towards Proactive Behaviours,Riyadh - Saudi Arabia,"$ 5,950",23 - 27 Mar 2026
Project Risk Analysis & Management,Understanding the Key Drivers towards Proactive Behaviours,Dubai - UAE,"$ 5,950",30 Mar - 03 Apr 2026
Project Risk Analysis & Management,Understanding the Key Drivers towards Proactive Behaviours,Dubai - UAE,"$ 5,950",22 - 26 Jun 2026
Project Risk Analysis & Management,Understanding the Key Drivers towards Proactive Behaviours,London - UK,"$ 5,950",21 - 25 Sep 2026
Project Risk Analysis & Management,Understanding the Key Drivers towards Proactive Behaviours,New York - USA,"$ 7,950",26 - 30 Oct 2026
