Main_Title,Sub_Title,Venue,Fees,Date,Links
Project Risk Management Workshop for Project Professionals,Applying Proven Risk Management Techniques to Real Project Risks,Abuja,"$3,900",27 - 29 Oct 2025,https://glomacs.com/training-course/project-risk-management-workshop-for-project-professionals
Professional Certificate in Strategic Corporate Governance,Measuring and Benchmarking Governance Standards,Prague,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/professional-certificate-in-strategic-corporate-governance
Project Risk Analysis & Management,Understanding the Key Drivers towards Proactive Behaviours,New York,"$6,950",27 - 31 Oct 2025,https://glomacs.com/training-course/project-risk-analysis-management
"Risk Management, Control & Compliance (Corporate Governance)",Minimising Risk and Exercising Internal Control,Abu Dhabi,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/risk-management-control-compliance-corporate-governance
"Professional Certificate in Risk Management, Control & Compliance (Corporate Governance)",Minimising Risk and Exercising Internal Control,Abu Dhabi,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/cpd-professional-certificate-in-risk-management-control-compliance
Strategic Corporate Governance,Measuring and Benchmarking Governance Standards,Prague,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/strategic-corporate-governance
"Governance, Risk Management, Banking & Financial Knowledge Update",Master and Update Key Governing Roles to Control your Organization and Achieve Best Financial Outcomes,Amsterdam,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/governance-risk-management-banking-financial-knowledge-update
"Professional Certificate in Governance, Risk & Compliance (GRC)",Work Efficiently & Effectively using the Best Practices in GRC,AlUla,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/cpd-professional-certificate-in-governance-risk-compliance
"Strategic Capital Investment, Performance Measurement, and Risk Management",Evaluating & Managing the Impact of Risk on Investment & Financial Performance,Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/strategic-capital-investment-performance-measurement-risk-management
Strategy Governance for Board,Deriving benefit from Strong Corporate Governance,Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/strategy-governance-for-board
Masterclass in Corporate Affairs and Governance,Integrating Public Communicationswith Enterprise GRC Framework,Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/masterclass-in-corporate-affairs-and-governance
ISO/IEC 27031:2011 - Lead Implementer,Implementing Continuity of Business to Reduce Risk and Recover from ICT Event Disruptions,Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/isoiec-270312011-lead-implementer-2
Enterprise Governance & Compliance,Navigating Regulatory Challenges,Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/enterprise-governance-compliance
ISO/IEC 27031:2011 - Lead Implementer,Implementing Continuity of Business to Reduce Risk and Recover from ICT Event Disruptions,Online,"$3,950",03 - 07 Nov 2025,https://glomacs.com/training-course/isoiec-270312011-lead-implementer-2
Risk Based Operational Decision Making,Learning To Manage Most Effectively in Turbulent Times,Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/risk-based-operational-decision-making
"Financial Risk, Root Cause Analysis (RCA) & Problem Solving",Unlocking the Complexity of Financial Risk,Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/financial-risk-root-cause-analysis-and-problem-solving
Regulations and Control in Corporate Governance,Your Guidance in Good Governance of Organizations,London,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/regulations-and-control-in-corporate-governance
"Governance, Risk & Compliance (GRC)",Work Efficiently & Effectively using the Best Practices in GRC,AlUla,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/governance-risk-compliance
Auditing Corporate Governance,Assessing How Your Business is Directed and Controlled,Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/auditing-corporate-governance
Project Risk Analysis & Management,Understanding the Key Drivers towards Proactive Behaviours,Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/project-risk-analysis-management
Treasury and Risk Management,"Identifying, Measuring and Managing Financial Risk",Online,"$3,950",03 - 07 Nov 2025,https://glomacs.com/training-course/treasury-and-risk-management
"Financial Risk, Root Cause Analysis (RCA) & Problem Solving",Unlocking the Complexity of Financial Risk,Online,"$3,950",03 - 07 Nov 2025,https://glomacs.com/training-course/financial-risk-root-cause-analysis-and-problem-solving
Professional Certificate in Procurement Compliance,"Ensuring Compliance, Minimizing Risks, and Maximizing Value",Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/professional-certificate-in-procurement-compliance
Corporate Governance & Risk Management for State & Public Sector Organisations,Reduce the Burden of Compliance and Risk Management while Creating Effective Cultural Governance,Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/corporate-governance-risk-management-for-state-public-sector-organisations
Treasury and Risk Management,"Identifying, Measuring and Managing Financial Risk",Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/treasury-and-risk-management
The 10-Day International Financial Reporting & Treasury Risk Management for the Oil & Gas Industry,Essential Guide to IFRS and Risk Management,Dubai,"$11,900",03 - 14 Nov 2025,https://glomacs.com/training-course/the-10-day-international-financial-reporting-br-treasury-risk-management-for-the-oil-gas-industry
"Managing Vendor Qualification, Performance & Contract Compliance",Vendors Management from Selection to Contracting,Online,"$3,950",09 - 13 Nov 2025,https://glomacs.com/training-course/managing-vendor-qualification-performance-and-contract-compliance
"Professional Certificate in Risk Management, Control & Compliance (Corporate Governance)",Minimising Risk and Exercising Internal Control,Amsterdam,"$5,950",10 - 14 Nov 2025,https://glomacs.com/training-course/cpd-professional-certificate-in-risk-management-control-compliance
Anti-Money Laundering (AML) Compliance Masterclass,Protection Against the Risks of Money Laundering and Terrorist Financing,Online,"$3,950",10 - 14 Nov 2025,https://glomacs.com/training-course/anti-money-laundering-aml-compliance-masterclass
Advanced Enterprise Risk Management,Fully Embedding the ERM Process,Dubai,"$5,950",10 - 14 Nov 2025,https://glomacs.com/training-course/advanced-enterprise-risk-management
"Statutory, Legal and Compliance Requirements",Compliance in Practice & Risk Management,Dubai,"$5,950",10 - 14 Nov 2025,https://glomacs.com/training-course/statutory-legal-and-compliance-requirements
Project Governance and Stage Gate Management,Assuring Strong Delivery Of Projects,Online,"$3,950",10 - 14 Nov 2025,https://glomacs.com/training-course/project-governance-and-stage-gate-management
"Professional Certificate in Risk Management, Control & Compliance (Corporate Governance)",Minimising Risk and Exercising Internal Control,Online,"$3,950",10 - 14 Nov 2025,https://glomacs.com/training-course/cpd-professional-certificate-in-risk-management-control-compliance
