Main_Title,Sub_Title,Venue,Fees,Date
"Strategic Communication: Thinking, Planning and Execution","Involve, Inspire, Influence",London - UK,"$ 5,950",27 - 31 Oct 2025
"Strategic Communication: Thinking, Planning and Execution","Involve, Inspire, Influence",Dubai - UAE,"$ 5,950",24 - 28 Nov 2025
"Strategic Communication: Thinking, Planning and Execution","Involve, Inspire, Influence",London - UK,"$ 5,950",29 Dec - 02 Jan 2026
"Strategic Communication: Thinking, Planning and Execution","Involve, Inspire, Influence",Amsterdam - The Netherlands,"$ 5,950",26 - 30 Jan 2026
"Strategic Communication: Thinking, Planning and Execution","Involve, Inspire, Influence",Riyadh - Saudi Arabia,"$ 5,950",02 - 06 Mar 2026
"Strategic Communication: Thinking, Planning and Execution","Involve, Inspire, Influence",Dubai - UAE,"$ 5,950",23 - 27 Mar 2026
"Strategic Communication: Thinking, Planning and Execution","Involve, Inspire, Influence",Dubai - UAE,"$ 5,950",20 - 24 Apr 2026
"Strategic Communication: Thinking, Planning and Execution","Involve, Inspire, Influence",London - UK,"$ 5,950",18 - 22 May 2026
"Strategic Communication: Thinking, Planning and Execution","Involve, Inspire, Influence",Dubai - UAE,"$ 5,950",29 Jun - 03 Jul 2026
"Strategic Communication: Thinking, Planning and Execution","Involve, Inspire, Influence",London - UK,"$ 5,950",24 - 28 Aug 2026
"Strategic Communication: Thinking, Planning and Execution","Involve, Inspire, Influence",Dubai - UAE,"$ 5,950",21 - 25 Sep 2026
"Strategic Communication: Thinking, Planning and Execution","Involve, Inspire, Influence",London - UK,"$ 5,950",26 - 30 Oct 2026
"Strategic Communication: Thinking, Planning and Execution","Involve, Inspire, Influence",Dubai - UAE,"$ 5,950",23 - 27 Nov 2026
"Strategic Communication: Thinking, Planning and Execution","Involve, Inspire, Influence",London - UK,"$ 5,950",28 Dec - 01 Jan 2027
"Strategic Communication: Thinking, Planning and Execution","Involve, Inspire, Influence",Online,"$ 3,950",27 - 31 Oct 2025
"Strategic Communication: Thinking, Planning and Execution","Involve, Inspire, Influence",Online,"$ 3,950",18 - 22 May 2026
"Strategic Communication: Thinking, Planning and Execution","Involve, Inspire, Influence",Online,"$ 3,950",26 - 30 Oct 2026
"Strategic Communication: Thinking, Planning and Execution","Involve, Inspire, Influence",London - UK,"$ 5,950",27 - 31 Oct 2025
"Strategic Communication: Thinking, Planning and Execution","Involve, Inspire, Influence",Dubai - UAE,"$ 5,950",24 - 28 Nov 2025
"Strategic Communication: Thinking, Planning and Execution","Involve, Inspire, Influence",London - UK,"$ 5,950",29 Dec - 02 Jan 2026
"Strategic Communication: Thinking, Planning and Execution","Involve, Inspire, Influence",Amsterdam - The Netherlands,"$ 5,950",26 - 30 Jan 2026
"Strategic Communication: Thinking, Planning and Execution","Involve, Inspire, Influence",Riyadh - Saudi Arabia,"$ 5,950",02 - 06 Mar 2026
"Strategic Communication: Thinking, Planning and Execution","Involve, Inspire, Influence",Dubai - UAE,"$ 5,950",23 - 27 Mar 2026
"Strategic Communication: Thinking, Planning and Execution","Involve, Inspire, Influence",Dubai - UAE,"$ 5,950",20 - 24 Apr 2026
"Strategic Communication: Thinking, Planning and Execution","Involve, Inspire, Influence",London - UK,"$ 5,950",18 - 22 May 2026
"Strategic Communication: Thinking, Planning and Execution","Involve, Inspire, Influence",Dubai - UAE,"$ 5,950",29 Jun - 03 Jul 2026
"Strategic Communication: Thinking, Planning and Execution","Involve, Inspire, Influence",London - UK,"$ 5,950",24 - 28 Aug 2026
"Strategic Communication: Thinking, Planning and Execution","Involve, Inspire, Influence",Dubai - UAE,"$ 5,950",21 - 25 Sep 2026
"Strategic Communication: Thinking, Planning and Execution","Involve, Inspire, Influence",London - UK,"$ 5,950",26 - 30 Oct 2026
"Strategic Communication: Thinking, Planning and Execution","Involve, Inspire, Influence",Dubai - UAE,"$ 5,950",23 - 27 Nov 2026
"Strategic Communication: Thinking, Planning and Execution","Involve, Inspire, Influence",London - UK,"$ 5,950",28 Dec - 01 Jan 2027
"Strategic Communication: Thinking, Planning and Execution","Involve, Inspire, Influence",Online,"$ 3,950",27 - 31 Oct 2025
"Strategic Communication: Thinking, Planning and Execution","Involve, Inspire, Influence",Online,"$ 3,950",18 - 22 May 2026
"Strategic Communication: Thinking, Planning and Execution","Involve, Inspire, Influence",Online,"$ 3,950",26 - 30 Oct 2026
Mastering Corporate Communications,Implementing New Rules of Communications,Dubai - UAE,"$ 5,950",03 - 07 Nov 2025
Mastering Corporate Communications,Implementing New Rules of Communications,London - UK,"$ 5,950",08 - 12 Dec 2025
Mastering Corporate Communications,Implementing New Rules of Communications,Dubai - UAE,"$ 5,950",04 - 08 May 2026
Mastering Corporate Communications,Implementing New Rules of Communications,London - UK,"$ 5,950",06 - 10 Jul 2026
Mastering Corporate Communications,Implementing New Rules of Communications,Amsterdam - The Netherlands,"$ 5,950",12 - 16 Oct 2026
Mastering Corporate Communications,Implementing New Rules of Communications,Dubai - UAE,"$ 5,950",02 - 06 Nov 2026
Mastering Corporate Communications,Implementing New Rules of Communications,London - UK,"$ 5,950",07 - 11 Dec 2026
Mastering Corporate Communications,Implementing New Rules of Communications,Online,"$ 3,950",08 - 12 Dec 2025
Mastering Corporate Communications,Implementing New Rules of Communications,Online,"$ 3,950",07 - 11 Dec 2026
