Main_Title,Sub_Title,Venue,Fees,Date
Sustainable Construction Management,Practical Sustainable Projects,Riyadh - Saudi Arabia,"$ 5,950",26 - 30 Oct 2025
Sustainable Construction Management,Practical Sustainable Projects,London - UK,"$ 5,950",22 - 26 Dec 2025
Sustainable Construction Management,Practical Sustainable Projects,Amsterdam - The Netherlands,"$ 5,950",02 - 06 Feb 2026
Sustainable Construction Management,Practical Sustainable Projects,Dubai - UAE,"$ 5,950",18 - 22 May 2026
Sustainable Construction Management,Practical Sustainable Projects,Paris - France,"$ 5,950",13 - 17 Jul 2026
Sustainable Construction Management,Practical Sustainable Projects,Barcelona - Spain,"$ 5,950",28 Sep - 02 Oct 2026
Sustainable Construction Management,Practical Sustainable Projects,Riyadh - Saudi Arabia,"$ 5,950",26 - 30 Oct 2026
Sustainable Construction Management,Practical Sustainable Projects,London - UK,"$ 5,950",21 - 25 Dec 2026
Sustainable Construction Management,Practical Sustainable Projects,Online,"$ 3,950",22 - 26 Dec 2025
Sustainable Construction Management,Practical Sustainable Projects,Online,"$ 3,950",21 - 25 Dec 2026
Developing Skills for a Sustainable Blue Economy,Saving Our Oceans While Sustaining Our Economy,London - UK,"$ 5,950",27 - 31 Oct 2025
Developing Skills for a Sustainable Blue Economy,Saving Our Oceans While Sustaining Our Economy,Dubai - UAE,"$ 5,950",03 - 07 Nov 2025
Developing Skills for a Sustainable Blue Economy,Saving Our Oceans While Sustaining Our Economy,London - UK,"$ 5,950",02 - 06 Mar 2026
Developing Skills for a Sustainable Blue Economy,Saving Our Oceans While Sustaining Our Economy,Dubai - UAE,"$ 5,950",29 Jun - 03 Jul 2026
Developing Skills for a Sustainable Blue Economy,Saving Our Oceans While Sustaining Our Economy,London - UK,"$ 5,950",26 - 30 Oct 2026
Developing Skills for a Sustainable Blue Economy,Saving Our Oceans While Sustaining Our Economy,Dubai - UAE,"$ 5,950",02 - 06 Nov 2026
Developing Skills for a Sustainable Blue Economy,Saving Our Oceans While Sustaining Our Economy,Online,"$ 3,950",08 - 12 Jun 2026
Sustainable Business Management,Developing Sustainable Business Strategies,Dubai - UAE,"$ 5,950",27 - 31 Oct 2025
Sustainable Business Management,Developing Sustainable Business Strategies,London - UK,"$ 5,950",22 - 26 Dec 2025
Sustainable Business Management,Developing Sustainable Business Strategies,London - UK,"$ 5,950",02 - 06 Mar 2026
Sustainable Business Management,Developing Sustainable Business Strategies,Dubai - UAE,"$ 5,950",18 - 22 May 2026
Sustainable Business Management,Developing Sustainable Business Strategies,London - UK,"$ 5,950",15 - 19 Jun 2026
Sustainable Business Management,Developing Sustainable Business Strategies,Istanbul - Turkey,"$ 5,950",27 - 31 Jul 2026
Sustainable Business Management,Developing Sustainable Business Strategies,Amsterdam - The Netherlands,"$ 5,950",21 - 25 Sep 2026
Sustainable Business Management,Developing Sustainable Business Strategies,Dubai - UAE,"$ 5,950",26 - 30 Oct 2026
Sustainable Business Management,Developing Sustainable Business Strategies,London - UK,"$ 5,950",21 - 25 Dec 2026
Sustainable Business Management,Developing Sustainable Business Strategies,Online,"$ 3,950",27 - 31 Oct 2025
