Main_Title,Sub_Title,Venue,Fees,Date,Links
Sustainable Construction Management,Practical Sustainable Projects,Riyadh,"$5,950",26 - 30 Oct 2025,https://glomacs.com/training-course/sustainable-construction-management
Developing Skills for a Sustainable Blue Economy,Saving Our Oceans While Sustaining Our Economy,London,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/developing-skills-for-a-sustainable-blue-economy
Sustainable Business Management,Developing Sustainable Business Strategies,Online,"$3,950",27 - 31 Oct 2025,https://glomacs.com/training-course/sustainable-business-management
Sustainable Business Management,Developing Sustainable Business Strategies,Dubai,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/sustainable-business-management
Global Environmental Law and Governance,Challenges and Practical Solutions,Dubai,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/global-environmental-law-governance
Global Environmental Law and Governance,Challenges and Practical Solutions,Online,"$3,950",27 - 31 Oct 2025,https://glomacs.com/training-course/global-environmental-law-governance
Developing Skills for a Sustainable Blue Economy,Saving Our Oceans While Sustaining Our Economy,Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/developing-skills-for-a-sustainable-blue-economy
Carbon Management,Carbon & GHG Footprinting and Net Zero Emission,Amsterdam,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/carbon-management-ghg-footprinting-net-zero-emission
Sustainable Leadership,"Problem Solving, Communication, Innovation, and Social Responsibility",Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/sustainable-leadership
Sustainable Business Strategy,The Key to a Responsible Organisation,London,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/sustainable-business-strategy
"Carbon Capture, Utilization and Storage (CCUS)",Reducing Carbon Footprints through Advanced Technologies,Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/carbon-capture-utilization-and-storage-ccus
Stakeholder Management,"Negotiating, Communicating & Influencing",Paris,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/stakeholder-management-influencing-negotiating
"Carbon Capture, Utilization and Storage (CCUS)",Reducing Carbon Footprints through Advanced Technologies,Online,"$3,950",03 - 07 Nov 2025,https://glomacs.com/training-course/carbon-capture-utilization-and-storage-ccus
Business and Climate Change,Towards Net Zero Emission,Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/business-and-climate-change
Lean Logistics for Supply Chain Operations,Optimize Efficiency and Sustainability,London,"$5,950",10 - 14 Nov 2025,https://glomacs.com/training-course/lean-logistics-for-supply-chain-operations
Strategic Leadership for Energy Industry,"Leadership, Strategy and Sustainability",Abu Dhabi,"$11,900",10 - 21 Nov 2025,https://glomacs.com/training-course/strategic-leadership-for-energy-industry
Strategic Essentials for Energy Industry,Strategic Success creates Sustainability,Abu Dhabi,"$5,950",17 - 21 Nov 2025,https://glomacs.com/training-course/strategic-essentials-for-energy-industry
