Main_Title,Sub_Title,Venue,Fees,Date
Essentials of Human Resources Management,Core People Management & Administration for the 21st Century,Dubai - UAE,"$ 5,950",27 - 31 Oct 2025
Essentials of Human Resources Management,Core People Management & Administration for the 21st Century,London - UK,"$ 5,950",26 - 30 Jan 2026
Essentials of Human Resources Management,Core People Management & Administration for the 21st Century,Dubai - UAE,"$ 5,950",01 - 05 Jun 2026
Essentials of Human Resources Management,Core People Management & Administration for the 21st Century,Dubai - UAE,"$ 5,950",17 - 21 Aug 2026
Essentials of Human Resources Management,Core People Management & Administration for the 21st Century,Dubai - UAE,"$ 5,950",26 - 30 Oct 2026
Certificate in HR Budgeting; Budget Control and Manpower Management,Strategic Financial Planning and Workforce Optimization for HR Professionals,Dubai - UAE,"$ 5,950",27 - 31 Oct 2025
Certificate in HR Budgeting; Budget Control and Manpower Management,Strategic Financial Planning and Workforce Optimization for HR Professionals,London - UK,"$ 5,950",15 - 19 Dec 2025
Certificate in HR Budgeting; Budget Control and Manpower Management,Strategic Financial Planning and Workforce Optimization for HR Professionals,Dubai - UAE,"$ 5,950",02 - 06 Mar 2026
Certificate in HR Budgeting; Budget Control and Manpower Management,Strategic Financial Planning and Workforce Optimization for HR Professionals,London - UK,"$ 5,950",04 - 08 May 2026
Certificate in HR Budgeting; Budget Control and Manpower Management,Strategic Financial Planning and Workforce Optimization for HR Professionals,Dubai - UAE,"$ 5,950",06 - 10 Jul 2026
Certificate in HR Budgeting; Budget Control and Manpower Management,Strategic Financial Planning and Workforce Optimization for HR Professionals,London - UK,"$ 5,950",31 Aug - 04 Sep 2026
Certificate in HR Budgeting; Budget Control and Manpower Management,Strategic Financial Planning and Workforce Optimization for HR Professionals,Dubai - UAE,"$ 5,950",26 - 30 Oct 2026
Certificate in HR Budgeting; Budget Control and Manpower Management,Strategic Financial Planning and Workforce Optimization for HR Professionals,London - UK,"$ 5,950",14 - 18 Dec 2026
Mini MBA for Learning & Development Professionals,"Training Management, Organisational Learning, Talent Management, and Organisational Development (OD)",Dubai - UAE,"$ 5,950",27 - 31 Oct 2025
Mini MBA for Learning & Development Professionals,"Training Management, Organisational Learning, Talent Management, and Organisational Development (OD)",London - UK,"$ 5,950",01 - 05 Dec 2025
Mini MBA for Learning & Development Professionals,"Training Management, Organisational Learning, Talent Management, and Organisational Development (OD)",Dubai - UAE,"$ 5,950",05 - 09 Jan 2026
Mini MBA for Learning & Development Professionals,"Training Management, Organisational Learning, Talent Management, and Organisational Development (OD)",London - UK,"$ 5,950",13 - 17 Jul 2026
Mini MBA for Learning & Development Professionals,"Training Management, Organisational Learning, Talent Management, and Organisational Development (OD)",Dubai - UAE,"$ 5,950",26 - 30 Oct 2026
Mini MBA for Learning & Development Professionals,"Training Management, Organisational Learning, Talent Management, and Organisational Development (OD)",London - UK,"$ 5,950",30 Nov - 04 Dec 2026
Mini MBA for Learning & Development Professionals,"Training Management, Organisational Learning, Talent Management, and Organisational Development (OD)",Online,"$ 3,950",27 - 31 Oct 2025
Mini MBA for Learning & Development Professionals,"Training Management, Organisational Learning, Talent Management, and Organisational Development (OD)",Online,"$ 3,950",05 - 09 Jan 2026
Mini MBA for Learning & Development Professionals,"Training Management, Organisational Learning, Talent Management, and Organisational Development (OD)",Online,"$ 3,950",26 - 30 Oct 2026
The Future of HR: Re-engineering the Employee Experience,Best Practices in International Human Resource Management (HRM),Paris - France,"$ 5,950",27 - 31 Oct 2025
The Future of HR: Re-engineering the Employee Experience,Best Practices in International Human Resource Management (HRM),Dubai - UAE,"$ 5,950",17 - 21 Nov 2025
The Future of HR: Re-engineering the Employee Experience,Best Practices in International Human Resource Management (HRM),London - UK,"$ 5,950",15 - 19 Dec 2025
The Future of HR: Re-engineering the Employee Experience,Best Practices in International Human Resource Management (HRM),Dubai - UAE,"$ 5,950",04 - 08 May 2026
The Future of HR: Re-engineering the Employee Experience,Best Practices in International Human Resource Management (HRM),Dubai - UAE,"$ 5,950",29 Jun - 03 Jul 2026
The Future of HR: Re-engineering the Employee Experience,Best Practices in International Human Resource Management (HRM),London - UK,"$ 5,950",17 - 21 Aug 2026
The Future of HR: Re-engineering the Employee Experience,Best Practices in International Human Resource Management (HRM),Dubai - UAE,"$ 5,950",31 Aug - 04 Sep 2026
The Future of HR: Re-engineering the Employee Experience,Best Practices in International Human Resource Management (HRM),Paris - France,"$ 5,950",26 - 30 Oct 2026
The Future of HR: Re-engineering the Employee Experience,Best Practices in International Human Resource Management (HRM),Dubai - UAE,"$ 5,950",16 - 20 Nov 2026
The Future of HR: Re-engineering the Employee Experience,Best Practices in International Human Resource Management (HRM),London - UK,"$ 5,950",14 - 18 Dec 2026
The Future of HR: Re-engineering the Employee Experience,Best Practices in International Human Resource Management (HRM),Online,"$ 3,950",15 - 19 Dec 2025
The Future of HR: Re-engineering the Employee Experience,Best Practices in International Human Resource Management (HRM),Online,"$ 3,950",17 - 21 Aug 2026
The Future of HR: Re-engineering the Employee Experience,Best Practices in International Human Resource Management (HRM),Online,"$ 3,950",14 - 18 Dec 2026
Introduction to Artificial Intelligence (AI) in Human Resource Management (HRM),Transforming Human Resource Management through Artificial Intelligence,London - UK,"$ 5,950",27 - 31 Oct 2025
Introduction to Artificial Intelligence (AI) in Human Resource Management (HRM),Transforming Human Resource Management through Artificial Intelligence,Dubai - UAE,"$ 5,950",15 - 19 Dec 2025
Introduction to Artificial Intelligence (AI) in Human Resource Management (HRM),Transforming Human Resource Management through Artificial Intelligence,Amsterdam - The Netherlands,"$ 5,950",04 - 08 May 2026
Introduction to Artificial Intelligence (AI) in Human Resource Management (HRM),Transforming Human Resource Management through Artificial Intelligence,London - UK,"$ 5,950",10 - 14 Aug 2026
Introduction to Artificial Intelligence (AI) in Human Resource Management (HRM),Transforming Human Resource Management through Artificial Intelligence,London - UK,"$ 5,950",26 - 30 Oct 2026
Introduction to Artificial Intelligence (AI) in Human Resource Management (HRM),Transforming Human Resource Management through Artificial Intelligence,Dubai - UAE,"$ 5,950",14 - 18 Dec 2026
Mini MBA for Learning & Development Professionals,"Training Management, Organisational Learning, Talent Management, and Organisational Development (OD)",Dubai - UAE,"$ 5,950",27 - 31 Oct 2025
Mini MBA for Learning & Development Professionals,"Training Management, Organisational Learning, Talent Management, and Organisational Development (OD)",London - UK,"$ 5,950",01 - 05 Dec 2025
Mini MBA for Learning & Development Professionals,"Training Management, Organisational Learning, Talent Management, and Organisational Development (OD)",Dubai - UAE,"$ 5,950",05 - 09 Jan 2026
Mini MBA for Learning & Development Professionals,"Training Management, Organisational Learning, Talent Management, and Organisational Development (OD)",London - UK,"$ 5,950",13 - 17 Jul 2026
Mini MBA for Learning & Development Professionals,"Training Management, Organisational Learning, Talent Management, and Organisational Development (OD)",Dubai - UAE,"$ 5,950",26 - 30 Oct 2026
