Main_Title,Sub_Title,Venue,Fees,Date,Links
Essentials of Human Resources Management,Core People Management & Administration for the 21st Century,Dubai,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/essentials-of-human-resources-management
"Certificate in HR Budgeting, Budget Control and Manpower Management",Strategic Financial Planning and Workforce Optimization for HR Professionals,Dubai,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/certificate-in-hr-budgeting-budget-control-and-manpower-management
Mini MBA for Learning & Development Professionals,"Training Management, Organisational Learning, Talent Management, and Organisational Development (OD)",Dubai,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/mini-mba-for-learning-development-professionals
The Future of HR: Re-engineering the Employee Experience,Best Practices in International Human Resource Management (HRM),Paris,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/the-future-of-hr
Introduction to Artificial Intelligence (AI) in Human Resource Management (HRM),Transforming Human Resource Management through Artificial Intelligence,London,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/introduction-to-artificial-intelligence-ai-in-human-resource-management-hrm
Mini MBA for Learning & Development Professionals,"Training Management, Organisational Learning, Talent Management, and Organisational Development (OD)",Online,"$3,950",27 - 31 Oct 2025,https://glomacs.com/training-course/mini-mba-for-learning-development-professionals
"Industrial Relations (IR), Employee Relations (ER) & Trade Union Harmony","Negotiation, Conflict Resolution,and Engagement in Organisations",Dubai,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/industrial-relations-ir-employee-relations-er-trade-union-harmony
"The 10-Day Mini-MBA for Human Resource, Learning and Development Professionals","Mastering the Critical Areas of Human Capital Management , HRM And Learning & Development",Dubai,"$11,900",27 Oct - 07 Nov 2025,https://glomacs.com/training-course/10-day-mini-mba-human-resource-learning-and-development-professionals
Future of HR & Learning: Re-engineering the Employee and Learning Experience,,Paris,"$11,900",27 Oct - 07 Nov 2025,https://glomacs.com/training-course/future-of-hr-and-learning
The Value of Positive Workplace Ethics on Productivity,Creating Strong Engagement for Superior Team Results,Abu Dhabi,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/the-value-of-positive-workplace-ethics-on-productivity
Total Rewards,Understanding Compensation Strategyand Total Rewards Approach,Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/total-rewards
People Analytics,Transforming Management with Behavioral Data,Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/people-analytics
HR Masterclass: Artificial Intelligence (AI) for HR Professionals,The Artificial Intelligence (AI) Transformations Shaping the Future of Human Resources,Riyadh,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/hr-master-class-on-the-future-changes-in-human-resources
Innovations in Workforce Planning & Organizational Development,How Artificial Intelligence Will Change the World of Work,London,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/innovations-in-workforce-planning-organizational-development
Performance Management,Building an Effective High-Performance Organization,London,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/performance-management
"Advanced Selection, Interviewing & Recruitment Skills",Proven Techniques for Dramatically Transforming Your Ability to Hire Effectively,Abu Dhabi,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/advanced-selection-interviewing-and-recruitment-skills
Managing Human Capital,Enhancing Organizational Capabilities,Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/managing-human-capital
Behavioural Economics,How to Get the Best Out of People and Processes Using the Newest Psychological Techniques,Lisbon,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/behavioural-economics
The Future of Learning: Re-engineering the Learning Experience,New Training Methodology and Its Impact on Organizational Success,Paris,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/the-future-of-learning
Certified Employee Performance Management Professional,"Master the Tools and Techniques to Evaluate, Motivate, and Maximize Workforce Potential",London,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/certified-employee-performance-management-professional
Competency - Based Management,Predicting Future Performance for Organisational Success,Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/competency-based-management
Advanced Professional Certificate in Strategic Human Resource Management,Maximizing Potential Organizational Workforce through Strategic HR Management,Istanbul,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/advanced-professional-certificate-in-strategic-human-resource-management
Advanced Professional Certificate in Strategic Human Resource & Talent Management,,Istanbul,"$11,900",03 - 14 Nov 2025,https://glomacs.com/training-course/advanced-professional-certificate-in-strategic-human-resource-talent-management
"Competencies: Design, Development and Implementation",Crafting Technical and Behaviour Competency Frameworks,Dubai,"$5,950",10 - 14 Nov 2025,https://glomacs.com/training-course/competencies-design-development-and-implementation
Internal Consultancy Skills at Work,Developing Key Client Relationship & Organizational Improvement,Dubai,"$5,950",10 - 14 Nov 2025,https://glomacs.com/training-course/internal-consultancy-skills-at-work
"Competencies: Design, Development and Implementation",Crafting Technical and Behaviour Competency Frameworks,Online,"$3,950",10 - 14 Nov 2025,https://glomacs.com/training-course/competencies-design-development-and-implementation
Employee Relations and Engagement,Managing Employee Grievances and Disciplinary Procedures with Ethical Integrity,Dubai,"$5,950",10 - 14 Nov 2025,https://glomacs.com/training-course/employee-relations
Artificial Intelligence (AI) Driven Talent Management,Transform Your HR Strategy with Artificial Intelligence,London,"$5,950",10 - 14 Nov 2025,https://glomacs.com/training-course/artificial-intelligence-ai-driven-talent-management
Strategic Talent Management,Unlocking People Potential and Mastering Talent Acquisition for Market Agility,Istanbul,"$5,950",10 - 14 Nov 2025,https://glomacs.com/training-course/strategic-talent-management
HR Analytics,Using Data to Drive Results,Lisbon,"$5,950",10 - 14 Nov 2025,https://glomacs.com/training-course/hr-analytics
Retirement Planning,Planning and Preparing for Retirement,Abu Dhabi,"$5,950",10 - 14 Nov 2025,https://glomacs.com/training-course/retirement-and-employee-investment-planning
Employee Relations and Engagement,Managing Employee Grievances and Disciplinary Procedures with Ethical Integrity,Online,"$3,950",10 - 14 Nov 2025,https://glomacs.com/training-course/employee-relations
Advanced Professional Certificate in Strategic Human Resource Management,Maximizing Potential Organizational Workforce through Strategic HR Management,Vienna,"$5,950",17 - 21 Nov 2025,https://glomacs.com/training-course/advanced-professional-certificate-in-strategic-human-resource-management
Advanced Certificate in Employee Relations (ER),"Enhance Communication, Build Strong Stakeholder Relationships, and Resolve Workplace Conflicts",Dubai,"$5,950",17 - 21 Nov 2025,https://glomacs.com/training-course/advanced-certificate-in-employee-relations-er
Advanced Certificate in Employee Relations (ER),"Enhance Communication, Build Strong Stakeholder Relationships, and Resolve Workplace Conflicts",Online,"$3,950",17 - 21 Nov 2025,https://glomacs.com/training-course/advanced-certificate-in-employee-relations-er
Risk Management for Human Resources,Effectively Managing Enterprise Risk Across the Organization,Dubai,"$5,950",17 - 21 Nov 2025,https://glomacs.com/training-course/risk-management-for-human-resources
The 5-Day MBA in HR,Improving Organisational Effectiveness,London,"$7,500",17 - 21 Nov 2025,https://glomacs.com/training-course/the-5-day-mba-in-hr
Job Evaluation & Analysis,Understanding Reward Management,Abu Dhabi,"$5,950",17 - 21 Nov 2025,https://glomacs.com/training-course/job-evaluation-and-analysis
Organizational Development in Action,Improving Organizational Effectiveness through Strategic Role Clarity and Structure,London,"$5,950",17 - 21 Nov 2025,https://glomacs.com/training-course/organizational-development-in-action
Learning Agility,A Culture of Life-Long Learning,Dubai,"$5,950",17 - 21 Nov 2025,https://glomacs.com/training-course/learning-agility
The Future of HR: Re-engineering the Employee Experience,Best Practices in International Human Resource Management (HRM),Dubai,"$5,950",17 - 21 Nov 2025,https://glomacs.com/training-course/the-future-of-hr
Policy Initiatives to Transform HR,Taking HR to the Next Level,Dubai,"$5,950",17 - 21 Nov 2025,https://glomacs.com/training-course/policy-initiatives-to-transform-hr
Creating Effective Individual Development Plans (IDPs),Aligning Employee Growth with Organisational Success,Dubai,"$5,950",17 - 21 Nov 2025,https://glomacs.com/training-course/creating-effective-individual-development-plans-idps
Payroll Management & Effective Payroll Controls,,Dubai,"$5,950",17 - 21 Nov 2025,https://glomacs.com/training-course/payroll-management-effective-payroll-controls
Strategic Advisory Skills for Handling Complex Employee and Labor Relations Issues,"Navigating Conflict, Compliance, and Employee Engagement",Dubai,"$5,950",17 - 21 Nov 2025,https://glomacs.com/training-course/strategic-advisory-skills-for-handling-complex-employee-and-labor-relations-issues
"HR Processes, Culture & Change Management Programme",Becoming A Strategic Business Partner,London,"$15,000",17 - 28 Nov 2025,https://glomacs.com/training-course/hr-processes-culture-and-change-management-programme
Coaching the Coach,,Online,"$2,950",24 - 26 Nov 2025,https://glomacs.com/training-course/coaching-the-coach
Strategic Talent Management,Unlocking People Potential and Mastering Talent Acquisition for Market Agility,Dubai,"$5,950",24 - 28 Nov 2025,https://glomacs.com/training-course/strategic-talent-management
Creating a Positive Work Culture in Organisations,Leveraging Your Work Climate for Business Success,Dubai,"$5,950",24 - 28 Nov 2025,https://glomacs.com/training-course/creating-a-positive-work-culture-in-organisations
The Competent Manager,Developmental Approach to Effective and Professional Management,Kuala Lumpur,"$5,950",24 - 28 Nov 2025,https://glomacs.com/training-course/the-competent-manager
Employee Relations and Engagement,Managing Employee Grievances and Disciplinary Procedures with Ethical Integrity,Vienna,"$5,950",24 - 28 Nov 2025,https://glomacs.com/training-course/employee-relations
Measuring Training ROI,Investing in Organisational Performance and Development,Dubai,"$5,950",24 - 28 Nov 2025,https://glomacs.com/training-course/measuring-training-roi
Strategic Competency Mapping for Talent Growth,Align Competency Frameworks with Talent Development Initiatives,Dubai,"$5,950",24 - 28 Nov 2025,https://glomacs.com/training-course/strategic-competency-mapping-for-talent-growth
The Value of Positive Workplace Ethics on Productivity,Creating Strong Engagement for Superior Team Results,London,"$5,950",24 - 28 Nov 2025,https://glomacs.com/training-course/the-value-of-positive-workplace-ethics-on-productivity
ROI Seminar for Learning and Development Professionals,"Developing your Competencies in L&D, Training Management and Organisational Learning",Dubai,"$5,950",24 - 28 Nov 2025,https://glomacs.com/training-course/roi-seminar-for-learning-and-development-professionals
Strategic HR Business Partner,Building Credibility & Demonstrating ROI of Human Resources,Dubai,"$5,950",24 - 28 Nov 2025,https://glomacs.com/training-course/strategic-hr-business-partner
Human Resources Development & Personnel Management,Transforming HR for Tomorrow's World,London,"$5,950",24 - 28 Nov 2025,https://glomacs.com/training-course/human-resources-development-and-personnel-management
Advanced Techniques in Training Program Evaluation,Measuring Training Effectiveness and Maximizing ROI,Dubai,"$5,950",24 - 28 Nov 2025,https://glomacs.com/training-course/advanced-techniques-in-training-program-evaluation
The Competent Manager Professional Certificate,Developmental Approach to Effective and Professional Management,Kuala Lumpur,"$5,950",24 - 28 Nov 2025,https://glomacs.com/training-course/cpd-competent-manager-professional-certificate
ROI Seminar for Learning and Development Professionals,"Developing your Competencies in L&D, Training Management and Organisational Learning",Online,"$3,950",24 - 28 Nov 2025,https://glomacs.com/training-course/roi-seminar-for-learning-and-development-professionals
Fundamentals of Life Insurance and Retirement Savings,Protect and Empower the Financial Capacity of People,Dubai,"$5,950",24 - 28 Nov 2025,https://glomacs.com/training-course/fundamental-of-life-insurance-and-retirement-savings
Competency-Based Interviewing,Selecting the Best Possible Internal or External Candidates for any Position,Online,"$2,950",01 - 03 Dec 2025,https://glomacs.com/training-course/competency-based-interviewing
Certified Employee Performance Management Professional,"Master the Tools and Techniques to Evaluate, Motivate, and Maximize Workforce Potential",Dubai,"$5,950",01 - 05 Dec 2025,https://glomacs.com/training-course/certified-employee-performance-management-professional
Cultivating Learning Agility in the Workplace,Optimising Agile Learning for Enhanced Organisational Success,Dubai,"$5,950",01 - 05 Dec 2025,https://glomacs.com/training-course/cultivating-learning-agility-in-the-workplace
