Main_Title,Sub_Title,Venue,Fees,Date,Links
"Artificial Intelligence (AI), Business and the Future of Work",Leveraging Artificial Intelligence to Transform Business Practices and Workforce Efficiency,New York,"$6,950",27 - 31 Oct 2025,https://glomacs.com/training-course/ai-business-and-the-future-of-work
Artificial Intelligence (AI) for Leaders and Managers,Leveraging Data Analytics for Business,Dubai,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/artificial-intelligence-ai-for-leaders-and-managers
Introduction to Artificial Intelligence (AI) in Human Resource Management (HRM),Transforming Human Resource Management through Artificial Intelligence,London,"$5,950",27 - 31 Oct 2025,https://glomacs.com/training-course/introduction-to-artificial-intelligence-ai-in-human-resource-management-hrm
Artificial Intelligence (AI) for Personalized Customer Experience,Leveraging Artificial Intelligence to Revolutionize Customer Interactions,Milan,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/ai-for-personalized-customer-experience
Artificial Intelligence (AI) and Machine Learning,Unlocking the Potential: Artificial Intelligence and Machine Learning Essentials,Abu Dhabi,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/artificial-intelligence-and-machine-learning
Digital Energy and Optimization,"Data Mining and Artificial Intelligence for Energy Savings, Process Optimization in Industrial and Energy Sector",Online,"$3,950",03 - 07 Nov 2025,https://glomacs.com/training-course/digital-energy-and-optimization
Artificial Intelligence (AI) in Procurement and Supply Chain Management,Adopting the Strategic approach to AI in Procurement and Supply,London,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/artificial-intelligence-ai-in-procurement-and-supply-chain-management
Artificial Intelligence (AI) in Contract Management,,Amsterdam,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/artificial-intelligence-ai-and-contract-management
Artificial Intelligence (AI) in Banking,"Using AI for Credit Default Prediction, Fraud Detection, and Smart Customer Assistants",Riyadh,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/artificial-intelligence-in-banking
Innovations in Workforce Planning & Organizational Development,How Artificial Intelligence Will Change the World of Work,London,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/innovations-in-workforce-planning-organizational-development
Artificial Intelligence (AI) in Digital Marketing,Transform Your Strategy with Cutting-Edge Tools,London,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/ai-in-digital-marketing
Artificial Intelligence (AI) for Personalized Customer Experience,Leveraging Artificial Intelligence to Revolutionize Customer Interactions,Online,"$3,950",03 - 07 Nov 2025,https://glomacs.com/training-course/ai-for-personalized-customer-experience
Artificial Intelligence (AI) for Predictive Machine Maintenance,Unlock the full potential of PdM,Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/ai-for-predictive-machine-maintenance
Digital Energy and Optimization,"Data Mining and Artificial Intelligence for Energy Savings, Process Optimization in Industrial and Energy Sector",Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/digital-energy-and-optimization
HR Masterclass: Artificial Intelligence (AI) for HR Professionals,The Artificial Intelligence (AI) Transformations Shaping the Future of Human Resources,Riyadh,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/hr-master-class-on-the-future-changes-in-human-resources
Artificial Intelligence (AI) Driven Talent Management,Transform Your HR Strategy with Artificial Intelligence,London,"$5,950",10 - 14 Nov 2025,https://glomacs.com/training-course/artificial-intelligence-ai-driven-talent-management
Artificial Intelligence (AI) Standards and Risk Management Frameworks (RMF),ISO/IEC AI Standards and NIST AI RMF,Amsterdam,"$5,950",10 - 14 Nov 2025,https://glomacs.com/training-course/artificial-intelligence-standards-and-risk-management-frameworks-rmf
Principles and Practices of Artificial Intelligence (AI),Mastering AI: From Theory to Implementation,Dubai,"$5,950",10 - 14 Nov 2025,https://glomacs.com/training-course/principles-and-practices-of-artificial-intelligence
Artificial Intelligence in Contracts & Project Management,Leveraging AI for Optimized Contracting and Project Delivery,Dubai,"$13,900",16 - 27 Nov 2025,https://glomacs.com/training-course/artificial-intelligence-in-contracts-project-management
Artificial Intelligence (AI) in Contract and Project Management,Leveraging AI for Optimized Contracting and Project Delivery,Dubai,"$13,900",16 - 27 Nov 2025,https://glomacs.com/training-course/artificial-intelligence-in-contract-and-project-management
Artificial Intelligence (AI) Powered Risk & Fraud Detection,Securing Your Organization's Future: Mastering AI for Advanced Threat Detection and Prevention,Riyadh,"$5,950",17 - 21 Nov 2025,https://glomacs.com/training-course/ai-powered-risk-fraud-detection
The Tech-Savvy Administrator: Incorporating Artificial Intelligence (AI) for Efficiency and Innovation,Enhancing Administrative Roles with Technology and AI-Driven Solutions,New York,"$6,950",17 - 21 Nov 2025,https://glomacs.com/training-course/the-tech-savvy-administrator
Artificial Intelligence (AI) in Land and Surveying,Revolutionizing Land Surveying with AI,Dubai,"$5,950",17 - 21 Nov 2025,https://glomacs.com/training-course/artificial-intelligence-in-land-and-surveying
Artificial Intelligence (AI) Regulations - EU AI Act,Alignment With Best Practices,Milan,"$5,950",24 - 28 Nov 2025,https://glomacs.com/training-course/artificial-intelligence-regulations-eu-ai-act
Strategic Account Management in the Digital Age,Mastering AI and Digital Tools to Drive Account Success,London,"$5,950",24 - 28 Nov 2025,https://glomacs.com/training-course/strategic-account-management-in-the-digital-age
Artificial Intelligence (AI) for Professionals,The Use of Artificial Intelligence (AI) in Modern and Challenging Times,London,"$5,950",24 - 28 Nov 2025,https://glomacs.com/training-course/artificial-intelligence-for-professionals
Artificial Intelligence (AI) in Urban Planning,AI Technology as a Tool for City Design,Dubai,"$5,950",24 - 28 Nov 2025,https://glomacs.com/training-course/artificial-intelligence-in-urban-planning
Artificial Intelligence (AI) Essentials for Business,Unlocking the Power of AI to Drive Business Innovation and Growth,Online,"$3,950",24 - 28 Nov 2025,https://glomacs.com/training-course/artificial-intelligence-ai-essentials-for-business
Transforming the Workplace and Learning Experiences with AR and VR,Beyond the Screen: Collaborating and Learning in the Age of Immersive Technologies,London,"$5,950",24 - 28 Nov 2025,https://glomacs.com/training-course/transforming-the-workplace-and-learning-experiences-with-ar-and-vr
Artificial Intelligence (AI) for Accounting and Finance Professionals,Harnessing AI to Revolutionize Accounting and Finance,Milan,"$5,950",24 - 28 Nov 2025,https://glomacs.com/training-course/ai-for-accounting-and-finance-professionals
Artificial Intelligence (AI) Essentials for Business,Unlocking the Power of AI to Drive Business Innovation and Growth,Dubai,"$5,950",24 - 28 Nov 2025,https://glomacs.com/training-course/artificial-intelligence-ai-essentials-for-business
"Artificial Intelligence (AI), Business and the Future of Work",Leveraging Artificial Intelligence to Transform Business Practices and Workforce Efficiency,Riyadh,"$5,950",24 - 28 Nov 2025,https://glomacs.com/training-course/ai-business-and-the-future-of-work
Artificial Intelligence (AI) for Leaders and Managers,Leveraging Data Analytics for Business,Doha,"$5,950",24 - 28 Nov 2025,https://glomacs.com/training-course/artificial-intelligence-ai-for-leaders-and-managers
Artificial Intelligence (AI) for Predictive Machine Maintenance,Unlock the full potential of PdM,Milan,"$5,950",01 - 05 Dec 2025,https://glomacs.com/training-course/ai-for-predictive-machine-maintenance
The Tech-Savvy Administrator: Incorporating Artificial Intelligence (AI) for Efficiency and Innovation,Enhancing Administrative Roles with Technology and AI-Driven Solutions,Amsterdam,"$5,950",01 - 05 Dec 2025,https://glomacs.com/training-course/the-tech-savvy-administrator
Artificial Intelligence (AI) for Leaders and Managers,Leveraging Data Analytics for Business,Boston,"$7,950",01 - 05 Dec 2025,https://glomacs.com/training-course/artificial-intelligence-ai-for-leaders-and-managers
HR Masterclass: Artificial Intelligence (AI) for HR Professionals,The Artificial Intelligence (AI) Transformations Shaping the Future of Human Resources,Dubai,"$5,950",01 - 05 Dec 2025,https://glomacs.com/training-course/hr-master-class-on-the-future-changes-in-human-resources
Artificial Intelligence (AI) and Law,Navigating the Legal Landscape of Artificial Intelligence,London,"$5,950",01 - 05 Dec 2025,https://glomacs.com/training-course/artificial-intelligence-ai-and-law
Artificial Intelligence (AI) for Instrumentation Optimization,Bringing your Instrumentation to Higher Levels Through AI,London,"$5,950",01 - 05 Dec 2025,https://glomacs.com/training-course/artificial-intelligence-for-instrumentation-optimization
Artificial Intelligence (AI) Standards and Risk Management Frameworks (RMF),ISO/IEC AI Standards and NIST AI RMF,New York,"$6,950",01 - 05 Dec 2025,https://glomacs.com/training-course/artificial-intelligence-standards-and-risk-management-frameworks-rmf
Artificial Intelligence (AI) in Contract Management,,Dubai,"$5,950",01 - 05 Dec 2025,https://glomacs.com/training-course/artificial-intelligence-ai-and-contract-management
Mastering AI-Powered Content Creation,Unlock the Future of Digital Marketing,London,"$5,950",01 - 05 Dec 2025,https://glomacs.com/training-course/mastering-ai-powered-content-creation
"Data Governance, Privacy & Integrity in Artificial Intelligence (AI)","Protecting Data Integrity, Security & Compliance in AI-Driven Operations",Dubai,"$5,950",01 - 05 Dec 2025,https://glomacs.com/training-course/data-governance-and-privacy-in-ai-systems
Artificial Intelligence (AI) in Contract and Project Management,Leveraging AI for Optimized Contracting and Project Delivery,Dubai,"$11,900",01 - 12 Dec 2025,https://glomacs.com/training-course/artificial-intelligence-in-contract-and-project-management
