Country,GDP_2025,GDP_2022,GDP_2023
World,"117,165,394","111,326,370","100,834,796"
United States,"30,615,743","29,184,890","27,720,700"
China[n 1],"19,398,577","18,743,803","17,794,782"
Germany,"5,013,574","4,659,929","4,525,704"
Japan,"4,279,828","4,026,211","4,204,495"
India,"4,125,213","3,912,686","3,575,778"
United Kingdom,"3,958,780","3,643,834","3,380,855"
France,"3,361,557","3,162,079","3,051,832"
Italy,"2,543,677","2,372,775","2,300,941"
Russia,"2,540,656","2,173,836","2,008,419"
Canada,"2,283,599","2,241,253","2,142,471"
Brazil,"2,256,910","2,179,412","2,191,132"
Spain,"1,891,371","1,722,746","1,620,091"
Mexico,"1,862,740","1,852,723","1,793,799"
South Korea,"1,858,572","1,712,793","1,839,058"
Australia,"1,829,508","1,752,193","1,775,628"
Turkey,"1,565,471","1,323,255","1,118,253"
Indonesia,"1,443,256","1,396,300","1,371,171"
Netherlands,"1,320,635","1,227,544","1,154,361"
Saudi Arabia,"1,268,535","1,237,530","1,067,583"
Poland,"1,039,619","914,696","809,201"
Switzerland,"1,002,666","936,564","894,425"
Taiwan,"884,387",—,—
Belgium,"716,980","664,564","644,783"
Ireland,"708,771","577,389","551,395"
Argentina,"683,371","633,267","646,075"
Sweden,"662,318","610,118","584,960"
Israel,"610,752","540,380","513,611"
Singapore,"574,185","547,387","501,428"
United Arab Emirates,"569,097","537,079","514,130"
Austria,"566,456","521,642","511,685"
Thailand,"558,573","526,411","514,945"
Norway,"517,102","483,727","485,311"
Philippines,"494,158","461,618","437,146"
Vietnam,"484,726","476,388","429,717"
Bangladesh,"475,011","450,119","422,431"
Malaysia,"470,572","421,972","399,649"
Denmark,"459,612","429,457","407,092"
Colombia,"438,121","418,542","363,540"
Hong Kong[n 3],"428,233","407,107","380,812"
South Africa,"426,383","400,261","377,782"
Romania,"422,508","382,768","350,776"
Pakistan,"410,495","373,072","337,900"
Czech Republic,"383,384","345,037","343,208"
Iran,"356,513","436,906","401,596"
Egypt,"349,264","389,050","331,590"
Chile,"347,174","330,267","335,533"
Portugal,"337,936","308,683","289,114"
Peru,"318,480","289,222","267,603"
Finland,"314,724","299,836","295,532"
Kazakhstan,"300,052","288,406","264,293"
Algeria,"288,013","263,620","247,626"
Nigeria,"285,003","188,271","187,760"
Greece,"282,019","257,145","243,498"
Iraq,"265,455","279,641","232,107"
New Zealand,"262,909","260,236","252,176"
Hungary,"247,759","217,905","212,657"
Qatar,"222,119","222,905","213,003"
Ukraine[n 4],"209,713","190,741","178,757"
Cuba,—,—,"201,986"
Morocco,"179,612","154,431","144,438"
Kuwait,"157,469","160,227","163,705"
Slovakia,"154,587","141,776","132,908"
